thottacharya,தொட்டாச்சார்ய
kaalamthallukiraargal,காலம்தள்ளுகிறார்கள்
virudhagi,விருதகி
erinththuvidakkoodaathu,எறிந்துவிடக்கூடாது
aadaththuvangki,ஆடத்துவங்கி
kooraakkikkondu,கூராக்கிக்கொண்டு
tirgamstan,திர்கம்ஸ்தான்
adakkumuraiyaalthaan,அடக்குமுறையால்தான்
suzhattruvathilum,சுழற்றுவதிலும்
seththukkidappavan,செத்துக்கிடப்பவன்
kaariyatthukkum,காரியத்துக்கும்
thanneerodai,தண்ணீரோடை
kuriththapoathae,குறித்தபோதே
koottiyadhu,கூட்டியது
andhagar,அந்தகர்
penthozhilaali,பெண்தொழிலாளி
kiraamchadhaguppai,கிராம்சதகுப்பை
pukattuvatharkup,புகட்டுவதற்குப்
athladik,அத்லடிக்
shanth,ஷாந்த்
thirukkanur,திருக்கனூர்
mariyaathaiyoada,மரியாதையோட
idamperaathavargalum,இடம்பெறாதவர்களும்
caldicardin,கால்டிகர்டின்
thazhumpondru,தழும்பொன்று
othivaikkappattum,ஒத்திவைக்கப்பட்டும்
thamizharaagivittanar,தமிழராகிவிட்டனர்
tomianovin,டோமியானோவின்
aaivukatturaiyinai,ஆய்வுகட்டுரையினை
enngalathu,எண்களது
ninaiyaathai,நினையாதை
vaththura,வத்துற
aetrtriyaagavaendum,ஏற்றியாகவேண்டும்
aprithiyaith,அப்ரிதியைத்
visayaratna,விசயரத்தினா
mayangkuvaen,மயங்குவேன்
udavalavayin,உடவளவயின்
maaranaarae,மாறனாரே
okkilipatti,ஒக்கிலிப்பட்டி
aayuthangkalinaalum,ஆயுதங்களினாலும்
keeraitthuraikku,கீரைத்துறைக்கு
adinilaiyaaik,அடிநிலையாய்க்
muzhuthaalvaan,முழுதாள்வான்
moolaththirkaaga,மூலத்திற்காக
mugasthuthikkaagavoa,முகஸ்துதிக்காகவோ
inbamadi,இன்பமடி
edukkappattathuthaanae,எடுக்கப்பட்டதுதானே
seerkedadaigirathu,சீர்கேடடைகிறது
alaviduvathoadu,அளவிடுவதோடு
kambaliyaadaigalai,கம்பளியாடைகளை
arachalur,அரச்சலுார்
udanadiyaath,உடனடியாத்
thuvattaatha,துவட்டாத
thangalideye,தங்களிடேயே
thaazhkkoalaal,தாழ்க்கோலால்
paniththittangkalin,பணித்திட்டங்களின்
cherumalode,செருமலோடு
unarnthaetrtru,உணர்ந்தேற்று
kummippaadalgal,கும்மிப்பாடல்கள்
inaiyaanathaakavae,இணையானதாகவே
sellaathavaiyaagividum,செல்லாதவையாகிவிடும்
ulluril,உள்ளுரில்
neelamegaperumaalukku,நீலமேகபெருமாளுக்கு
poruladara,பொருளதாரா
intrado,இன்ட்ராடோ
kattavendumam,கட்டவேண்டுமாம்
poalappadum,போலப்படும்
udalpunarnthapadi,உடல்புணர்ந்தபடி
thanthaththinai,தந்தத்தினை
naadiyam,நாடியம்
ramendi,ராமேந்தி
tharavarisaiyileye,தரவரிசையிலேயே
aazhurakkam,ஆழுறக்கம்
varkis,வர்க்கிஸ்
palikalilirunthoa,பலிகளிலிருந்தோ
jayaraji,ஜெயராஜி
karulia,கருலியா
faridabang,பரிதாபங்
thirattukindrana,திரட்டுகின்றன
nilaikollavum,நிலைகொள்ளவும்
eninumbu,எனினும்பு
anuppappadalaayina,அனுப்பப்படலாயின
palappadak,பலப்படக்
kandadaidhalin,கண்டடைதலின்
peyilaip,பெயிலைப்
kavur,கவுர்
thenikkari,தேனிக்காரி
aanangkooril,ஆனங்கூரில்
aavasakkarangkalai,ஆவசக்கரங்களை
vaangkiyirukkiroama,வாங்கியிருக்கிறோமா
inththiyaththodarpu,இந்தியத்தொடர்பு
ennathaen,என்னதேன்
maruvaanathu,மருவானது
sandhikkirenaa,சந்திக்கிறேனா
reethiyanatha,ரீதியானதா
padaikkappadupavai,படைக்கப்படுபவை
asingamaanathaaga,அசிங்கமானதாக
vadakkuppaarththathu,வடக்குப்பார்த்தது
thirumanamaanavaraagavum,திருமணமானவராகவும்
ivvudalil,இவ்வுடலில்
manasumattum,மனசுமட்டும்
thottikalaal,தொட்டிகளால்
kuttramaeyendru,குற்றமேயென்று
varugaithanththullana,வருகைதந்துள்ளன
dhanvantari,தன்வந்திரி
unavuthayaarippukkalai,உணவுதயாரிப்புக்களை
kirangalil,கிரங்களில்
panduvin,பண்டுவின்
vivarangkalukkuch,விவரங்களுக்குச்
vidyanandavai,வித்தியானந்தாவை
panjasthavaththil,பஞ்சஸ்தவத்தில்
dijatal,டிஜட்டல்
krahalatsumi,கிரஹலட்சுமி
innondraagak,இன்னொன்றாகக்
karpagaththirkum,கற்பகத்திற்கும்
ezhappoavathupoantra,எழப்போவதுபோன்ற
kurippezhudhum,குறிப்பெழுதும்
kavanamirukka,கவனமிருக்க
districks,டிஸ்ட்ரிக்ஸ்
poarvaikkal,போர்வைக்கள்
thaedukiravarkalae,தேடுகிறவர்களே
avvunarvunilaiyai,அவ்வுணர்வுநிலையை
senchukkappoaravaroada,செஞ்சுக்கப்போறவரோட
izhaiyaagap,இழையாகப்
varunthinaalaa,வருந்தினாளா
piraamanarkalidaiyae,பிராமணர்களிடையே
uyirpoagindra,உயிர்போகின்ற
nirvaanamaagak,நிர்வாணமாகக்
kaikodukkindra,கைகொடுக்கின்ற
manasaatchikkamaiya,மனசாட்சிக்கமைய
maantharkalaai,மாந்தர்களாய்
kaaranangalaeyaagum,காரணங்களேயாகும்
saayangalaiyum,சாயங்களையும்
europium,யூரோப்பியம்
yunilivaraith,யுனிலிவரைத்
vattiveethak,வட்டிவீதக்
vittatheninum,விட்டதெனினும்
aariviyal,ஆறிவியல்
kilappappattuk,கிளப்பப்பட்டுக்
sikitchaimoolamaaka,சிகிச்சைமூலமாக
sarandarukku,சரண்டருக்கு
maerkondathupoalavae,மேற்கொண்டதுபோலவே
upparikaiyilthaan,உப்பரிகையில்தான்
thanyeemukku,தன்யீமுக்கு
tamilpiraamik,தமிழ்பிராமிக்
parisoathikkapattu,பரிசோதிக்கபட்டு
maastarilirunthu,மாஸ்டரிலிருந்து
moozhkadikkavaendum,மூழ்கடிக்கவேண்டும்
iraiyak,இரையக்
kiriththuvargalidaiye,கிறித்துவர்களிடையே
idaththaippoala,இடத்தைப்போல
sollanumilla,சொல்லனுமில்ல
maathiriyaannu,மாதிரியான்னு
arugiruppavargalidam,அருகிருப்பவர்களிடம்
araimandapaththil,அரைமண்டபத்தில்
nambagaththakka,நம்பகத்தக்க
ezhuthiyavattraich,எழுதியவற்றைச்
chandodama,சந்தோடமா
veettuchchelavil,வீட்டுச்செலவில்
kondavarkalsamooga,கொண்டவர்கள்சமூக
mitharval,மிதர்வால்
karaiyagaththu,கரையகத்து
jithavileye,ஜித்தாவிலேயே
seeraagathathaal,சீராகததால்
rangadu,ரங்கடு
kalaignargalthaanae,கலைஞர்கள்தானே
kaappiyagarththaakkal,காப்பியகர்த்தாக்கள்
kasivathupola,கசிவதுபோல
vaerethum,வேறெதும்
valluravukkaarargal,வல்லுறவுக்காரர்கள்
kalivettaikku,கலிவேட்டைக்கு
aethuvae,ஏதுவே
pirappinmai,பிறப்பின்மை
noattamittavaaru,நோட்டமிட்டவாறு
rayilveyilthaan,ரயில்வேயில்தான்
thittavattamaakk,திட்டவட்டமாக்க்
kaatchichiththiram,காட்சிச்சித்திரம்
nalladevan,நல்லதேவன்
irukkumidaththaip,இருக்குமிடத்தைப்
siraththaiyudanum,சிறத்தையுடனும்
kooriyaavil,கோரியாவில்
muthiyavarpoala,முதியவர்போல
kulaththonmai,குலத்தொன்மை
viyappoaduthaan,வியப்போடுதான்
thamanukkumaana,தமனுக்குமான
kattuththogai,கட்டுத்தொகை
nerukku,நெறுக்கு
ooramirunthu,ஓரமிருந்து
kandrugalaiyoa,கன்றுகளையோ
santhaathaarkalukkum,சந்தாதார்களுக்கும்
arderildhan,ஆர்டரில்தான்
porukkigalaana,பொறுக்கிகளான
sulia,சூலியா
reedvittu,ரீட்விட்டு
kudiththuvittaaloa,குடித்துவிட்டாலோ
manthakaasamaana,மந்தகாசமான
magizhunththilaeyae,மகிழுந்திலேயே
porutpaduththinoama,பொருட்படுத்தினோமா
kidaippathaiyum,கிடைப்பதையும்
thiranaaivukkaaga,திறனாய்வுக்காக
ravankar,ரவங்கர்
ambalaanthuraiyaich,அம்பலாந்துறையைச்
mannippil,மன்னிப்பில்
paakkumattaip,பாக்குமட்டைப்
thoantrividak,தோன்றிவிடக்
uuravaiththulla,ஊறவைத்துள்ள
uruttivittaen,உருட்டிவிட்டேன்
arasiyalamaippaa,அரசியலமைப்பா
araikalukkum,அறைகளுக்கும்
ariviththuvittana,அறிவித்துவிட்டன
kaetjettugalaal,கேட்ஜெட்டுகளால்
iyangkiyavargalaa,இயங்கியவர்களா
hiyaatto,ஹியாட்டோ
meelakkaippattri,மீளக்கைப்பற்றி
vilakkikkondaal,விலக்கிக்கொண்டால்
vaelaivaaippirkul,வேலைவாய்ப்பிற்குள்
pennilai,பெண்ணிலை
ivvaarae,இவ்வாரே
virvir,விர்விர்
perunadigar,பெருநடிகர்
virumparaar,விரும்பறார்
jismee,ஜிஸ்மீ
thavaraagavum,தவராகவும்
thirumbakkattuthal,திரும்பக்கட்டுதல்
iraiyiyalaalarumaana,இறையியலாளருமான
manapaanmaiyaal,மனபான்மையால்
andhagaalaththilirunthu,அந்தகாலத்திலிருந்து
jaidevai,ஜெய்தேவை
luben,லூபன்
dikkettukkalukku,டிக்கெட்டுக்களுக்கு
ezhumpoada,எழும்போட
thadampathikkath,தடம்பதிக்கத்
karaikkappaduvathum,கரைக்கப்படுவதும்
naveenamaaga,நவீனமாக
seruppinaith,செருப்பினைத்
immaatchiyaip,இம்மாட்சியைப்
prajasalai,பிரஜாசாலை
sernthamaithaan,சேர்ந்தமைதான்
maesaigal,மேசைகள்
magnett,மேக்னெட்
bowththarkalukkuch,பௌத்தர்களுக்குச்
mudivethanaiyum,முடிவெதனையும்
vetrtrilaiyilthaan,வெற்றிலையில்தான்
vannamayamaanathu,வண்ணமயமானது
jalestan,ஜெலஸ்தான்
jaithiyin,ஜெய்தியின்
muthaloottru,முதலூற்று
varnasiramam,வர்ணாசிரமம்
menlia,மேன்லியா
praajaktukku,ப்ராஜக்டுக்கு
inththaviruthu,இந்தவிருது
aethumillaiyoa,ஏதுமில்லையோ
megathoothan,மேகதூதன்
pooriyaich,பூரியைச்
meiyunarnthoar,மெய்யுணர்ந்தோர்
stylingle,ஸ்டைலிங்கில்
soathikkappattathu,சோதிக்கப்பட்டது
paesikkittaaingka,பேசிக்கிட்டாய்ங்க
thekkumarakkuttrikalai,தேக்குமரக்குற்றிகளை
athikarigalukkum,அதிகரிகளுக்கும்
kuzhunilaivaadha,குழுநிலைவாத
muthebol,முத்தேபோல்
rathinavalli,ரத்தினவல்லி
munmaathirikku,முன்மாதிரிக்கு
kavanichathillai,கவனிச்சதில்லை
gopalarethinam,கோபாலரெத்தினம்
avargalul,அவர்களுள்
rashyargalil,ரஷ்யர்களில்
paeraayaththin,பேராயத்தின்
loahaan,லோஹான்
iniyamugaththaip,இனியமுகத்தைப்
nabaraippoal,நபரைப்போல்
koolippadaith,கூலிப்படைத்
viduthiyaraigalaik,விடுதியறைகளைக்
kondirudhaargal,கொண்டிருதார்கள்
uththarangkalaiyae,உத்தரங்களையே
mithanthuvaaru,மிதந்துவாறு
paapuraavukku,பாபுராவுக்கு
pirakaarangkal,பிரகாரங்கள்
neerththadaaga,நீர்த்தடாக
oruvaraippattrip,ஒருவரைப்பற்றிப்
kaangirasaarai,காங்கிரசாரை
abusaleemai,அபுசலீமை
licenses,லைசன்ஸ்
vayitrtrukkazhichchal,வயிற்றுக்கழிச்சல்
paaliyaattruk,பாலியாற்றுக்
nigazhvinmoolam,நிகழ்வின்மூலம்
compassion,கம்பாஷன்
pudhaippagam,புதைப்பகம்
theliththuviduvoam,தெளித்துவிடுவோம்
simone,சீமோன்
kaariyamaattruveerkal,காரியமாற்றுவீர்கள்
pettaikkuruvi,பெட்டைக்குருவி
saji,சாஜி
agaalithalaththukku,அகாலிதளத்துக்கு
sudhesan,சுதேசன்
sabrada,சப்ரதா
seyalagamaagak,செயலகமாகக்
kaanbikkacholli,காண்பிக்கச்சொல்லி
adiyavanaaga,அடியவனாக
uyirizhanthallamai,உயிரிழந்தள்ளமை
vizhappaarththathu,விழப்பார்த்தது
thagarppatharku,தகர்ப்பதற்கு
theervaiththaravidaamal,தீர்வைத்தரவிடாமல்
vios,வியோஸ்
veettuppanippen,வீட்டுப்பணிப்பெண்
kaamaatchithaasa,காமாட்சிதாச
pulangal,புலன்கள்
mavunaraagaththil,மவுனராகத்தில்
iyengarin,ஐயங்காரின்
kathirkalaalum,கதிர்களாலும்
verumaiyilaeyae,வெறுமையிலேயே
nalinamoadu,நளினமோடு
vishayamithu,விஷயமிது
kuttravunarvindri,குற்றவுணர்வின்றி
vanniththamil,வன்னித்தமிழ்
tharaachilirunthu,தராசிலிருந்து
vandhavargaludaiya,வந்தவர்களுடைய
raththinaavathi,இரத்தினாவதி
burbank,பர்பாங்க்
moolaththirkamaiya,மூலத்திற்கமைய
tharamathippeettinai,தரமதிப்பீட்டினை
maakkulam,மாக்குளம்
nerungivanthathu,நெருங்கிவந்தது
muppaaraiyin,முப்பாறையின்
ozhiththukkolla,ஒழித்துக்கொள்ள
thaalagak,தாளகக்
athikapathattramaanavai,அதிகபதற்றமானவை
anigalangalindri,அணிகலங்களின்றி
tulika,துலிகா
maesaik,மேசைக்
kelvippadaadhavai,கேள்விப்படாதவை
pudhainthirunthu,புதைந்திருந்து
madalaeriyavan,மடலேரியவன்
kirupaiyaalarum,கிருபையாளரும்
edukkappettru,எடுக்கப்பெற்று
baguran,பாகுரன்
nakkeerarilirunthu,நக்கீரரிலிருந்து
hoichchala,ஹொய்ச்சள
kazhippuru,களிப்புறு
sindhuvelikku,சிந்துவெளிக்கு
swatheenathudan,சுவாதீனத்துடன்
vazhikoalividum,வழிகோலிவிடும்
kenyarukku,கென்யருக்கு
maangaaiththool,மாங்காய்த்தூள்
pillaithachi,பிள்ளைதாச்சி
namakennada,நமக்கென்னடா
eppadiyaagavathu,எப்படியாகவது
amalpaduththiya,அமல்படுத்திய
poakiravaraik,போகிறவரைக்
karunayamman,கருணையம்மன்
kaattruyarththich,காற்றுயர்த்திச்
stirden,ஸ்டிர்டன்
andaththi,அண்டத்தி
echchariththamaiyaith,எச்சரித்தமையைத்
aththavarilirunthu,அத்தவறிலிருந்து
muzhuthalikkiraanaa,முழுதளிக்கிறானா
uuraada,ஊராட
marappadivugal,மரப்படிவுகள்
avizhththusutri,அவிழ்த்துசுற்றி
kaalappakutiyil,காலப்பகுதியில்
rendumulaiyum,ரெண்டுமுலையும்
thodangavum,தொடங்கவும்
koduthichi,கொடுத்திச்சி
parabarappaanathumaana,பரபரப்பானதுமான
padappidirku,படப்பிடிற்கு
kattihaaril,கட்டிஹாரில்
meththaigalilum,மெத்தைகளிலும்
mutharpaatham,முதற்பாதம்
sambanthaththaip,சம்பந்தத்தைப்
vadamathuraiyin,வடமதுரையின்
sarithaiyil,சரிதையில்
alaihivasallam,அலைஹிவசல்லம்
uthpava,உத்பவ
kanandraan,கனன்றான்
poraanthaachchu,பொறாந்தாச்சு
irumarungkaiyum,இருமருங்கையும்
erisaramaaka,எரிசரமாக
vasathippadavillai,வசதிப்படவில்லை
aetrtrukkondulloama,ஏற்றுக்கொண்டுள்ளோமா
koopaakkiniyil,கோபாக்கினியில்
koariyirunthum,கோரியிருந்தும்
punaiyummagaa,புனையும்மகா
unarnthuvittoam,உணர்ந்துவிட்டோம்
sreemakalatchumiyai,ஸ்ரீமகாலட்சுமியை
raviputi,ரவிபுதி
kettathumthaan,கேட்டதும்தான்
persiaavin,பெர்சியாவின்
chinnavaraave,சின்னவராவே
maathappan,மாதப்பன்
aachramavaasigal,ஆச்ரமவாசிகள்
isaiyamaikkalaam,இசையமைக்கலாம்
bassmark,பாஸ்மார்க்
naduviliruppavargal,நடுவிலிருப்பவர்கள்
pathinoarum,பதினோரும்
muraimaaman,முறைமாமன்
azhavaippavan,அழவைப்பவன்
kaalipaniyidaththil,காலிபணியிடத்தில்
silal,சிலல்
amainchirunthathu,அமைஞ்சிருந்தது
neramenpathu,நேரமென்பது
thadukkaamalirukkum,தடுக்காமலிருக்கும்
jayamagaavukku,ஜயமகாவுக்கு
suttuththallunga,சுட்டுத்தள்ளுங்க
solvalimai,சொல்வலிமை
pasangkalaththaan,பசங்களத்தான்
uyirinilum,உயிரினிலும்
aaboavum,ஆபோவும்
pennaik,பெண்ணைக்
envaazhvirkum,என்வாழ்விற்கும்
pirathinithiyaavaarkal,பிரதிநிதியாவார்கள்
parakkavittullanar,பறக்கவிட்டுள்ளனர்
migaiyattru,மிகையற்று
pathinmavayathukalil,பதின்மவயதுகளில்
abaththamena,அபத்தமென
aachcharyappaduvar,ஆச்சர்யப்படுவர்
iththeervai,இத்தீர்வை
ethuvumariyaatha,எதுவுமறியாத
mandhiramoorththiyidam,மந்திரமூர்த்தியிடம்
kallahu,கல்லாஹு
nadakkaavidil,நடக்காவிடில்
jayasanthi,ஜெயசாந்தி
mutchediga,முட்செடிக
olimayamaanavargalum,ஒளிமயமானவர்களும்
manakkaayangkal,மனக்காயங்கள்
gopalnagarai,கோபால்நகரை
inamuranpaattin,இனமுரண்பாட்டின்
pasiyaara,பசியார
resp,ரெஸ்ப்
soapithavum,சோபிதவும்
mudisoodiyavarukku,முடிசூடியவருக்கு
ethiriyoodan,எதிரியூடன்
kaattikkolgindrana,காட்டிக்கொள்கின்றன
abaaraathangkal,அபாராதங்கள்
maerkondunar,மேற்கொண்டுனர்
thamilththarappukkum,தமிழ்த்தரப்புக்கும்
thelinthaarkkuch,தெளிந்தார்க்குச்
nidanthullathu,நிடந்துள்ளது
iraanuvaththalaiyeedugal,இராணுவத்தலையீடுகள்
valuvalippathu,வலுவளிப்பது
poosuvatharkuth,பூசுவதற்குத்
periyaampiyaiyum,பெரியாம்பியையும்
iraatsan,இராட்சன்
paniyamartthappatta,பணியமர்த்தப்பட்ட
therivaagiyirunthamai,தெரிவாகியிருந்தமை
iruppondrai,இருப்பொன்றை
ettappattathil,எட்டப்பட்டதில்
avveedugalaik,அவ்வீடுகளைக்
katchiyudaana,கட்சியுடான
kalaayththirunthaalum,கலாய்த்திருந்தாலும்
pooranagiri,பூரணகிரி
kottaivagaigal,கொட்டைவகைகள்
gombin,கோம்பின்
paadirukkaaru,பாடிருக்காரு
mijoramilum,மிஜோரமிலும்
gelophorgia,ஜிலோபோர்ஜியா
madattrum,மடற்றும்
neyyal,நெய்யல்
aalungkumbal,ஆளுங்கும்பல்
nirmalanathanidam,நிர்மலநாதனிடம்
athishtaanaththai,அதிஷ்டானத்தை
mayakkamurachcheythu,மயக்கமுறச்செய்து
ilaikalaiyaavathu,இலைகளையாவது
koduththuvittallava,கொடுத்துவிட்டல்லவா
kalviyaalanaagavum,கல்வியாளனாகவும்
neelappadaththil,நீளப்படத்தில்
pudhumugamoa,புதுமுகமோ
namrudhaavudan,நம்ருதாவுடன்
nagarththivittaar,நகர்த்திவிட்டார்
isaiyama,இசையம
vaettaangka,வேட்டாங்க
musleemgalaivida,முஸ்லீம்களைவிட
sagavaazhvinul,சகவாழ்வினுள்
nattullathoadu,நட்டுள்ளதோடு
kambarudan,கம்பருடன்
compartmentai,கம்பார்ட்மென்ட்டை
maridipegavuda,மரிதிப்பேகவுடா
pathiyaanavar,பதியானவர்
kurainthirunthathaalum,குறைந்திருந்ததாலும்
piranaattaich,பிறநாட்டைச்
eedupaadugalum,ஈடுபாடுகளும்
piraananudan,பிராணனுடன்
inchinaana,இஞ்சினான
jameenukku,ஜமீனுக்கு
anjappoavathum,அஞ்சப்போவதும்
ikkoozhinai,இக்கூழினை
samayakalviyai,சமயக்கல்வியை
pakkuvak,பக்குவக்
ariyaamakkal,அறியாமக்கள்
vadivanaerththiyaik,வடிவநேர்த்தியைக்
peruththavarai,பெறுத்தவரை
karudhugireergalaanaal,கருதுகிறீர்களானால்
viruppappadaamalaeyae,விருப்பப்படாமலேயே
raymont,ரேமன்ட்
muradanukku,முரடனுக்கு
vittaarpoandra,விட்டாற்போன்ற
arivucheyalpaadoa,அறிவுச்செயல்பாடோ
panniduvaainga,பண்ணிடுவாய்ங்க
sethukkaruvikkum,செதுக்கருவிக்கும்
kazhinjidum,கழிஞ்சிடும்
kooriyiruppathaich,கூறியிருப்பதைச்
siriyaarai,சிறியாரை
vaikkavillaiyentra,வைக்கவில்லையென்ற
sevidarkalaaik,செவிடர்களாய்க்
agavaazhvai,அகவாழ்வை
maaradippu,மாரடிப்பு
vidhagal,விதகள்
mannarmannan,மன்னர்மன்னன்
bhabusha,பாபுஷா
erikulangkalumae,எரிகுளங்களுமே
nizharkudaiye,நிழற்குடையே
sylvester,ஸில்வெஸ்டர்
niruvanaththinarudaiya,நிறுவனத்தினருடைய
ipparambaraiyil,இப்பரம்பரையில்
thuvanthayuththam,துவந்தயுத்தம்
hiflu,ஹிஃப்ளு
memorielde,மெமோரியல்டே
piramukaraith,பிரமுகரைத்
kaikoorththaai,கைகோர்த்தாய்
dindhimi,திந்திமி
aarvamkondavan,ஆர்வம்கொண்டவன்
kaasaalarai,காசாளரை
seiyirathaiyellaam,செய்யிறதையெல்லாம்
nithiththuraigalukku,நிதித்துறைகளுக்கு
vaazhththukkoova,வாழ்த்துக்கூவ
urumaththodangkiyathu,உறுமத்தொடங்கியது
thadaiseiyappattatha,தடைசெய்யப்பட்டதா
thooralaagiyathu,தூறலாகியது
ulaichchalaalum,உளைச்சலாலும்
kanavananin,கணவனனின்
therivikkamudiyum,தெரிவிக்கமுடியும்
poakintrapoakkil,போகின்றபோக்கில்
aeththidunga,ஏத்திடுங்க
thittiyaavathu,திட்டியாவது
manjchalaattrup,மஞ்சளாற்றுப்
atharkuchchaathagamaaga,அதற்குச்சாதகமாக
uruththuk,உறுத்துக்
veliyittoo,வெளியிட்டூ
paerarasaraiyum,பேரரசரையும்
mezhugaippoala,மெழுகைப்போல
kudiyarasinaal,குடியரசினால்
rajiniyaippoandru,ரஜினியைப்போன்று
athirchchiyudanaeyae,அதிர்ச்சியுடனேயே
thandakki,தண்டாக்கி
kikankari,கிக்கன்காரி
theepidiththapadi,தீபிடித்தபடி
paanchaalaththarasiyidam,பாஞ்சாலத்தரசியிடம்
pugaiththalukkaaga,புகைத்தலுக்காக
thallippoaividum,தள்ளிப்போய்விடும்
thongalkalai,தொங்கல்களை
nuzhainjchidapoaguthu,நுழைஞ்சிடபோகுது
mohallaathoarum,மொஹல்லாதோறும்
prasaathiththaar,ப்ரசாதித்தார்
andaardigaavukkuch,அண்டார்டிகாவுக்குச்
santhaanikku,சந்தானிக்கு
maanaayakkaraaga,மாநாயக்கராக
vechiruppaalae,வெச்சிருப்பாளே
naattaanmaithaarargal,நாட்டாண்மைதாரர்கள்
valarmala,வளர்மாலா
chinnaarupathi,சின்னாறுபதி
ilavarasaru,இளவரசரு
idappattirukkirathu,இடப்பட்டிருக்கிறது
aakiyoarukkidaiyil,ஆகியோருக்கிடையில்
iraiththootharumae,இறைத்தூதருமே
vamanarao,வமனராவ்
thirukkandiyur,திருக்கண்டியூர்
marudhuganesh,மருதுகணேஷ்
neethithodarpilum,நீதிதொடர்பிலும்
athikaarampettra,அதிகாரம்பெற்ற
maarappoavathai,மாறப்போவதை
thiruvikittu,திருவிகிட்டு
cdu,சிடியு
azhaiththiruppin,அழைத்திருப்பின்
naalanthaavil,நாலந்தாவில்
paraththeruvila,பறத்தெருவில
tharkurigalae,தற்குறிகளே
nartheivangkalaaga,நற்தெய்வங்களாக
avamaanaththirkuriyathe,அவமானத்திற்குரியதே
thiramaiyinmaiyaaga,திறமையின்மையாக
matsyanattu,மத்ஸ்யநாட்டு
vasiyaretti,வசியரெட்டி
saantraliththuk,சான்றளித்துக்
kaathalaridamum,காதலரிடமும்
ameeragaththukkumaana,அமீரகத்துக்குமான
echcharippatharku,எச்சரிப்பதற்கு
padaruvathaip,படருவதைப்
vanseyalgal,வன்செயல்கள்
kaiyarindha,கையறிந்த
padaikkalangkalaik,படைக்கலங்களைக்
thaduththiruk,தடுத்திருக்
mudikkatheriyaamal,முடிக்கத்தெரியாமல்
moadiyaanaalum,மோடியானாலும்
chromosomgalildhaan,குரோமோசோம்களில்தான்
purchases,பர்ச்சேஸ்
pamajestic,பமஜஸ்டிக்
poothaththaarthaan,பூதத்தார்தான்
sirithaana,சிறிதான
seiyappadaamayae,செய்யப்படாமயே
veettinathu,வீட்டினது
palvattrin,பல்வற்றின்
urandai,உரண்டை
thodakkaththilaiye,தொடக்கத்திலையே
puththitheliya,புத்திதெளிய
manthanilaiyilum,மந்தநிலையிலும்
vizhippoottukintra,விழிப்பூட்டுகின்ற
sangupol,சங்குபோல்
vinaimai,வினைமை
itrtraippaduththiya,இற்றைப்படுத்திய
yousikku,யூசிக்கு
puuthampoal,பூதம்போல்
ichchattappadiyaana,இச்சட்டப்படியான
munnoattamudaiya,முன்னோட்டமுடைய
avvalaigal,அவ்வலைகள்
kanetharaana,கணிதரான
vaaychchi,வாய்ச்சி
pathivaettraththinpoathu,பதிவேற்றத்தின்போது
thoguthippakkamum,தொகுதிப்பக்கமும்
ethiramaraiyaagavum,எதிரமறையாகவும்
aerilirunththu,ஏரிலிருந்து
ulagaippaarppathaanathu,உலகைப்பார்ப்பதானது
mithipputh,மிதிப்புத்
veelththividumaa,வீழ்த்திவிடுமா
nehruji,நேருஜி
sirumaippattaalum,சிறுமைப்பட்டாலும்
siraippattathum,சிறைப்பட்டதும்
uzhalgiraar,உழல்கிறார்
pirathipaththikku,பிரதிபத்திக்கு
staabiyil,ஸ்தாபியில்
entralariyathu,என்றலறியது
kudiyiruppalarin,குடியிருப்பாளரின்
oliparappuvathilum,ஒலிபரப்புவதிலும்
nerppaarvaiyil,நேர்ப்பார்வையில்
niruththuvathaippatri,நிறுத்துவதைப்பற்றி
mumthajudan,மும்தாஜூடன்
thuraimugaththukkaaga,துறைமுகத்துக்காக
trimp,ட்ரிம்ப்
praarthnaiyil,பிரார்த்னையில்
angkuvarumaarum,அங்குவருமாறும்
yadainthathu,யடைந்தது
illaththoada,இல்லத்தோட
aelamum,ஏலமும்
vaenmoathi,வேன்மோதி
viyanththupoakiraarkal,வியந்துபோகிறார்கள்
ezhuchchippaadar,எழுச்சிப்பாடற்
pinthik,பிந்திக்
thigazhavendiya,திகழவேண்டிய
nithyarkalum,நித்யர்களும்
navippillaiyidam,நவிப்பிள்ளையிடம்
maatheshkku,மாதேஷ்க்கு
kaattarasanaagiradhu,காட்டரசனாகிறது
isainyaaniyoa,இசைஞானியோ
uyirththuliyin,உயிர்த்துளியின்
seirpadum,செய்ற்படும்
mudivedukkindraan,முடிவெடுக்கின்றான்
manikkuzhaiyum,மணிக்குழையும்
thevathaikkathaikalil,தேவதைக்கதைகளில்
moongkilaippoandra,மூங்கிலைப்போன்ற
serukizhangkai,செறுகிழங்கை
omaha,ஒமாஹா
paeralaiyaa,பேரலையா
thunivullaval,துணிவுள்ளவள்
suzvitcherlandhaich,சுஸ்விட்சர்லாந்தைச்
arimugaththoada,அறிமுகத்தோட
vannamaeyul,வண்ணமேயுள்
seiyappaduvatharku,செய்யப்படுவதற்கு
muzhuchchaatchiyamaaga,முழுச்சாட்சியமாக
iruthivaaraththin,இறுதிவாரத்தின்
thittakkuzhumaththidam,திட்டக்குழுமத்திடம்
vasappadakkoodiyavaraaga,வசப்படக்கூடியவராக
aatharavalikkavum,ஆதரவளிக்கவும்
kidakkiraayae,கிடக்கிறாயே
azhiththalukkum,அழித்தலுக்கும்
