shindhanchem,शिंधांचें
supriyaach,सुप्रियाच
varche,वरचें
lokalamaage,लोकलमागे
sungata,सुंगटा
vaddisachi,वाडदिसाची
bhondiyaalay,भोंदियालय
chitpavananche,चित्पावनांचे
fittingchi,फिटिंगची
drushtikonachya,दृष्टिकोनाच्या
aatave,आटवे
konkanivaadyaanchi,कोंकणीवाद्यांची
smrutipatalavar,स्मृतिपटलावर
bhagyavantachya,भाग्यवंताच्या
vatarantalyo,वाटारांतल्यो
borcona,बोर्कोना
bhetalaat,भेटलात
daarumaate,दारूमाते
ghadvaychiy,घडवायचीय
saahityakriti,साहित्यकृती
uddaanaabaddal,उड्डाणाबद्दल
bhakshyachya,भक्ष्याच्या
gadyant,गाड्यांत
manpur,मानपूर
nrutyamudretil,नृत्यमुद्रेतील
rojhar,रोजहार
jamille,जमिल्ले
pratinidhigruhashi,प्रतिनिधीगृहाशी
saglyankarta,सगळ्यांकरता
sattarlaa,सत्तरला
atipratishtit,अतिप्रतिष्ठीत
parshvabhuvar,पार्श्वभूवर
firavale,फिरवले
dhuranchi,धुरांची
shramapratishtechee,श्रमप्रतिष्ठेची
pramanya,प्रामाण्य
chintintalem,चिटिंतलें
crolling,क्रोलिंग
niyatran,नियत्रण
monyaane,मोन्याने
espikade,एस्पीकडे
langotean,लंगोटेन
aantarkhandiy,आंतरखंडीय
atsne,एटीएसने
sailaanich,सैलानीच
pavashyanchi,पावश्यांची
tandullala,तांदूळाला
schizophrenia,स्किझोफ्रॅनिया
bachelors,बॅचलर्स
dhupanni,धुपाणी
sanganyabadalyat,सांगण्याबदल्यात
subodhachya,सुबोधच्या
nachiketaache,नचिकेताचे
lailyo,लायल्यो
hadapasarapaasun,हडपसरपासून
laayabrareetalee,लायब्ररीतली
fulranit,फुलराणीत
sachidaanandaachaa,सच्चिदानंदाचा
mandalimbadal,मंडळींबदल
maavalaateel,मावळातील
kalyanguti,कल्याणगुटी
shreebhagavantaalen,श्रीभगवंतालें
kades,कडेस
sanrakshanaapaasun,संरक्षणापासून
durlabhatemule,दुर्लभतेमुळे
cathadralaacho,कॅथड्रलाचो
bhangaaraatun,भंगारातून
shatarudriya,शतरुद्रिय
sangsu,सांगसू
ikshu,इक्षु
nondihi,नोंदीही
shastravikretyaa,शस्त्रविक्रेत्या
baalaachi,बाळाची
aarakshanaavyatireekt,आरक्षणाव्यतिरीक्त
samaraant,समरांत
pranyantuy,प्राण्यांतूय
mankulea,माणकुल्या
baapaani,बापांनी
dikentalyaa,दिकेंतल्या
loharach,लोहाराच
charchakarachya,चर्चाकाराच्या
nnav,णव
kigra,किग्र
daabisakaakaahee,डाबिसकाकाही
kulichyach,कुळीच्याच
vaatetahee,वाटेतही
naasirlaa,नासिरला
hodivaalyaanchaa,होडीवाल्यांचा
tyath,त्याथ
sparshayala,स्पर्शायला
hyakarane,ह्याकारणे
rushabhadattaachaa,ऋषभदत्ताचा
gaveraabaddal,गवेराबद्दल
zambos,जांबोस
dhamkavat,धमकावत
nhavtya,न्हावत्या
sarakato,सरकतो
bahechya,बाहेच्या
rajmandirakade,राजमंदिराकडे
harvestingane,हार्वेस्टिंगने
aatmaanubhuti,आत्मानुभूती
kingadmane,किंगडमने
mothyan,मोठ्ठ्यान
zaayaraatasuddaa,झायरातसुद्दा
rajiyasi,राजियासी
bachulkar,बाचुलकर
goyalanchya,गोयलांच्या
aavadibaddal,आवडीबद्दल
onil,ओनील
drushtipalikadlya,दृष्टीपलीकडल्या
sapaatine,सपाटीने
binasale,बिनसले
drutalayeet,द्रुतलयीत
pangache,पंगाचे
maarku,मार्कू
kapadyantala,कपड्यांतला
aadanaavaache,आडनावाचे
humaa,हुमा
sanyuganche,संयुगांचें
potatidikene,पोटतिडिकेने
jaagechi,जागेची
saktichen,सक्तीचें
nadinchyaa,नदिंच्या
washingtonchya,वॉशिंग्टनच्या
morulo,मोरूलो
udhyeg,उध्येग
futeer,फुटीर
haasavapi,हासवपी
aalandeesaathee,आळंदीसाठी
stambhasheershaakhaaleel,स्तंभशीर्षाखालील
paristhint,परिस्थींत
uthanyaabasanyaapaasun,उठण्याबसण्यापासून
badalatach,बदलतच
paalikaani,पालिकांनी
tendulkarni,तेंडुलकरनी
shabdabharaari,शब्दभरारी
sajayalo,सजयलो
rannragache,रणरागाचे
misbah,मिसबाह
shetank,शेतांक
nijamshahithi,निजामशाहीतही
sajelaa,सजेला
melaane,मेळाने
keralsarkhi,केरळसारखी
upshanka,उपशंका
haftyaavar,हफ्त्यावर
hangitalyashivay,हांगितल्याशिवाय
sansargajanya,संसर्गजन्या
gitaarahasyaa,गीतारहस्या
karitaach,करिताच
yaanch,यांच
raigarh,रायगड
tikaakaaraanbhitar,टीकाकारांभितर
palavanshantalya,पालवंशांतल्या
gandhivicharanvar,गांधीविचारांवर
nutanachyaa,नूतनच्या
ugamasthanache,उगमस्थानाचे
anaadaraapoti,अनादरापोटी
mazyahari,माझ्याहरी
saraswateshwar,सरस्वतेश्वर
bramharshi,ब्रम्हर्षि
chitnisala,चिटणीसाला
percepts,पर्सेप्टस
ganeshotsavaakaritaa,गणेशोत्सवाकरिता
thechyaapekshaahi,ठेच्यापेक्षाही
blacksmith,ब्लॅकस्मिथ
raashtraache,राश्ट्राचे
hormonsamadhye,हॉर्मोन्समध्ये
bhyaayalo,भ्यायलो
miksarkade,मिक्सरकडे
sadguni,सदगुणी
trivedini,त्रिवेदीनी
kanhyanchi,कान्ह्यांची
uddhanch,उद्दांच
rachnetil,रचनेतील
kaidetalaa,कैदेतला
kuddempanaant,कुड्डेंपणांत
basabaddal,बसबद्दल
aniket,अनिकेत
shiron,शिरोन
clikschyaa,क्लिक्सच्या
dhokyanpasun,धोक्यांपासून
jinkvaayche,जिंकवायचे
takrardarache,तक्रारदाराचे
anouncementchi,अनाउंसमेंटची
khulkhulla,खूळखुळा
shankaracharyan,शंकराचार्यान
hotaasi,होतासी
manomayee,मनोमयी
paishaavarun,पैशावरुन
kovidaar,कोविदार
sateedaaho,सतीदाहो
aghadivardekhil,आघाडीवरदेखील
devarayanantarchya,देवरायानंतरच्या
shakirahi,शकिराही
rajgharanyacho,राजघराण्याचो
sambandhaanbaabat,संबंधांबाबत
dhulisarkha,धुळीसारखा
mankaryakadun,मानकर्याकडून
factorymadhun,फॅक्ट्रीमधून
mirachyaanbarobar,मिरच्यांबरोबर
aachaaraavishi,आचाराविशी
vachanem,वचनें
mokshamaargaache,मोक्षमार्गाचे
shodhanyacham,शोधण्याचं
dharmarajacha,धर्मराजाचा
pahadikshetratil,पहाडीक्षेत्रातील
jogee,जोगी
gruhsudha,गृहसुद्धा
lokabhavaneche,लोकभावनेचे
kullaacho,कुळाचो
kishoralaach,किशोरलाच
udargatikhatir,उदरगतीखातीर
pravahavahak,प्रवाहवाहक
uddeshaachi,उद्देशाची
boven,बोवेन
ayushyamanabaddal,आयुष्यमानाबद्दल
julillo,जुळिल्लो
shodhaavit,शोधावित
kerohapeksha,केरोहपेक्षा
vakyavarun,वाक्यांवरून
gallenbaddal,गॅलेनबद्दल
indianonka,इंडियनोंका
ghatikemadhye,घटिकेमध्ये
pyaadyaavarachi,प्याद्यावरची
nirbhartsanene,निर्भर्त्सनेने
lihinyaapurvich,लिहिण्यापूर्वीच
dharmanirapekshatet,धर्मनिरपेक्षतेत
vevhalenthasarakhya,वेव्हलेन्थसारख्या
likhaanaalaach,लिखाणालाच
okanyachya,ओकण्याच्या
vedhvinare,वेधविणारे
britishan,ब्रिटीशन
asosiyeshanaa,असोसियेशना
jyayotivindaanchi,ज्ययोतिविंदांची
purvanyas,पुरवण्यास
sahityashi,साहित्याशी
sangmatlyan,संगमातल्यान
angikaarato,अंगिकारतो
pujovan,पुजोवन
avishkaranaatun,अविष्करणातून
ekantarit,एकांतरीत
ghodyak,घोड्याक
faaltuhi,फालतूही
saglyaankaritaach,सगळ्यांकरिताच
velded,वेल्डेड
janavaranch,जनावरांच
vajtayat,वाजतायत
sanganakaakhaatir,संगणकाखातीर
bhishmashishya,भीष्मशिष्य
yutopiyavad,युटोपियावाद
depending,डिपेंडिंग
survaater,सुरवातेर
pratikarshaktimule,प्रतिकारशक्तीमुळे
singdekhil,सिंगदेखील
kaabulaant,काबूलांत
tujhyaabhovatich,तुझ्याभोवतीच
sammelanakarita,संमेलनाकरिता
shamalji,शामलजी
raajabandyaanchi,राजबंद्यांची
kapurbavadichya,कापूरबावडीच्या
kambhu,कंभू
sambhalanyakarita,सांभाळण्याकरिता
ramsingla,रामसिंगला
nagalandak,नागालँडाक
itihasavarhi,इतिहासावरही
dhapaate,धपाटे
vachleybagar,वाचलेबगर
ekaamekaans,एकामेकांस
mulich,मुलीच
santatisambandhi,संततीसंबंधी
vargiyancho,वर्गीयांचो
dighesaaheb,दिघेसाहेब
misturaat,मिस्तुरात
kriketapatu,क्रिकेटपटु
patapedyaansaarakhyaa,पतपेढ्यांसारख्या
initiativechea,इनिशिएटीव्हच्या
aalyaapaasunach,आल्यापासूनच
gaaje,गाजे
karachukavegireechehee,करचुकवेगिरीचेही
kamalinibaddal,कमलिनीबद्दल
dolyaanvarvi,दोळ्यांवरवीं
vyajsahit,व्याजसहित
daakhun,दाखून
vhaanvooy,व्हांवून
manushyavanshaachaa,मनुष्यवंशाचा
bhagantla,भागांतला
kaalkhandaach,कालखंडाच
fransvar,फ्रान्सवर
hardbound,हार्डबाऊंड
madtichehi,मदतीचेही
davarpaache,दवरपाचे
paratavyasathihi,परताव्यासाठीही
hirangaanaa,हिरंगाना
kalakrutinkade,कलाकृतींकडे
agodarsarkhach,अगोदरसारखाच
beghatanatmak,बेघटनात्मक
vaadyavrundaat,वाद्यवृंदात
folbhar,फलभार
nidanasathi,निदानासाठी
sukhvastu,सुखवस्तु
khedeganvani,खेडेगांवांनी
agrahara,अग्रहारा
bandarapaiki,बंदरापैकी
bhaktintalyaan,भक्तींतल्यान
dnyanprasar,ज्ञानप्रसार
ragataavari,रगतावरी
ekkank,एककांक
chopadyaahun,चोपड्याहून
alankaravishim,अलंकाराविशीं
pagadichi,पगडीची
nidhauli,निधौली
vyadhimuktichya,व्याधीमुक्तीच्या
vichaaralans,विचारलंस
sangamaneravarun,संगमनेरवरून
abhaavit,अभावित
mhaisamaal,म्हैसमाळ
karyakramarthila,कार्यक्रमार्थीला
websitevar,वेबसायटवर
deshaamadhyehi,देशामध्येही
sipz,सिप्झ
kheladumbaddalcha,खेळाडूंबद्दलचा
astittav,अस्तित्तव
afucho,अफूचो
hanoo,हाणू
baahyaangiy,बाह्यांगीय
publigkali,पब्लिग्कली
dhanagaravaadyaatil,धनगरवाड्यातील
jatibhatar,जातीभातर
darren,डॅरेन
madhamashache,मधमाशाचे
tripurasuracha,त्रिपुरासुराचा
manillyan,मानिल्ल्यान
patkyam,पातक्यां
veeralakshmeenche,वीरलक्ष्मींचे
srushtichakra,सृष्टिचक्र
pravruteenchaahee,प्रवृत्तींचाही
contreemen,कंट्रीमेन
ghokapatateene,घोकपटटीने
interferometer,इंटरफेरोमीटर
dalitabaandhavaankade,दलितबांधवांकडे
pakgruhat,पाकगृहात
nyutronaanchyaa,न्युट्रॉनांच्या
jaankaaraank,जाणकारांक
sharavatisathi,शरावतीसाठी
bradford,ब्रॅडफर्ड
praantaanbaddal,प्रांतांबद्दल
asalelishraddha,असलेलीश्रद्धा
turkameni,तुर्कमेनी
rikaamatekadepanaane,रिकामटेकडेपणाने
rojgarasathiche,रोजगारासाठीचे
shivichya,शिवीच्या
ultich,उलटीच
sexophonesaarakhaa,सॅक्सोफोनसारखा
colonit,कोलोनीत
shadprayogane,शादप्रयोगाने
kutumbaansobatahee,कुटुंबांसोबतही
vijayvargiya,विजयवर्गीय
kisaldevi,किसलदेवी
chanyanchi,चण्यांची
agnipatha,अग्निपथा
anupamachya,अनुपमाच्या
ukhdaychya,उखडायच्या
asanyaatunach,असण्यातूनच
aaryakaalin,आर्यकालीन
bacchaakaa,बच्चाका
hattichya,हत्तीच्या
maatrudashak,मातृदशक
durbhagyachya,दुर्भाग्याच्या
tailsura,तैलसुरा
saranaavar,सरणावर
andhatvaane,अंधत्वाने
thikaanaabadhal,ठिकाणाबधल
udbhavale,उद्भवले
ligurian,लिगुरियन
dattaramanchya,दत्तारामांच्या
dolarsamule,डॉलर्समुळे
sarkarachyo,सरकाराच्यो
upshapasun,उपशापासून
vhodakaapremi,व्होडकाप्रेमी
mugadaaleeche,मुगदाळीचे
jikalelya,जिकलेल्या
jezebel,जेझेबेल
barakhadichi,बाराखडीची
puraanakaalaapaasun,पुराणकाळापासून
kavitetal,कवितेतल
ahankarach,अहंकाराच
prabhupaadaswaaminchyaa,प्रभुपादस्वामींच्या
mhadeo,म्हादेव
garvonmatt,गर्वोन्मत्त
pradhaanasaahebaani,प्रधानसाहेबांनी
rolsamem,रोल्समें
buchaamadhye,बुचांमध्ये
badavanyachya,बडवण्याच्या
sarthata,सार्थता
ardhyaawayar,अर्द्यावयर
antagonist,अँटागोनिस्ट
aagaaraatun,आगारातून
sirinjahi,सिरींजही
danaat,दानात
abhijatvada,अभिजातवादा
vibhaagane,विभागणे
rashiyaavaroon,रशियावरून
lihunhi,लिहुनही
upeg,उपेगः
pahanyaasaathi,पहण्यासाठी
hachevaylyan,हाचेवयल्यान
altitude,अल्टिट्यूड
nesli,नेसली
krauryatechi,क्रौर्यतेची
saahityechyaa,साहित्येच्या
mahabharatasarakham,महाभारतासारखं
vijayaavishayee,विजयाविषयी
milkapaavadar,मिल्कपावडर
echpasun,एचपासून
rejistraarakade,रेजिस्ट्रारकडे
maatiyer,मातियेर
suchetaachaa,सुचेताचा
indradhanusahi,इंद्रधनूसही
mahatmajinchi,महात्माजींची
hedingakhaalee,हेडिंगखाली
nagarikshastracha,नागरिकशास्त्राचा
upapratisaadaavarun,उपप्रतिसादावरून
jyotishaavaril,ज्योतिषावरील
kruratechyaa,क्रूरतेच्या
dhigaryamadhye,ढिगाऱ्यामध्ये
nelech,नेलेच
mathealleaakhaala,माथ्याळ्याखाला
shodhanekaa,शोधणेका
kartavyaanpaikee,कर्तव्यांपैकी
gondhalalepanaa,गोंधळलेपणा
magdhachya,मगधाच्या
fokaanche,फोकांचे
shasrijichya,शास्रीजीच्या
bhaavanaanmadhali,भावनांमधली
tikitaanpaasun,तिकिटांपासून
asvalyaa,अस्वल्या
chitrapatagruhaateel,चित्रपटगृहातील
navaryaarobar,नवर्यारोबर
suhrudach,सुहृदच
lovercraft,लवरक्राफ्ट
vicharitach,विचारिताच
dumbelschi,डंबेल्सची
bajubandh,बाजूबंध
thevavem,ठेवावें
mandalaalaach,मंडळालाच
shvaasochchhvaasaasaathee,श्वासोच्छ्वासासाठी
lipivachun,लिपीवचून
partnerche,पार्टनरचे
paryatakaanvarach,पर्यटकांवरच
olimpasamadhye,ऑलिंपसमध्ये
skandpuranachya,स्कंदपुराणाच्या
mumarak,मुमाराक
kuvetmadhil,कुवेतमधील
tapakirichyo,तपकिरीच्यो
typhoidachyaa,टायफॉइडच्या
chahasarkhe,चहासारखे
rakshasante,राक्षसांतें
engrajanchich,इंग्रजांचीच
yuzef,युझेफ
pashrchimes,पश्र्चिमेस
sukdi,सुकडी
yazmanabarobarach,यजमानाबरोबरच
badalanyaachyaahi,बदलण्याच्याही
patingyaa,पतिंग्या
mudatinchya,मुदतींच्या
maagitalit,मागितलीत
chalvant,चालवंत
navihi,नवीही
sangeetaachoch,संगीताचोच
lokapratinidhincho,लोकप्रतिनिधींचो
spardhandarmyan,स्पर्धांदरम्यान
deetlim,दितलीं
dhavnara,धावणारा
yutibaherche,युतीबाहेरचे
daalaavayaas,दाळावयास
urjitaavasthelaa,उर्जितावस्थेला
bhupinder,भूपिंदर
nighalyashivay,निघाल्याशिवाय
haldivar,हळदीवर
kluptyana,क्लुप्त्यांना
shidoritli,शिदोरीतली
datarakaku,दातारकाकू
maangad,मानगड
bholebhabadya,भोळेभाबड्या
vesel,वेसेल
rogyaanvar,रोग्यांवर
janmatarkhebaddal,जन्मतारखेबद्दल
itaraanhun,इतरांहून
bhavnagarche,भावनगरचे
malingaane,मलिंगाने
bhetiaadhichyaa,भेटीआधीच्या
nikhloba,निखलोबा
kaarakirdienchie,कारकिर्दींची
strinyaanvar,स्त्रिंयांवर
bevdyala,बेवड्याला
janghejavalche,जांघेजवळचे
patravalit,पत्रावळीत
tumchyavaril,तुमच्यावरील
ishwarhi,ईश्वरही
yaanench,यानेंच
denmarkchi,डेन्मार्कची
gavasaneech,गवसणीच
deshabhovti,देशाभोवती
raagaavanar,रागावणार
pratyekato,प्रत्येकटो
pillaachihi,पिल्लाचीही
nisarganiyamaat,निसर्गनियमात
sirajchea,सिराजच्या
karadatmakadyan,करदात्माकड्यान
kridamitra,क्रिडामित्र
shahanyala,शहाण्याला
gunsutraat,गुणसुत्रात
celebrated,सेलेब्रेटेड
aayapeeochee,आयपीओची
daityachyach,दैत्याच्याच
zudupatla,झुडुपातला
electrochemical,इलेक्ट्रोकेमिकल
aatapalees,आटपलीस
bhitipalikade,भितीपलीकडे
tamaashaavar,तमाशावर
trojanaanbarobarach,ट्रोजनांबरोबरच
maalapraktisachee,मालप्रॅक्टिसची
iftarsathi,इफ्तारसाठी
narsingdekhil,नरसिंगदेखील
chukichya,चुकीच्या
sanghatanepurvich,संघटनेपूर्वीच
milavaayachech,मिळवायचेच
recordingchi,रेकॉर्डिंगची
futaanech,फुटानेच
olympiads,ऑलिंपियड्स
tasepan,तसेपण
ugavalelech,उगवलेलेच
ghava,घावा
yusufaakadlyaan,यूसुफाकडल्यान
khatalyancho,खातल्यांचो
bhijalela,भिजलेला
karyakalamadhye,कार्यकाळामध्ये
hatakalyaavar,हटकल्यावर
hectorputra,हेक्टरपुत्र
bekaritun,बेकारीतून
shikagolahi,शिकागोलाही
pakavanyashivaay,पकवण्याशिवाय
gorakshak,गोरक्षक
nirnayaabaddal,निर्णयाबद्दल
raigadchi,रायगडची
mandiraanantar,मंदिरानंतर
shodhakbuddhi,शोधकबुद्धी
humbara,हंबरा
purnatesathi,पूर्णतेसाठी
vishthetil,विष्ठेतील
chargebacks,चार्जबॅक्स
thatatil,थाटातील
vadilaankadil,वडिलांकडील
kharadlyaali,खरडल्याली
udbhaasanaatil,उद्भासनातील
utkranteechya,उत्क्रांतीच्या
parikshakendravar,परिक्षाकेंद्रावर
nukasaanabharapaaeche,नुकसानभरपाईचे
capuchin,कॅम्पुचीन
jwaalaamukhich,ज्वालामुखीच
anubhavaarjit,अनुभवार्जित
dharyanchya,धार्यांच्या
saayateenvar,सायटींवर
tatvagyanantalya,तत्वज्ञानांतल्या
swichesachyaa,स्विचेसच्या
chosar,चोसर
aakramanaashi,आक्रमणाशी
dampatyoh,दंपत्योः
jichakaransarakhya,जिचकारांसारख्या
baanune,बाणूने
cups,कप्स
pragateemaage,प्रगतीमागे
kathashri,कथाश्री
suryadevani,सुर्यदेवानी
suryakiranaannee,सूर्यकिरणांनी
yaaradostaansobat,यारदोस्तांसोबत
rakameshivaay,रकमेशिवाय
daakhvaichea,दाखवयच्या
khalyagharche,खाल्याघरचे
drushtikshepaatahee,दृष्टिक्षेपातही
vyaal,व्याल
nashma,नश्मा
dukaanadaaraakadun,दुकानदाराकडून
vardhaach,वर्धाच
maskin,मस्किन
savdhanteche,सावधानतेचे
sthanisuddha,स्थानीसुद्धा
milaalyet,मिळाल्येत
samraataacher,सम्राटाचेर
punavadivari,पुनवडीवरी
janandolanancha,जनआंदोलनांचा
abhyasaiche,अभ्यासायचे
haatagaadyaatun,हातगाड्यातून
battermadhye,बॅटरमध्ये
aatenshi,आतेंशी
nob,नॉब
kalambaa,कळंबा
gotraanche,गोत्रांचे
bhogu,भोगू
aavdeli,आवडेली
ugaaratach,उगारतच
prasangaamadhalyaa,प्रसंगांमधल्या
hotelamalakancha,हॉटेलमालकांचा
vaiyaktikanaav,वैयक्तिकनाव
chalenjadaramyaanahee,चॅलेंजदरम्यानही
vaadyaant,वाडयांत
carburetor,कार्ब्युरेटर
drakyulaapat,ड्रॅक्युलापट
paakalyaani,पाकळ्यांनी
aatmaswaroopaachaach,आत्मस्वरूपाचाच
hospitalaantalo,हॉस्पिटलांतलो
falach,फळच
pandache,पांडाचे
paavdyaachyo,पावड्याच्यो
valyapramane,वाल्याप्रमाणे
chohibajula,चोहीबाजुला
kissaach,किस्साच
indravajrach,इन्द्रवज्रच
kaaling,कालिंग
nishkriy,निष्क्रीय
aagripaan,आग्रिपान
jevnatun,जेवणातून
vajavalyache,वाजवल्याचे
aakaashasafar,आकाशसफर
purvajaane,पूर्वजाने
corporeshanachyaa,कॉर्पोरेशनच्या
tivhivar,टिव्हिवर
vidhyaranyanchya,विद्यारण्यांच्या
tramilabaakh,ट्रमिलबाख
kitaabaki,किताबकी
inferiority,इन्फिरियरिटी
koteech,कोटीच
rakhadalyaamule,रखडल्यामुळे
yaadrushtikonaatunahee,यादृष्टीकोनातूनही
beringchi,बेरींगची
pattashishyaanchi,पट्टशिष्यांची
tatvabhanachya,तत्त्वभानाच्या
aatopanyaachi,आटोपण्याची
nivaasaajaval,निवासाजवळ
vastivarun,वस्तीवरून
abhiyantyanbaddal,अभियंत्यांबद्दल
navjivan,नवजिवन
mohenjodarola,मोहेंजोदारोला
vajanatlya,वजनातल्या
prachaarapaddhati,प्रचारपद्धती
kakva,काकवा
shejaaryaani,शेजाऱ्यांनी
vibhaagilli,विभागिल्ली
gunadharmaamule,गुणधर्मामुळे
aayadiyaanvar,आयडियांवर
zudupamadhe,झुडुपांमधे
vaadayalli,वाडयल्ली
saalichem,सालीचें
aashevaadit,आशेवाडीत
carburettor,कार्बुरेटर
potanivadanuk,पोटनिवडणुक
bhetnehi,भेटणेही
kansulacher,कानसुलांचेर
jalshivarachi,जलशिवाराची
sambhajirajanich,संभाजीराजांनीच
vakshanche,वक्षांचे
mavikaachi,मविकाची
imaakyulet,इमाक्युलेट
fudaarapanaacho,फुडारपणाचो
swarupaakaar,स्वरुपाकार
pratispardhidekhil,प्रतिस्पर्धीदेखील
avalambavava,अवलंबवावा
harshashivaay,हर्षशिवाय
vastavyacham,वास्तव्याचं
ghaataatunach,घाटातूनच
navagatankarita,नवागतांकरिता
khedyaanmadhyech,खेड्यांमध्येच
thambyakade,थांब्याकडे
kodyansarkhe,कोड्यांसारखे
assat,अस्सत
jyotishadrushtyaa,ज्योतिषदृष्ट्या
godpane,गोडपणे
vikipramaane,विकिप्रमाणे
vaparanyapasun,वापरण्यापासून
pulotsavatlya,पुलोत्सावातल्या
rapla,रापला
divaanakhaanyaatalyaa,दिवाणखान्यातल्या
vaidikpurv,वैदिकपूर्व
tejpanchi,तेजपानची
varkasaathichyaa,वर्कसाठीच्या
raadhaapatam,राधापटम
vyahyane,व्याह्याने
padaraachi,पदराची
alfredo,आल्फ्रेडो
athalalyanchya,आठलल्यांच्या
bahutekasa,बहुतेकसा
immigrationala,इमिग्रेशनला
kosalalyaane,कोसळल्याने
nirghosh,निर्घोष
sainyabalaachi,सैन्यबळाची
discosure,डिस्कोजर
mahatti,महत्ती
katdisarkha,कातडीसारखा
chintuni,चिंतुनी
anshdarshan,अंशदर्शन
saankhalyaachee,सांखळ्याची
padmanagar,पद्मनगर
nirvasanat,निर्वासनात
maareeyaanche,मारीयांचे
nasalyatarihi,नसल्यातरीही
prabhavancha,प्रभावांचा
greenatee,ग्रीनटी
lasimbaddal,लसींबद्दल
pachvyochar,पाचव्योचार
ulgadlyaas,उलगडल्यास
bighadan,बिघडण
faamili,फामिली
maganyanchya,मागण्यांच्या
sangrama,संग्रामा
aikalyaapramaane,ऐकल्याप्रमाणे
discriminationchi,डिस्क्रिमीनेशनची
tarutali,तरुतली
triraajeaachi,त्रिराज्याची
maikhaane,मैखाने
gaanyaanpurateech,गाण्यांपुरतीच
vidheyka,विधेयका
potarakshanaarth,पोटरक्षणार्थ
kuruvilaane,कुरुविलाने
odheoxpodacher,अध्यक्षपदाचेर
laahaulmadhye,लाहौलमध्ये
basovapee,बसोवपी
kaakunche,काकुंचे
brahanavishinchya,ब्राहाणाविशींच्या
bhidla,भिडला
ranfulani,रानफुलांनी
baghanyaaagodar,बघण्याआगोदर
badalaayachech,बदलायचेच
dharmabaandhavaanvar,धर्मबांधवांवर
dusarekaden,दुसरेकडेन
adnyaniche,अज्ञानीचे
shanivaratlya,शानिवारातल्या
patrakaareetevar,पत्रकारीतेवर
baherkhyali,बाहेरख्याली
yogiye,योगिये
purnamulyaankanahee,पुर्नमुल्यांकनही
kidiabhashen,किड्याभशेन
prarthananchya,प्रार्थनांच्या
pramannta,प्रमाणता
japanantlya,जपानांतल्या
saimaakadalyaanuch,सैमाकडल्यानूच
gairafaayadyaachyaa,गैरफायद्याच्या
maadovan,माडोवन
gudda,गुड्डा
arthashaastraakadun,अर्थशास्त्राकडून
chakaraanmadhech,चकरांमधेच
utanyaasaarakhe,उठण्यासारखे
afzulla,अफजुल्ला
doctsaheb,डॉक्टसाहेब
lenyaansaarakhi,लेण्यांसारखी
harabharyaache,हरभऱ्याचे
dasaryaach,दसऱ्याच
aranyanivasi,अरण्यनिवासी
muktisainikaanni,मुक्तिसैनिकांनी
unadgiri,उनाडगिरी
sthapalyamule,स्थापल्यामुळे
sankalpanek,संकल्पनेक
swaagataalay,स्वागतालय
dehydrationch,डिहायड्रेशनच
yuklidiyan,युक्लिडीयन
uktichya,उक्तीच्या
lekhatli,लेखातली
hiravataani,हिरवटांनी
sundarane,सुंदरने
udkantach,उदकांतच
gopinathravanchi,गोपीनाथरावांची
rubius,रुबियस
onthaani,ओंठांनी
panchakhandaantahi,पंचखंडांतही
jinsaancho,जिनसांचो
sanvidhaanakaaraanaa,संविधानकारांना
saundaryaapaasoon,सौंदर्यापासून
tantraanchim,तंत्रांचीं
sangeetaatach,संगीतातच
dandelila,दांडेलीला
jabaabadaaryaanpaiki,जबाबदार्यांपैकी
konaans,कोणांस
bajawala,बाजावाला
bharalyanantarchya,भरल्यानंतरच्या
kulbaab,कुलबाब
madhyayugaantali,मध्ययुगांतली
girint,गिरींत
konkaneechenya,कोंकणीचेंय
kajukatli,काजूकातली
mhatrasantalyan,म्हात्रासांतल्यान
sakhrecho,साखरेचो
chandanyanchi,चांदण्यांची
patpaadanaachi,पत्पादनाची
shivduti,शिवदुती
gimaacho,गिमाचो
aathavanitunach,आठवणीतूनच
bhandvalshahiche,भांडवलशाहीचे
tuplyaa,तुप्ल्या
carburetorla,कार्ब्युरेटरला
vishvasaneeyatebaddal,विश्वसनीयतेबद्दल
uchalanyaavishayee,उचलण्याविषयी
plutochyaa,प्लूटोच्या
gharkarak,घरकाराक
limbupani,लिंबुपाणी
karagirans,कारागीरांस
gurjanvargaas,गुर्जनवर्गास
modtodiche,मोडतोडीचे
vakilatincha,वकिलातींचा
gafurche,गफूरचे
aapatyaanchi,आपट्यांची
hemachandran,हेमचंद्रान
emaaz,इमाज
aaratidevienchaa,आरतीदेवींचा
pohochalelaahee,पोहोचलेलाही
bandaraatale,बंदरातले
dhaturupi,धातुरुपी
kharara,खरारा
yuddhaniti,युद्धनीती
kapaavar,कपावर
dashavtarit,दशावतारीत
gavkya,गावक्या
nathabhauchyach,नाथाभाऊच्याच
chakhla,चखला
swatahprat,स्वतःप्रत
adchanihi,अडचणीही
janglasarkha,जंगलासारखा
abhibhaashane,अभिभाषणे
varsaamghumvaleem,वर्सांघुंवळीं
crozier,क्रोझियर
navhes,नव्हेस
chakramaaditya,चक्रमादित्य
trammadhun,ट्रॅममधून
blur,ब्लर
bhuteshu,भूतेशु
dakshinapathaparyant,दक्षिणापथापर्यंत
dagdasarkhya,दगडासारख्या
carporatemadhe,कार्पोरेटमधे
barodaachaa,बरोडाचा
mithagaranchya,मिठागारांच्या
