namdharirao,নামধারীরাও
pyachsaho,প্যাচসহ
kabitashilper,কবিতাশিল্পের
beluchir,বেলুচির
abyaktai,অব্যক্তই
gherao,ঘেরাও
mondore,মন্ডরে
steinis,স্টেইনিস
krishnadwaipayanke,কৃষ্ণদ্বৈপায়নকে
hamche,হামছে
manushyachakkhe,মনুষ্যচক্ষে
putiye,পুটিয়ে
gangarghate,গঙ্গারঘাটে
goodrooner,গুডরুনের
bandhurta,বন্ধুরটা
saifullor,সাইফুল্লোর
diskoveri,ডিসকভারি
oporgulike,অপরগুলিকে
baneshwa,বানেশ্ব
burdake,বুরদাকে
responsibilities,রেসপনসিবিলিটিজ
goendasahityer,গোয়েন্দাসাহিত্যের
khijiri,খিজিরি
aswikarmulak,অস্বীকারমূলক
jyati,জ্যাতি
panjabostho,পাঞ্জাবস্থ
danar,দানার
thotha,থোথা
anaranya,অনরণ্য
tarakeo,তারাকেও
shikarikandar,শিকারিকান্দার
chichu,চিচু
esemdisir,এসএমডিসির
subilus,সুবিলাস
boiakoronikera,বৈয়াকরণিকেরা
dwidhatuku,দ্বিধাটুকু
bodhyoshibirgulote,বধ্যশিবিরগুলোতে
chamarir,চামারির
chakurichyuta,চাকুরিচ্যুত
sadakastha,সড়কস্থ
somprodaigulike,সম্প্রদায়গুলিকে
grihoshromiksoho,গৃহশ্রমিকসহ
pandymer,প্যান্ডিমের
batsaranter,বৎসরান্তের
magurabasike,মাগুরাবাসীকে
sarmat,সরমত
dharampuri,ধরমপুরি
ixtinsion,এক্সটেনশন
shello,শেলো
anusthanmalake,অনুষ্ঠানমালাকে
nirdeh,নির্দেহ
bolonnessa,বলোনেসেস
nisorgochitro,নিসর্গচিত্র
abasthayateo,অবস্থায়তেও
norbane,নরবানে
manosbhubonke,মানসভুবনকে
navakarma,নবকর্ম
musaur,মুসাউর
sandhyagulor,সন্ধ্যাগুলোর
themechi,থেমেছি
passporter,পাসপোর্টের
ahobanmulok,আহবানমূলক
hirouki,হিরোউকি
bibondi,বিবন্দী
arabidol,আরবআইডল
pitta,পিত্ত
jonadesheri,জনাদেশেরই
karabaskalei,কারাবাসকালেই
paaksi,পাকশি
buddhihara,বুদ্ধিহারা
brihadwal,বৃহদ্বল
concordance,কনকোর্ডেন্স
reportingdhormi,রিপোর্টিংধর্মী
kakpujo,কাকপুজো
swagrihyokto,স্বগৃহ্যোক্ত
apartmentgulir,অ্যাপার্টমেন্টগুলির
chharuhat,ছারুহাট
dwijkanai,দ্বিজকানাই
almonde,আলমন্ডে
ojhito,অঝিত
chunoputite,চুনোপুটিতে
bagabar,বাগাবার
bhoutodhormer,ভৌতধর্মের
stoboko,স্তবকও
sottener,সত্যেনের
japaprarthi,জাপাপ্রার্থী
agnapat,অগ্নপাত
effenberg,ইফেনবার্গ
akardhari,আকারধারী
ghentuchandar,ঘেঁটুচন্দর
antarangan,অন্তরঙ্গন
porich,পরিচ
buddhapurnima,বুদ্ধপূর্নিমা
taddition,ট্যাডিশন
kabitabishwe,কবিতাবিশ্বে
akashroop,আকাশরূপ
proshroidaner,প্রশ্রয়দানের
jahurao,জহুরাও
ghatonakeo,ঘটনাকেও
dighawani,দিঘবানী
bhroshtotai,ভ্রষ্টতাই
marzio,মারজিও
rupelar,রুপেলার
bondhonsomriddho,বন্ধনসমৃদ্ধ
durbineo,দুরবিনেও
purnamada,পূর্ণমদ
amarito,আমারিতো
angikarero,অঙ্গিকারেরও
faithke,ফেইথকে
shalini,শালিনি
jomodognike,জমদগ্নিকে
rakkhibahinio,রক্ষিবাহিনীও
jurikke,জুরিককে
abhabjonok,অভাবজনক
harlston,হার্লস্টন
aristol,এরিস্টল
asibei,আসিবেই
masgulo,মাসগুলো
yudhe,যুদ্ধে
basanpatre,বাসনপত্রে
chopping,চপিং
constanz,কনস্টানজ
gorbokore,গর্বকরে
benilal,বেনিলাল
alapete,আলাপেতে
ukathamantradwara,উকথমন্ত্রদ্বারা
rinobabod,ঋণবাবদ
amishahi,আমিশাহি
agnerib,অগ্নেরিব
bishopgate,বিশপগেট
borborechito,বর্বরেচিত
shudhanu,শুধানু
binda,বিন্দা
byabosayero,ব্যবসায়েরও
kankpule,কাঁকপুলে
khanitai,খনিটাই
shikkhoder,শিক্ষদের
apparel,এ্যাপারেল
shuttlety,শাটলটি
gadababa,গদাবাবা
kotabyabasthay,কোটাব্যবস্থায়
dakkhinbangabasi,দক্ষিণবঙ্গবাসী
sangshayer,সংশয়ের
balishasya,বালিশস্য
regignesson,রেজিগনেসন
bojrobidyutosoho,বজ্রবিদ্যুতসহ
imejtite,ইমেজটিতে
iftarir,ইফতারির
maramarir,মারামারির
jonmile,জন্মিলে
anicetus,আনিকেতোস
trement,ট্রিমেন্ট
grihokormisoho,গৃহকর্মীসহ
sakarmurthy,সাকারমূর্তি
kormochari,কর্মচারী
shoucher,শৌচের
bananchalguli,বনাঞ্চলগুলি
craniopagus,ক্রানিওপেগাস
phita,ফিট
gautha,গৌথা
lunader,লুনাদের
manifosto,ম্যানিফোস্টো
tajamul,তাজমুল
enedibe,এনেদিবে
songosthaponer,সংস্থাপনের
saruistha,সরুইস্থ
adle,অ্যাডল
tamsang,তামসাং
dokener,দোকেনের
kichukei,কিছুকেই
khedut,খেদুত
kutivila,কুটিভিলা
isparke,ইসপারকে
mishrabhabe,মিশ্রভাবে
uposhrenigulo,উপশ্রেণিগুলো
paraparti,পারাপারটি
projectoke,প্রজেক্টকে
todondei,তদণ্ডেই
shiponer,শিপনের
opoddhotigoto,অপদ্ধতিগত
therbade,থেরবাদে
threadta,থ্রেডটা
faruker,ফারুকে
swastholudu,স্বাস্থ্যলুডু
dorpotrodatar,দরপত্রদাতার
tijori,তিজোরি
sanbadjagannathpure,সংবাদজগন্নাথপুরে
sobesham,সোবেশাম
sorahi,সোরাহি
dhampanmukto,ধম্পানমুক্ত
monamur,মোনামুর
shinda,শিন্দা
protishrutisholi,প্রতিশ্রুতিশলি
bhagavanti,ভগবন্তী
izogu,ইজোগু
utator,উতাতর
crafted,ক্রাফ্টেড
jalashaygulir,জলাশয়গুলির
proshwostokoron,প্রশ্বস্তকরণ
punrokti,পুনরোক্তি
nanotech,ন্যানোটেক
kendramantri,কেন্দ্রমন্ত্রী
paleocene,প্যালিওসিন
shantobhabpurno,শান্তভাবপূর্ণ
pathvittik,পাঠভিত্তিক
kalekshanei,কালেকশনেই
lafaiche,লাফাইছে
mirdaske,মিরদাসকে
sabyasachiraman,সব্যসাচীরমণ
galactin,গ্যালাকটিন
thotogulo,ঠোটগুলো
shishushorire,শিশুশরীরে
nasirulke,নাসিরুলকে
burairgao,বুড়াইরগাও
suzukar,সুজুকার
ritugoner,ঋতুগণের
juktipurbok,যুক্তিপূর্বক
batoli,বাতোলি
volunteers,ভলেন্টিয়ারস
mahishan,মহসিন
milatke,মিলাতকে
accaunt,একাউন্ট
chandamari,চান্দামারী
prosrabbhorti,প্রস্রাবভর্তি
chinikanai,চিনিকানাই
saraprithibir,সারাপৃথিবীর
jaboner,যাবনের
irman,ইরমান
mundate,মুন্ডাতে
dristanta,দৃষ্টান্ত
bornorupe,বর্ণরূপে
jhumurgane,ঝুমুরগানে
khalaj,খলজ
khurfar,খুরফার
vastrakar,বস্ত্রকর
fulertale,ফুলেরতালে
pradhanne,প্রাধান্যে
seelampur,সেলিমপুর
betanbhagi,বেতনভাগী
academigulir,অ্যাকাডেমিগুলির
arrangements,অ্যারেঞ্জমেন্টস
vijayanagara,বিজয়নগরের
dhormogronthote,ধর্মগ্রন্থতে
substansta,সাবস্ট্যান্সটা
narilya,নারিল্যা
lamargramer,লামারগ্রামের
nidershika,নিদের্শিকা
razzaker,রাজ্জাকের
jaganmohan,জহনমোহন
mukundananda,মুকুন্দানন্দ
smritibharakranta,স্মৃতিভারাক্রান্ত
oporkeo,অপরকেও
sonavarui,সোনাভারুই
nirupmong,নিরুপমং
shoreere,শরীরে
recroftoke,রিক্রফটকে
lyane,ল্যানে
namek,ন্যামেক
khader,কাদের
arabyyah,আরবিঃ
krishnadwimukhasya,কৃষ্ণাদ্বিমুখস্য
gulpatti,গুলপট্টি
jangammahaler,জঙ্গমমহলের
lijeta,লিজেট
tangdhare,তাংধারে
sthaponayo,স্থাপনায়ও
facination,ফ্যাসিনেশন
bhotaradhikar,ভোটারাধিকার
subarnarashi,সুবর্ণরাশি
dco,ডিসিও
dermonke,ডার্মনকে
onusthanloike,অনুষ্ঠানলৈকে
mamtashankar,মমতাশঙ্করের
anamder,আনামদের
hoffen,হোফেন
vigilance,ভিজিল্যান্সে
instansgulo,ইন্সট্যান্সগুলো
fatejan,ফতেজান
sanbeen,সানবীন
dasheeke,দাসীকে
milshabda,মিলশব্দ
turnamentte,টুর্নামেন্টে
taqir,তাকির
abosarprapter,অবসরপ্রাপ্তের
pradhanna,প্রাধান্ন
karjonitir,কার্যনীতির
bohumutroroge,বহুমূত্ররোগে
korechilom,করেছিলোম
harrshel,হার্শেল
mastizader,মাস্তিজাদের
swamihin,স্বামীহীন
bigganke,বিজ্ঞানকে
bongshokir,বংশকীর
bhaddaiyan,ভদ্দাইয়ান
megafangshaner,মেগাফাংশনের
kalakatar,কলাকাতার
sabyasachibabukeo,সব্যসাচীবাবুকেও
alpon,আলপন
putrasantano,পুত্রসন্তানও
shoktiborgo,শক্তিবর্গ
tubercol,টিউবারকল
ullati,উল্লতি
garisa,গারিসা
surjomondolke,সূর্যমণ্ডলকে
bidaranrekha,বিদারণরেখা
vayajyestha,বয়জ্যেষ্ঠ
kormodole,কর্মদলে
bokatai,বোকাটাই
hamlakei,হামলাকেই
randhanete,রন্ধনেতে
portugijrai,পোর্তুগিজরাই
mckenna,ম্যাকেনা
moulobiggan,মৌলবিজ্ঞান
rumire,রুমিরে
mojahar,মোজাহার
takatuka,টাকাটুকা
carriager,ক্যারিজের
benauter,বেনাউটের
ambotitis,এম্বোটাইটিস
screenplay,স্ক্রীনপ্লে
enio,এনিও
tothyogotovabe,তথ্যগতভাবে
amitomar,আমিতোমার
orsha,অর্ষা
garuhati,গরুহাটী
sangoskritikarmi,সাংস্কৃতিকর্মী
amatrice,আমাত্রিচে
shrihatta,শ্রীহট্ট
kaushalgulo,কৌশলগুলো
mruda,ম্রুদা
shishyobrinder,শিষ্যবৃন্দের
jubomohilaliger,যুবমহিলালীগের
chalachchitrakarrai,চলচ্চিত্রকাররাই
baera,বিএইআরএর
thuraya,থুরায়া
maulabir,মৌলবীর
chhelepileguloke,ছেলেপিলেগুলোকে
tantbahul,তাঁতবহুল
griffieldor,গ্রিফিল্ডরের
ganochhatro,গণছাত্র
cinemapurushder,সিনেমাপুরুষদের
chitoi,চিতোই
sonir,সোনির
chhattifit,ছাট্টিফিট
masterstrokti,মাস্টারস্ট্রোকটি
ahongmed,আহংমেদ
bikkhovgulo,বিক্ষোভগুলো
sonatula,সোনাতুলা
munnidero,মুন্নিদেরও
kabbochitre,কাব্যচিত্রে
muktamanarai,মুক্তমনারাই
bargues,বারগিউস
matsyachashira,মত্স্যচাষীরা
mulfatke,মুলফটকে
fobers,ফোবার্স
akashmeghe,আকাশমেঘে
anaemicus,এনেমিকাস
manobohottai,মানবহত্যাই
nibondhopakistaner,নিবন্ধপাকিস্তানের
jinuke,জিনুকে
germta,জার্মটা
haidul,হাইদুল
rudcliffe,রাডক্লিফ
subidwan,সুবিদ্বান
geng,জিয়াং
noson,নসন
maninderke,মনিন্দরকে
kalebke,কালেবকে
tilla,তিল্লা
mokbool,মকবুল
samajtantrabyabsa,সমাজতন্ত্রব্যবসা
jatipushper,জাতিপুষ্পের
habibubar,হাবিবুবর
siletbandhab,সিলেটবান্ধব
majhorattir,মাঝরাত্তির
snehodrishyo,স্নেহদৃশ্য
ghildiyal,গিল্ডিয়াল
goizze,গইজ্জে
jobcarder,জবকার্ডের
neipid,নেইপিড
proshongsoniyobhabe,প্রশংসনীয়ভাবে
maheri,মাহেরী
badhyokore,বাধ্যকরে
poroloukikkriya,পরলৌকিকক্রিয়া
kingder,কিংদের
elabasike,এলাবাসীকে
panchamundi,পঞ্চমুণ্ডী
jalpaigudir,জলপাইগুডির
politeness,পোলাইটনেস
punarghoshana,পুনর্ঘোষণা
akhlima,আখলিমা
sorbobidhongsi,সর্ববিধ্বংসী
apoporipokko,অপপরিপক্ক
vakhsh,বাক্শ
aimana,আইমানা
zaboddibon,যাবদ্দীবন
protibibhage,প্রতিবিভাগে
ranisankail,রানীশংকাইল
swasthokoro,স্বাস্থ্যকরও
vibranium,ভাইব্রেনিয়াম
addurrul,আদ্দুররুল
babinke,বাবিনকে
maneeye,মনীয়ে
neshanke,নেশানকে
everbrite,এভারব্রাইট
thakpar,থাকপার
indhanpurna,ইন্ধনপূর্ণ
konthorodher,কন্ঠরোধের
tejocote,তেজোকোট
porbobekkhone,পর্ববেক্ষণে
mubare,মুবারে
baneswarmukhe,বানেশ্বরমুখে
turjobadok,তূর্যবাদক
nyaung,নয়াং
elmslie,এলমস্লাই
falahir,ফালাহীর
abhijuktokoron,অভিযুক্তকরণ
marishda,মারিশদা
blockbutic,ব্লকবুটিক
aliciner,অ্যালিসিনের
trainup,ট্রেইনআপ
jaaliyaachhadaa,জালিয়াছড়া
cielani,সিলানি
atyadi,অত্যাদি
hecharite,হেচারিতে
kashrog,কাশরোগ
instituder,ইন্সটিটিউডের
mahakashaniti,মহাকাশনীতি
sthanabhaber,স্থানাভাবের
shabele,শাবেলে
letku,লেটকু
uddoktabhittik,উদ্যোক্তাভিত্তিক
mahamanta,মহামন্ত
malkhan,মালখান
brokkhander,ব্রক্ষাণ্ডের
bittohinotake,বিত্তহীনতাকে
manogya,মনোজ্ঞ
toyohira,টয়োহিরা
khamkheyalei,খামখেয়ালেই
hotelier,হোটেলিয়ার
tekani,তেকানী
sumari,সুমারী
khapna,খাপনা
jomechen,জমেছেন
nuktajukto,নুক্তাযুক্ত
slipta,স্লিপটা
katalan,কাটালান
bitonnote,বিতন্যতে
tuentivukto,টুয়েন্টিভুক্ত
sovietra,সোভিয়েতরা
gharini,ঘরিণী
shirole,শিরোলে
pratidhwani,প্রতিধ্বনী
panibriddhi,পানিবৃদ্ধি
shakter,শাক্তের
giler,গিলের
khuita,খুইটা
mccourt,ম্যাককোর্ট
fransa,ফ্রান্স
chhaddobeshira,ছদ্মবেশীরা
tantraputhi,তন্ত্রপুথি
jibonigronthosoho,জীবনীগ্রন্থসহ
centersomuho,সেন্টারসমুহ
artomanobota,আর্তমানবতা
ajamer,আযমের
hosenerchele,হোসেনেরছেলে
gimp,গিম্প
flashblaker,ফ্ল্যাশব্ল্যাকের
botad,বোটাদ
perunoke,পেরুনোকে
ramchandraner,রামচন্দ্রনের
logba,লগবা
texicabe,টেক্সিক্যাবে
plimpton,প্লিম্পটন
abhiruchite,অভিরুচিতে
curie,কুরী
tirthojatrai,তীর্থযাত্রায়
sangaichabi,সাঙ্গাইছাবী
ranjanang,রঞ্জনং
strikerater,স্ট্রাইকরেটের
protijogitamulke,প্রতিযোগিতামূলকে
saikatgulite,সৈকতগুলিতে
salimunnesa,সলিমুন্নেসা
manishi,মণীষী
risto,রিস্টো
hadcore,হাডকোর
dholaite,ধলাইতে
shungader,শুঙ্গদের
kormoniti,কর্মনীতি
malgadike,মালগাড়িকে
khadrobostusomuhoke,খাদ্রবস্তুসমূহকে
golporomantic,গল্পরোমান্টিক
hathazaristane,হাটহাজারিস্তানে
zeffri,জেফ্রি
samanwaymulak,সমন্বয়মূলক
kornote,কর্ণতে
dungir,ডুঙ্গির
grupti,গ্রুপটি
modyopanke,মদ্যপানকে
pranibrittanter,প্রাণীবৃত্তান্তের
officharge,অফিচার্জ
sebagrahaner,সেবাগ্রহণের
smritijadugharer,স্মৃতিজাদুঘরের
acceptances,অ্যাক্সেপট্যান্স
poribote,পরিবতে
deiner,দেইনের
lingher,লিংহের
bolchon,বলছন
dhaoatei,ধাওয়াতেই
hasmake,হাসমাকে
muchlekapatre,মুচলেকাপত্রে
shwetkanikao,শ্বেতকণিকাও
sadichchake,সদিচ্ছাকে
hangkhim,হাংগখিম
chapatala,চাপাতলা
thermionics,থার্মিওনিক্স
sanabisvoice,সানাবিসভয়েস
values,ভেল্যুস
samadhisoudhotir,সমাধিসৌধটির
charbagdangar,চরবাগডাঙ্গার
futleo,ফুটলেও
kenarambabu,কেনারামবাবু
pothyomiti,পথ্যমিতি
forlankei,ফোরলানকেই
kraigg,ক্রেগ
obhinetri,অভিনেত্রী
masumeh,মাসুমেহ
motabber,মোতাব্বের
bambridge,ব্যামব্রিজ
leong,লিয়ং
ashwashakti,অশ্বশক্তি
rudrashiser,রুদ্রাশিসের
anukoti,অনুকোটি
shilpoprocheshta,শিল্পপ্রচেষ্টা
narichcha,নারিচ্ছা
shreneebhukta,শ্রেণীভুক্ত
swalpomatro,স্বল্পমাত্র
dollery,ডলারি
raeefels,রাইফেলস
consideration,কন্সিডারেশন
kashemnagar,কাশেমনগর
jubilesana,জুবিলেশন
bernanke,বারন্যাঙ্ক
kazkara,কাজকরা
poshakero,পোশাকেরও
nitibodol,নীতিবদল
apodarthotao,অপদার্থতাও
muftar,মুফতার
collects,কালেক্টস
dhanobishishto,ধনবিশিষ্ট
chestakarike,চেষ্টাকারিকে
noachhe,নোয়াচ্ছে
ddhukbeo,ঢুকবেও
bouwcentrum,বাউসেন্ট্রাম
scribra,স্ক্রাইবরা
bentlirta,বেন্টলিরটা
sarengibadok,সারেঙ্গিবাদক
chhayachchanna,ছায়াচ্ছন্ন
adenovirus,অ্যাডেনোভাইরাস
bojrohoste,বজ্রহস্তে
organfosphers,অর্গানফোসফারস
paramparanirbhar,পরম্পরানির্ভর
semitiq,সেমিটিক
aloklekhai,আলোকলেখায়
kachchilum,কচ্ছিলুম
saarbobhoumotto,সার্বভৌমত্ত্ব
dickela,ডিকেলা
topalov,টোপালভ
chhuki,ছুকি
kutota,কুটোটা
montotobbo,মন্ততব্য
ebadotkari,এবাদতকারী
bilbao,বিলবাও
omdaraja,ওমদারাজা
truff,ট্রাফ
jalvageo,জলভাগেও
badiya,বাদিয়া
nishaner,নিশানের
tiatike,টিয়াটিকে
chachuder,চাচুদের
anchalgami,অঞ্চলগামী
seog,সেওগ
noukasuddho,নৌকাসুদ্ধ
porimapoi,পরিমাপই
trainor,ট্রেইনর
poshupakhiro,পশুপাখীরও
kurdishha,কুর্দিশ
bhaichungra,ভাইচুংরা
teresakeo,তেরেসাকেও
malguloi,মলগুলোই
sheshkritto,শেষকৃত্ত
badlabadli,বদলাবদলী
rivab,রিভাব
abider,অবিদের
bornao,বর্ণাও
simantara,সীমান্তরা
tripoint,ট্রিপয়েন্ট
jajkatantrer,যাজকতন্ত্রের
khopgulo,খোপগুলো
lalpuler,লালপুলের
shoibodorshon,শৈবদর্শন
nishidwa,নিষিদ্ব
raglam,রাগলাম
amoodi,আমোদি
siddikgan,সিদ্দীকগণ
ashurst,অ্যাশার্স্ট
khejurpatar,খেজুরপাতার
moxox,মক্সক্স
kakio,কাকিও
ifazah,ইফাযাহ
kumbhakar,কুম্ভকার
gonoabosthan,গণঅবস্থান
tuina,তুইনা
bhumigraser,ভূমিগ্রাসের
klashrumsamriddha,ক্লাশরুমসমৃদ্ধ
phosphorylation,ফসফোরাইলেশন
hamdika,হামদিকা
dombur,ডম্বুর
mahershala,মেহেরশালা
nitivar,নীতিভার
aamanotkaareeder,আমানতকারীদের
bidichini,বিডিচিনি
dushonrodhok,দূষণরোধক
payese,পায়েসে
jeebonshunno,জীবনশূন্য
kimbadanti,কিম্বদন্তী
sindurakar,সিন্দুরাকার
porochokra,পরচক্রা
ibbke,আইবিবিকে
kuchakrimahal,কুচক্রিমহল
saprasanga,সপ্রসঙ্গ
atmanamaraning,আত্মানমরণিং
baisistyapoorna,বৈশিষ্ট্যপূর্ণ
ganashakti,গণশক্তি
hosaini,হোসাইনী
lalpuri,লালপুরী
shikkhikai,শিক্ষিকাই
siramakhali,সিরামাখালী
lavirotte,ল্যাভিরোটে
waltherta,ওয়ালথারটা
drishyosimar,দৃশ্যসীমার
shoktore,শক্তরে
chhobitao,ছবিটাও
gunahe,গুণাহে
nepke,নেপকে
prolombo,প্রলম্ব
photoelectric,ফোটোইলেকট্রিক
coachingstaff,কোচিংস্টাফ
eusufon,ইউসুফন
hamsalekha,হামসালেখা
cambrian,ক্যাম্ব্রিয়ান
folvabe,ফলভাবে
chitrocharchay,চিত্রচর্চায়
bankingchaneler,ব্যাংকিংচ্যানেলের
khiprotabyonjok,ক্ষিপ্রতাব্যঞ্জক
nayadighi,নয়াদিঘি
marshed,মার্শেদ
sundarangi,সুন্দরাঙ্গী
sahajalbhyataro,সহজলভ্যতারও
escona,এসকোনা
gramerabdul,গ্রামেরআব্দুল
solutiongulo,সলিউশনগুলো
najmakeo,নাজমাকেও
juddhojibon,যুদ্ধজীবন
galfard,গালফার্ড
duekkhana,দুএকখানা
arunadike,অরুণাদিকে
azharji,আজহারজি
kamruddin,কমরুদ্দীন
gargener,গার্জেনের
lallam,লাল্লাম
nanrakamer,নানরকমের
onapoder,অনাপদের
martini,মারটিনি
kortare,কর্তারে
imegoke,ইমেগোকে
cervival,সার্ভাইভাল
smritilipi,স্মৃতিলিপি
eshoroker,এসরকের
mutazilite,মুতাজিলাইট
khajanchikartar,খাজাঞ্চিকর্তার
haramti,হারামটি
kejidorer,কেজিদরের
futaten,ফুটাতেন
govindarajer,গোবিন্দরাজের
gathonoto,গঠনত
sorboprokare,সর্বপ্রকারে
tramadol,ট্রামাডল
anul,অনুল
bhumen,ভূমেন
marwadi,মারওয়াড়ি
salamgon,সালামগন
udgao,উদগাও
zojonati,যোজনাটি
sarkitsamuho,সার্কিটসমূহ
akromonbhager,আক্রমনভাগের
enterococci,এন্টারোকোকি
sangathako,সংগঠকও
ekpristhai,একপৃষ্ঠায়
tororism,টোরোরিজম
babura,বাবুরা
prithokbhage,পৃথকভাগে
swadharonoto,স্বাধারণত
bamingham,বামিংহাম
khachian,খাচিয়ান
umarova,উমারোভা
bauldas,বাউলদাস
matilal,মতিলাল
ikaika,ইকাইকা
mukhyamuntri,মুখ্যমুন্ত্রী
trubadur,ত্রুবাদুর
nibortto,নিবর্ত্ত
kanganake,কাঙ্গানাকে
asprishyake,অস্পৃশ্যকে
methamphetaminer,মেথ্যাম্ফেটামিনের
paravat,পারাবত
mccullum,ম্যাককুলম
motobirodher,মতবিরোধের
mrinalputra,মৃণালপুত্র
muktojoddhader,মুক্তযোদ্ধাদের
procharonabihin,প্রচারণাবিহীন
suiscom,সুইসকম
ghurid,গুরিদ
chevron,শেভ্রন
haliura,হালিউরা
adhachamach,আধাচামচ
sringamalai,শৃঙ্গমালাই
lubrecating,লুব্রেকেটিং
vohra,বোহরা
nissa,নিসা
units,ইউনিটস্
smartschoolgulote,স্মার্টস্কুলগুলোতে
sonnyasikeo,সন্ন্যাসীকেও
tokoudubito,টকৌডুবিত
fannerder,ফ্যানেরদের
shattarer,সাত্তারের
shookaanor,শুকানোর
boidyotilar,বৈদ্যটিলার
hoseynabad,হোসেইনাবাদ
buddhugulo,বুদ্ধুগুলো
segnet,সেগনেট
pngdf,পিএনজিডিএফ
parasutist,প্যারাশুটিস্ট
chunshilpa,চুনশিল্প
magadan,মাগাদান
hartbeat,হার্টবীট
sohraordi,সোহরাওর্দি
gilabi,গিলাবী
zurite,জুরিতে
oan,ওয়ান
cinemathec,সিনেমাথেক
kormokandogulo,কর্মকাণ্ডগুলো
manobjontrer,মানবযন্ত্রের
bibhabei,বিভাবেই
fredrickson,ফ্রেডরিকসন
gancido,গানসিডো
bendhechilo,বেঁধেছিলো
premonibedoni,প্রেমনিবেদনই
superbikety,সুপারবাইকটি
kelder,কেলডার
byakapul,ব্যাকাপুল
mitthir,মিঠির
samarbahini,সমরবাহিনী
francose,ফ্রাঙ্কোজ
darklebanon,ডার্কলেবানন
delmenhorster,ডেলমেনহরস্টের
pouchonoi,পৌঁছনোই
topspeed,টপস্পীড
chandelkar,চন্দেলকার
kader,কাদের
alibahar,আলীবাহার
dicaprio,ডিক্যাপ্রিওর
remerschen,রেমারসচেন
fineman,ফাইনম্যান
dornan,ডোরনান
mumbarir,মুম্বারির
grahokseba,গ্রাহকসেবা
protanopia,প্রোটানোপিয়া
vinnagudite,বিন্নাগুড়িতে
puruhuto,পুরুহূত
likhab,লিখব
lucianor,লুসিয়ানোর
somadhone,সমাধনে
mtpa,এমটিপিএ
palaniapan,পলানিয়াপন
aapbd,এএপিবিডি
handout,হ্যান্ডআউট
borhanir,বোরহানির
sriganesh,শ্রীগণেশ
ganokkhobh,গণক্ষোভ
marizani,মারিজানি
ghuna,ঘুনা
punorjojona,পুনর্যোজনা
kendrikotake,কেন্দ্রীকতাকে
anindyakumar,অনিন্দ্যকুমার
mansabdarir,মনসবদারির
agniparikkhai,অগ্নিপরীক্ষাই
bgta,বিজিটিএ
mechhali,মেছালী
hadisguloke,হাদিসগুলোকে
hifajatkari,হিফাজতকারী
meherunnesara,মেহেরুন্নেসারা
sieve,সেইভ
ahomare,আহমারে
onglokarer,অংলকারের
singhvikei,সিংভিকেই
knintoner,ক্নিন্টনের
bankergulo,ব্যাংকারগুলো
aradhaniya,আরাধনীয়
preseclabe,প্রেসেক্লাবে
hutti,হুত্তি
tiktikitar,টিকটিকিটার
kebili,কেবিলি
barshapoorti,বর্ষপূর্তি
pilvite,পিলভিটে
nishitake,নিশীতাকে
parishromikkeo,পারিশ্রমিককেও
stewen,স্টিভেন
khalistanpanthi,খালিস্তানপন্থী
shantasware,শান্তস্বরে
goyechilen,গয়েছিলেন
ukhbah,উখবাহ
thrippy,থ্রিপি
haykel,হায়কাল
anondomela,আনন্দমেলা
hubaik,হুবাইক
uddhabganje,উদ্ধবগঞ্জে
namle,নামলে
guptosangket,গুপ্তসংকেত
maorake,মাওরাকে
alekkho,আলেক্ষ
condence,কনডেন্স
trumbo,ট্র্যাম্বো
gonzales,গোঞ্জালেস
ekrokome,একরকমে
swamastak,স্বমস্তক
alokbigyani,আলোকবিজ্ঞানী
bhrikuti,ভ্রীকুটি
umur,উমুর
goponang,গোপোনাঙ্গ
toirikari,তৈরিকারী
majhishrenir,মাঝিশ্রেণির
mohapaji,মহাপাজি
jonogosthiro,জনগোষ্ঠীরও
chhyani,ছ্যানি
convertore,কনভার্টরে
shotoborsheo,শতবর্ষেও
gofranullah,গোফরানুল্লাহ
gotipother,গতিপথের
sadasyabrindar,সদস্যবৃন্দর
florontino,ফ্লোরোন্তিনো
aaraamacheyaarer,আরামচেয়ারের
dorshonsomuchchoyer,দর্শনসমুচ্চয়ের
samadhibedite,সমাধিবেদিতে
balalir,বালালির
ghrinyokitera,ঘৃণ্যকীটেরা
surguja,সুরগুজা
consecutive,কন্সিকিউটিভ
akritti,আকৃত্তি
jothashokti,যথাশক্তি
sabkheuka,সবখেউকা
gehnar,গেহনার
fitnahr,ফিতনাহর
jercitio,জার্সিটিও
bhasatattver,ভাষাতত্ত্বের
jhupu,ঝুপু
sakhipursaha,সখিপুরসহ
issoreri,ঈশ্বরেরই
golaganjer,গোলাগঞ্জের
mahfazur,মাহফজুর
kolombaske,কলম্বাসকে
tritibare,তৃতীবারে
bodhiratna,বোধিরত্ন
kamardaha,কামারদহ
dhangsatmok,ধ্বংসাত্মক
parmanubik,পারমানুবিক
bikashkari,বিকাশকারী
shromikpollite,শ্রমিকপল্লীতে
mobar,মোবার
kullapathar,কুল্লাপাথর
khuskir,খুস্কির
bandleader,ব্যান্ডলিডারের
nejami,নেজামি
nirmobhabe,নির্মভাবে
padriderke,পাদ্রীদেরকে
dasyubrittik,দস্যুবৃত্তিক
kronikolke,ক্রনিকলকে
bagila,বাগিলা
