chainij,चाइनिज
batiyaiyau,बतियैयौ
satyanaabhik,सत्यनाभिक
bahutok,बहुतोक
patrakaarosang,पत्रकारोसँग
mahipatidou,महिपतिदौ
patishche,पतिश्चे
pauvegaude,पौवेगौडे
pratibhasabhken,प्रतिभासभकेँ
hawaad,हवाद
yesudas,येसुदास
tarukaa,तारूका
kharkharati,खरखराती
latkao,लटकाओ
jamakarta,जमाकर्ता
instichyuts,इन्स्टीच्युट्स
mithilaklel,मिथिलाकलेल
haatam,हातम
poochhand,पूछन्द
rahmatullah,रहमतुल्लाह
teebatme,तिब्बतमे
indumatee,इन्दुमती
departmentak,डिपार्टमेंटक
parmanandmah,परमानन्दमः
mahatwakankshak,महात्वाकांक्षाक
bikhrana,बिखराना
kangresdwara,काङ्ग्रेसद्वारा
nandees,नन्दीस
zuropani,जुरोपानी
poulak,पौलक
braket,ब्राकेट
hindoosabhaka,हिंन्दूसभक
chashm,चश्म
veeryak,वीर्यक
sijanal,सिजनल
mangwar,मंगवार
kaagni,काग्नी
saankhyashaastre,सांख्यशास्त्रे
pathraya,पथराया
jachne,जचने
farassan,फारससँ
satyasheel,सत्यशील
ohis,ओहिस
vabitavya,भवितव्य
lutaabe,लुटाबे
kahei,कहइ
jwalame,ज्वालामे
tyago,त्यागो
shokaaj,शोकाज
nainasan,नैनासँ
goamae,गोवामे
sharirantken,शरीरांतकेँ
smaarika,स्मारिका
ramchandradh,रामचन्द्रध
gailon,गेलेन
paltuwa,पल्टुवा
hendabal,हेन्डबल
mujit,मुजित
nayikasange,नायिकासङ्गे
jumlabaji,जुमलाबाजी
irthe,इर्थे
banabayauk,बनबयौक
briyarlee,ब्रियरली
bhartisan,भारतीसँ
santprakriti,सन्तप्रकृति
chchaera,चचेरा
sakdee,सकदी
rakshaseeme,राक्षसीमे
ruchie,रुचिए
bakn,बकन
chhalakta,छलकता
shraddabhaktibhav,श्रद्दाभक्तिभाव
satdhwaj,सतध्वज
bhujaak,भुजाक
jataghar,जटाघर
holaen,होलोन
kramo,क्रमो
bhuraa,भूरा
bhittisan,भित्तिसँ
bhooshanmasti,भूषणमस्ति
mithilalok,मिथिलालोक
kaneenika,कनीनिका
yogendrat,योगेन्द्रत
gadhat,गढ़त
arjee,अर्जी
maarhak,मारहक
tanmunaa,तनमुना
sidiyo,सिडियो
bharlo,भरलो
chaturbhujaeshwar,चतुर्भुजेश्वर
vaihe,वैहे
bilsee,बिलसी
sambhagkey,सम्भागके
ghuraol,घुराओल
shaktivilas,शक्तिविलास
bujhabay,बुझबय
keertiltasan,कीर्तिलतासँ
angrejiparsti,अंग्रेजीपरस्ती
atarikt,अतरिक्त
sinurjorak,सिनुरजोराक
simroungdh,सिम्रौनगढ
vipanntake,विपन्नताके
marlabado,मरलाबादो
jitendrakumar,जितेन्द्रकुमार
mantrapushp,मंत्रपुष्प
chaturbhujah,चतुर्भुजाः
teritari,टेरिटरी
chitiprolu,चिटिप्रोलु
mehargadhak,मेहरगढ़क
hatabeik,हटाबैक
guleriyaa,गुलेरिया
bharaah,भराह
ityadibhih,इत्यादिभिः
meenmekh,मीनमेख
nishaen,निशाएँ
taakbai,ताकबै
kubukasthalee,कुबुकस्थली
aaymulak,आयमूलक
kaikei,कैकेयी
suadgar,सुअदगर
netaadwayak,नेताद्वयक
bajaka,बाजाक
avinetak,अभिनेताक
vishnudh,विष्णुध
ganitasyopayogah,गणितस्योपयोगः
jhai,जही
kwot,क्वोट
gaddedar,गद्देदार
striratnani,स्त्रीरत्नानि
kauthumee,कौथुमी
cage,केज
vagdee,वागडी
bainsal,बैंसल
swayamsevak,स्वयंसेवाक
khomeni,खोमेनि
bhajet,भजेत
pairne,पैरने
ghumaundee,घुमौंदी
kunjabihareejeek,कुञ्जबिहारीजीक
vimudrit,विमुद्रित
zanmak,जनमक
shuruaatke,शुरुआतके
vainkuvar,वैंकुवर
hoitei,होइतै
kangesak,कांगेसक
dhritahi,धृतहि
baiaa,बैआ
kaheeq,कहीक
ghutee,घुटी
yashodharaon,यशोधराओं
taengra,टेङ्ग्रा
harshdeep,हर्षदीप
cairsang,कैरसंग
naitikvadi,नैतिकवादी
dhanachour,धनचौर
karbay,करबय
sobhiyatsan,सोभियतसँ
nijanuragi,निजानुरागी
sanyantro,संयंत्रो
hadbadayal,हड़बड़ायल
otaveya,ओतवेय
aadeshanusare,आदेशानुसारे
manahara,मनहर
durvichaar,दुर्विचार
pashubhirvishwaroopaih,पशुभिर्विश्वरूपैः
chikhneme,चिखनेमे
wilsit,विलसित
nlgad,नलगाड
angej,अंगेज
sural,सुरल
failal,फैलल
kothapar,कोठापर
talaaki,तलाकी
sakarbak,सकारबाक
taarme,तारमे
prashantasya,प्रशान्तस्य
bhumirapoanlovayuh,भूमिरापोऽनलोवायुः
twatimanoharam,त्वतिमनोहरम्
samvardhna,संवर्द्धना
rajwallabh,राजवल्लभ
lukeek,लुकीक
champaranak,चम्पारणक
khaenihaar,खएनिहार
selenium,सेलेनियम
laanghi,लाँघि
dridhsankalpit,दृढसंकल्पित
fireworks,फायरवर्क्स
bedwa,बेदवा
sherchn,शेरचन
bhavkrishnar,भवकृष्णर
minishwar,मिनिश्वर
bhawdattsuto,भवदत्तसुतो
aadyaavadhi,आद्यावधि
suspashtak,सुस्पष्टताक
denesan,देनेसँ
kaafur,काफुर
chhudhaya,छुड़ाया
adzani,अदजानी
nasheenad,नशीनद
haikamvadi,हैकमवादी
samudayaka,सामुदायक
hinkaro,हिनकरो
purshotm,पुरषोत्म
siloksabh,सिलोकसभ
budhwalstarthaivach,बुधवालस्तरथैवच
niguraadinak,निगुरादिनक
chkrarahit,चक्ररहित
farworda,फरवर्ड
dustin,डस्टिन
kangana,कङ्गना
karnken,कर्णकें
fusakee,फुसकी
khagashnath,खगशनाथ
milabathi,मिलाबथि
raithane,रैथाने
paketmar,पाकेटमार
kimvadanti,किम्वदन्ती
duvvuri,दुव्वुरी
yogdanal,योगदानल
utprernake,उत्प्रेरणाके
dashavtargahne,दशावतारगहने
aldrin,एल्ड्रिन
nehwal,नेहवाल
sidhavai,सिधावै
sutaabathi,सुताबथि
buddhramle,बुद्धरामले
achhobh,अछोभ
hariambam,हरिअम्बम
harihar,हरिहर
artificial,आर्टिफीसियल
kifayat,किफायत
poorvasamm,पूर्वसम्म
venuvan,वेणुवन
kalakritiyan,कलाकृतियाँ
nashikakae,नाशिकके
bhauddeena,बहाऊद्दीन
foolenge,फूलेंगे
paaveik,पावैक
ummeehad,उम्मीहद
halor,हलोर
neeldev,नीलदेव
tarkeek,टर्कीक
trnrdwaraa,टर्नरद्वारा
ghumikay,घुमिकय
chibaul,चिबौल
taiyaari,तैयारि
californiasan,क्यालिफोर्नियासँ
chitramayta,चित्रमयता
laxmangadh,लक्ष्मणगढ
bebaki,बेबाकी
jagattatvato,जगत्तत्त्वतो
vimansabhme,विमानसभमे
kekay,केकय
vithaulee,विठौली
pranganmae,प्राङ्गणमे
baapu,बापु
rasidak,रसीदक
nastak,नास्ताक
chhek,छेक
nedishthay,नेदिष्ठाय
gowsabhme,गाउसभमे
bhuvanpati,भुवनपति
deted,डेटेड
lohmai,लोहमय
pahunsara,पहुँसरा
patayab,पटायब
tutu,टुटु
joowake,जुवाके
prudencial,प्रूडेन्श्डियल
nakhatwale,नखतवाले
aarambhak,आरंभक
bhadreshwabar,भद्रेश्वबर
naikaa,नैका
brahmanupjatik,ब्राह्मणउपजातिक
sharmmad,शर्म्मद
premarshi,प्रॆमर्षि
vajitpurak,वाजितपुरक
ullekhaniye,उल्लॆखनीय
kendrsabh,केन्द्रसभ
pramandalak,प्रमंडलक
bhga,भगा
poorvchar,पूर्वचार
vishishtprayogaah,विशिष्टप्रयोगाः
tokken,टोककेँ
attaa,अट्टा
vishnupuraak,विष्णुपुराक
maanewala,मानेवाला
amanullah,अमानुल्लाह
sadaramukamasabhake,सदरमुकामसभके
inch,इन्च
pradarshitak,प्रदर्शितक
ativadee,अतिवादी
laheriyaasaraayasan,लहेरियासरायसँ
bujhbaile,बुझबैले
kaansyapaatrame,काँस्यपात्रमे
kishauree,किशौरी
dagdara,डागदर
thahkaie,ठहकैए
samaachaarsabhak,समाचारसभक
aawami,आवामी
kookeeken,कूकीकेँ
ambarishke,अंबरीशके
pravodh,प्रवोध
felloj,फेल्लोज
bandhaw,बान्धव
raktai,रक्तै
pumpatyak,पुंपत्यक
manglk,माँगलक
tedhepan,टेढ़ेपन
bahalmano,बहलमानो
shabdsit,शब्दसित
leejai,लीजै
pupets,पपेट्स
pravidhee,प्रविधी
panchwati,पंचवटी
jelahi,जेलहि
talaume,तलाउमे
singarharak,सिंगरहारक
aaegee,आएगी
satyavatisa,सत्यवतीसँ
darbanken,दरबानकेँ
prmaanashaastra,प्रमाणशास्त्र
kimut,किमुत
vaaleek,वालीक
nssar,नास्सर
kalamandirak,कलामंदिरक
kharisag,खाडीसग
tankritsnavido,तानकृत्स्नविदो
sabdsabhak,शब्दसभक
takbou,तकबौ
apharankarik,अपहरणकारीक
besiyo,बेसियो
bajwak,बाजवाक
kinba,किनबा
gachhime,गाछीमे
janmbandhan,जन्मबन्धन
aparimay,अपरिमेय
punarprakashanak,पुनर्प्रकाशनक
banksabh,बैंकसभ
parvottar,पर्वोत्तर
girjanandath,गिरजानन्दथ
mrigasthalik,मृगस्थलीक
abhimatak,अभिमतक
electroad,इलेक्ट्रोड
bajabay,बजाबय
viratparv,विराटपर्व
serealsabhme,सिरियलसभमे
utthanke,उत्थानके
ratnawati,रतनावती
ghataal,घटाल
peparbaik,पेपरबैक
bachaabme,बचाबमे
forthegred,फोर्थेग्रेड
anangahin,अनंगहिं
gaulani,गौलनि
punravritti,पुनरावृत्ति
insaiklo,इन्साइक्लो
bichkebay,बिचकेबय
vachikak,वाचिकाक
dardke,दर्दके
chamchiklipan,चमचिकलीपन
antardhwani,अन्तर्ध्वनि
sanyuktam,संयुक्तम्
spashteekaransan,स्पष्टीकरणसँ
jeevetar,जीवेतर
raundatee,रौंदती
taelaa,टाइला
jorlaahee,जोरलाही
agrasa,आगरासं
teeveek,टीवीक
utrotar,उतरोतर
aaibgel,आइबगेल
anajasabha,अनाजसभ
ptauti,पटौटी
launiyan,लौनियाँ
adhyaysabh,अध्यायसभ
kimaarth,किमार्थ
jubilent,जुबिलेन्ट
mallkalak,मल्लकालक
sahaiya,सहैया
dayitwasabh,दायित्वसभ
vinodkanto,विनोदकान्तो
bidaika,विदाइक
adhiyagyah,अधियज्ञः
bassav,बससभ
suneko,सुनेको
markandelayakah,मार्कण्डेलयकः
ulenni,उर्लेनी
suputrak,सुपुत्रक
jitayk,जितैक
bhardwajstarthaivach,भारद्वाजस्तरथैवच
aabrahm,आब्रह्म
hiraneedwara,हिरानीद्वारा
aasvina,आस्विन
parhebak,परहेबाक
singhsn,सिंहसँ
raghuttamah,रघुत्तमः
providing,प्रोवाइडिंग
chashmdeed,चश्मदीद
sajjansan,सज्जनसँ
pilpilhawala,पिलपिलहावला
kotiteerth,कोटितीर्थ
kandasamee,कन्दासामी
chhatpatayal,छटपटायल
vasayik,वसायिक
asiame,एसियामे
duniyajahanak,दुनियाजहानक
pathargadha,पत्थरगाढा
tyaktasarvaparigrahah,त्यक्तसर्वपरिग्रहः
jamghatak,जमघटक
jyotik,ज्योतिक
dhakdhakati,धकधकाती
ullekhanie,उल्लेखनिए
hathiken,हाथीकेँ
varat,वरत
zatime,जातिमे
khojtai,खोजतै
smritisandhya,स्मृतिसंध्या
myaathyoo,म्याथ्यु
samvidhanseho,संविधानसेहो
martee,मार्टी
shivnandmano,शिवनन्दमनो
karmbandhan,कर्मबंधन
parfool,परफूल
pratiyogitaken,प्रतियोगिताकें
kankritak,कंक्रिटक
chhutelak,छुटेलक
nihudhal,निहुड़ल
roopdei,रूपदेई
dumachour,दमाचौर
chhurpi,छुर्पी
sashaktikaransambandhi,सशक्तिकरणसम्बन्धी
rahaichhai,रहैछै
viktaa,विकटा
ktiteem,कृतिम
shithilapan,शिथिलापन
janswaasthya,जनस्वास्थ्य
malesialee,मलेसियाली
sadanandanan,सदानन्दनन
geruliya,गेरूलिया
vidhasabhme,विधासभमे
parlame,पड़लामे
torasange,तोरासंगे
shatabdisabhak,शताब्दीसभक
takake,टाकाके
kolonee,कोलोनी
omharka,ओम्हरका
bhujaun,भुजौन
nobelak,नोबेलक
fatingee,फतिङ्गी
bhagken,भागकें
puduchchaereeme,पुदुच्चेरीमे
karwaya,करवाया
teerait,तीरैत
shivnathahpali,शिवनाथाःपाली
poonargathan,पूनर्गठन
joshipoork,जोशीपुरक
uttarayanme,उत्तरायणमे
pumplet,पम्पलेट
bahaib,बहैब
utkanthaaka,उत्कंठाक
pardesak,परदेसक
nikatak,निकटक
daknee,दकनी
maagai,मागै
aasmana,आसमान
thimpu,थिम्पू
dainyasan,दैन्यसँ
aadaab,आदाब
saanthal,सांठल
sarkmarga,सड़कमार्ग
divyagandhee,दिव्यगन्धी
sankratiken,संक्रातिकेँ
zanaal,जानाल
sivdham,सिवधाम
vyapaarmein,व्यापारमे
lolhisan,लोलहिसँ
bjaout,बजाओत
tiriskaar,तिरिस्कार
janlokaste,जनलोकस्ते
chhaoto,छोटो
durbhity,दुर्भीति
sankarshanpar,संकर्षणपर
thulapokhra,ठुलापोखरा
bajaulkaie,बजौलकैए
dhunte,धुनते
khareedal,खरीदल
saakhum,साखुम
bandanvar,बन्दनवार
karihuh,करिहह
juddhak,जुद्धक
syo,सयो
keenik,कीनिक
nrityakae,नृत्यके
vaigna,वैगन
sagayo,सगयो
rusbakal,रुसबाकाल
dronpar,द्रोणपर
mulamma,मुलम्मा
madhubaniyeme,मधुबनियेमे
philipp,फिलिप
ilee,इली
daabikay,दाबिकय
seminarme,सेमिनारमे
bajaarme,बजारमे
hrishikeshau,हृषिकेशौ
jhanjhbaat,झंझबात
jeevanandal,जीवानन्दल
shaukhin,शौखिन
khaabhar,खाभर
ratnapanik,रत्नपाणिक
tushtuvuh,तुष्टुवुः
purniyanh,पुर्नियाँः
seekhiyo,सीखियो
kahaliyah,कहलियह
daurak,दौड़क
manlaggu,मनलग्गु
oxmar,अक्समर
dabaabma,दबाबमा
preetagar,प्रीतगर
milaiyo,मिलाइयो
saraksavak,सड़कसभक
harinand,हरिनन्द
clearly,क्लियरली
entertainer,एंटरटेनर
chhwawain,छ्वावैं
dosardish,दोसरदिश
perseean,पर्सियन
matipurn,मतिपूर्ण
vighnedashwa,विघ्नेदश्व
sandehaspad,सन्देहास्पद
suchidineshwar,सूचीदिनेश्वर
taangk,टाङ्गक
bhavateeti,भवतीति
daliyan,डालियान
strokon,स्ट्रोकोन
chikarbai,चिकरबै
siments,सिमेन्ट्स
vredaeforta,व्रेडेफोर्ट
rapoorniyan,रपूर्णियाँ
thenge,ठेंगे
byaas,ब्यास
tamilken,तमिलकेँ
sujhavdatak,सुझावदाताक
bhartiyasamajah,भारतीयसमाजः
danwakyayawali,दानवाक्ययावली
tajeevan,ताजीवन
piaech,पीएच्
kekaree,केकरी
welham,वेलहम
uparwale,ऊपरवाले
jimmadaari,जिम्मदारी
yenfa,एन्फा
gabiael,गाभिएल
katkatahin,कटकटहिं
patharme,पठारमे
sambandhitsabh,सम्बन्धितसभ
jatansau,जतनसँ
lalitgram,ललितग्राम
kahijharee,कहिझरी
balmukundu,बालमुकुन्दु
sudridhekaranak,सुदृढ़ीकरणक
jataukaa,जतौका
banjhbaari,बाँझबारी
laghuprakriya,लघुप्रक्रिया
politikali,पोलिटिकली
bhainsur,भैंसुर
sansarbharik,संसारभरिक
dekhtiyaik,देखतियैक
nahio,नहिओ
badhaabaelel,बढ़ाबएलेल
haraaya,हराया
punarmrigyate,पुनर्मृग्यते
gajlkarak,गजलकारक
dharaditya,धरादित्य
tridev,त्रिदेव
giaane,गिआने
rakula,रकुल
seemankne,सीमाङ्कने
marnoparanta,मरणोपरान्त
tilasmee,तिलस्मी
naache,नाचे
hariambah,हरिअम्बह
aagbhishyatipatika,आगभिष्यतिपतिका
corective,करेक्टिव
jhulais,झुलैस
mulooki,मुलुकी
sikhdwara,सिखद्वारा
bhataur,भटौर
siyalcot,सियालकोट
aayurveme,आयुर्वेमे
putrondehi,पुत्रोन्देहि
sinhjha,सिंहझा
vastutahmaithilee,वस्तुतःमैथिली
vastavikataake,वास्तविकताके
farwarisan,फरवरीसँ
hantabiyau,हँटबियौ
dorajae,दोर्जे
chappakalpar,चप्पाकलपर
jaivala,जाइवाला
bisbaas,बिसबास
najijaka,नजिकक
mondho,मोंढ़ो
amoortt,अमूर्त्त
upamahadveepamae,उपमहाद्वीपमे
shirghtasan,शिर्घतासँ
gangaajaliyon,गंगाजलियों
charsadda,चारसद्दा
aanandidewi,आनन्दीदेवी
makmakayat,मकमकायत
lathime,लाठीमे
karayal,करायल
vikritisabha,विकृतिसभ
sweekaari,स्वीकारि
poochanee,पूछनी
marariya,मररिया
shashikamini,शशिकामिनी
parmatm,परमात्म
emiretasak,एमिरेट्सक
hammarskajoldake,हम्मरस्क्जोल्डके
rachitsanskrit,रचितसंस्कृत
thikedarsan,ठिकेदारसँ
jivanchitk,जीवनचरितक
saptarangi,सप्तरंगी
mankaanusar,मानकानुसार
chishti,चिश्ती
kalbodhak,कालबोधक
khelkai,खेलकै
jedablyoo,जेडब्ल्यू
jyotishme,ज्योतिषमे
sharedharaksabhak,शेयरधारकसभक
chadhelani,चढेलनि
gyanmay,ज्ञानमय
finisar,फिनिसर
chhalal,छलल
ripatne,रिपटने
dhovat,धोवत
kachuree,कचुरी
gherba,घेरबा
saritsamudranshch,सरित्समुद्रांश्च
ratibhav,रतिभाव
pdasin,पदासिन
tishtham,तिष्ठाम
hainske,हैंसके
kirayak,किरायाक
rituker,ऋतुकेर
shobhnath,शोभनाथ
janavaita,जनावैत
bhyandenbarg,भ्यानडेन्बर्ग
poocha,पूछऽ
prasiddhashchhandah,प्रसिद्धश्छन्दः
karbigahiya,करबिगहिया
riportr,रिपोर्टर
vent,वेन्ट
takshaddaison,डायसन
waterway,वाटरवे
furelni,फुरेलनि
pubmae,पूबमें
gorakhpure,गोरखपुरे
chhorbaik,छोड़बैक
chobhayadatah,चोभयादतः
hrishivansh,हृषिवंश
ppf,पीपीएफ
prithakeekrit,पृथकीकृत
mukadmaken,मुकदमाकेँ
paeshaka,पेशाक
ummedvaarke,उम्मेदवारकें
ghanshyavam,घनश्यावम
gairmumkin,गैरमुमकिन
sanait,सनैत
susuchit,सुसुचित
lenard,लेनर्ड
jatthasabh,जत्थासभ
oongh,ऊँघ
sweedayn,स्वीडेन
gilat,गिलट
lajjaake,लज्जाके
inphocom,इन्फोकम
sundartaame,सुन्दरतामे
rishikeshasn,ऋषिकेशसँ
parmatmaken,परमात्माकेँ
bipakshme,विपक्षमे
phochan,फोचन
mahrjan,महर्जन
sankalanken,संकलनकेँ
aanandme,आनन्दमे
feerai,फिरै
aangurme,आँगुरमे
madaanpur,मदानपुर
nirmataon,निर्माताओं
rashtrasabhak,राष्ट्सभक
patrikasabhka,पत्रिकासभक
brahpoukhree,बराहपोखरी
maarshalak,मार्शलक
kalaat,कलात
kosiyek,कोसियेक
jyaak,ज्याक
commandak,कमान्डक
bagalk,बगलेक
rahnaee,रहनाइ
atisaar,अतिसार
avtarsabh,अवतारसभ
dhiyanu,धियानु
paked,पकैड
tibetak,तिब्बतक
archak,अर्चक
divoshan,डिवोशन
asmee,अस्मी
lakandra,लकान्द्र
amrenisan,अम्रेनीसँ
manonigrahak,मनोनिग्रहक
taalab,टालब
gaureeko,गौरीको
rahaiti,रहैति
oothoo,उठु
bnayene,बनाएने
yettek,एत्तेक
jatiyasabhak,जातियसभक
malkineek,मलकिनीक
gaadot,गादोत
nirdeshakdway,निर्देशकद्वय
lagah,लागह
vakyajanya,वाक्यजन्य
arba,अर्ब
hilmil,हिलमिल
nirat,निरत
conectivati,कनेक्टिवटी
bets,बेट्स
baisbok,बैसबोक
mashrum,मशरुम
jnmotsavak,जन्मोत्सवक
shatranjak,शतरंजक
aatmbhawsan,आत्मभावसँ
janmihe,जनमिहे
ityadibhyah,इत्यादिभ्यः
mukhakritipar,मुखाकृतिपर
parwej,परवेज
darak,डरक
imojee,इमोजी
karhar,करहर
baetasam,बेटासँ
prayoktasabhke,प्रयोक्तासभके
gharbaiyasan,घरबैयासँ
dainiksabh,दैनिकसभ
divakanti,दिवाकान्ती
californiak,क्यालिफोर्नियाक
kalaapar,कलापर
oreeaaon,ओरिआओन
shulabh,शुलभ
chandralok,चन्द्रलोक
gangadaspur,गंगादासपुर
sahrsbke,शहरसभके
premabhibhoot,प्रेमाभिभूत
phulait,फुलैत
kadamke,कदमके
dhokar,ढोकर
hindusabhak,हिन्दुसभक
intigreted,इन्टिग्रेटेड
nalinayatlochan,नलिनायतलोचन
gahuman,गहुमन
chuli,चुली
basowasak,बसोवासक
ayalaiyei,अयलैए
aekbajiya,एकबजिया
fnt,फन्ट
geltathi,गेलतथि
sujena,सुजेना
khulne,खुलने
baadho,बाधो
yarpa,र्याप
chakhel,चखेल
komhr,कोम्हर
chotkal,चोटकल
syandars,स्यान्डर्स
bavoonath,बावूनाथ
shwetambari,श्वेताम्बरि
raundait,रौंदैत
senegambiyak,सेनेगाम्बियाक
pyalare,प्यालरे
visuviyas,विसुवियस
rasleelak,रासलीलाक
electical,इलेक्टिकल
vishwaviddhalayme,विश्वविद्धालयमे
aaidaltu,आइडल्टु
maahain,माहैं
khekaro,खेकरो
diwana,दिवाना
nirodhee,निरोधी
haridave,हरिदवे
ehteram,एहतेराम
pranaas,प्रणास
snchit,सञ्चित
joshuva,जोशुवा
bhakk,भक्क
timme,टिममे
khaloo,खालू
pachchikariyan,पच्चीकारियाँ
panchakak,पञ्चकक
divangata,दिवङ्गता
benglorko,बेङ्लोरको
sitamadhike,सीतामढ़ीके
daema,देमऽ
oskaar,ओस्कार
bharmayo,भरमायो
pariwarsabhak,परिवारसभक
kuranak,कुरानक
yatrakal,यात्राकाल
bndee,बंडी
bujhaavait,वुझावैत
pravartitan,प्रवर्तितं
sandharit,संधारित
pratibhaon,प्रतिभाओं
kaarn,कारन
pronanciationak,प्रोनन्सिएशनक
balkathapar,बालकथापर
pichlo,पिछलो
navhatta,नवहट्टा
nirikshanme,निरीक्षणमे
manograahi,मनोग्राही
madhukaraapatyas,मधुकरापत्यस
vistarvadik,विस्तारवादीक
sapootken,सपूतकेँ
kareehe,करीहे
ekardeshwadar,एकरदेश्वदर
chalaadal,चलादल
bhekensi,भेकेन्सी
tavedari,तावेदारी
beetelkai,बीतेलकै
uttarem,उत्तरम
sampdasabha,सम्पदासभ
upmanon,उपमानों
nrityaken,नृत्यकें
kanchee,काँची
bachebau,बचेबौ
dhaabik,धाबीक
bihaarin,बिहारिन
chandrakar,चन्द्रकर
ankaa,अंका
kalpnadhuna,कल्पनाधुना
modalinga,मोडलिंग
parganaaken,परगनाके
khetpar,खेतपर
sitafal,सीताफल
syadishtarthalaabhaih,स्यादिष्टार्थलाभैः
saweron,सवेरों
khandobalasan,खण्डोबलासँ
puraame,पुरामे
sasthaapak,सस्थापक
banaabaelel,बनाबएलेल
penihair,पेनिहाइर
tivisan,टीवीसँ
shikshashastrik,शिक्षाशास्त्रीक
keshaurya,केशौर्य
sitthee,सिट्ठी
dhanbal,धनबल
malilo,मलिलो
jornal,जोर्नल
pathaklokni,पाठकलोकनि
rakhanihaar,राखनिहार
boltak,बोल्टक
lilet,लिलेट
banarsidas,बनारसीदास
khalangasan,खलंगासँ
kakhe,कखे
sevadharm,सेवाधर्म
soundout,साउण्डआउट
pakarlaun,पकड़लौं
ubharme,उभारमे
snattoktar,स्नात्तोक्तर
gaumpalikama,गाउँपालिकामा
shringya,श्रृंग्य
behosheek,बेहोशीक
torab,तोरब
gurueprasad,गुरूप्रसाद
parampad,परम्पद
vaigyanikke,वैज्ञानिकके
aayurvedacharya,आयुर्वेदाचार्य
laiha,लैह
vatautaah,वतौताह
kalaakarke,कलाकारकें
prtisabh,प्रतिसभ
abhibhashanme,अभिभाषणमे
gamavee,गमावी
chhalael,छलाएल
siddhihsadhye,सिद्धिःसाध्ये
ladoga,लाडोगा
patrikakein,पत्रिकाकें
rambaran,रामबरण
sobhiyatak,सोभियतक
tulseepur,तुल्सीपुर
kurumba,कुरुम्बा
shahibk,साहिबक
daheje,दहेजे
modhha,मोधा
sakaywali,सकयवाली
anahat,अनाहत
sachchai,सच्चाइ
tulsiram,तुलसीराम
utaratai,उतरतै
airportsan,एयरपोर्टसँ
sangrahalyn,संग्राहलयों
aalaam,आलाम
kallolak,कल्लोलक
vedvati,वेदवती
preetamngar,प्रीतमनगर
banhtutti,बन्हटुट्टी
patneike,पत्नीके
midtaunak,मिडटाउनक
prasootik,प्रसूतिक
karadaichhi,करादैछी
ghanvidusha,घनविदुषा
shivdattah,शिवदत्ताः
asraf,असरफ
prayogsab,प्रयोगसभ
limbachiya,लिम्बाचिया
shraddhamoolak,श्रद्धामूलक
dubuddhi,दुबुद्धि
pariyojanasabhken,परियोजनासभकेँ
dhroulany,धरौलनि
anshroop,अंशरूप
baage,बागे
exchangeme,एक्सचेन्जमे
fileme,फाइलमे
makali,मकली
prathanusar,प्रथानुसार
mundkopnishad,मुण्डकोपनिषद्
sujhait,सुझैत
karmbhav,कर्मभाव
alhadta,अल्हड़ता
matimaan,मतिमान
danbaar,दनबार
vibhagadhyaksh,विभागाध्यक्ष
aayogki,आयोगकी
dugunaa,दुगुणा
nirlajjataasan,निर्लज्जतासँ
risalat,रिसालत
nichalkaken,निचलकाकेँ
guruae,गुरुए
akteen,एकतिन
kehtai,कहतै
jeewansbh,जीवसभ
bsw,बीएसडब्ल्यू
sinwang,सिनवाङ
bahyaroopataya,बाह्यरूपतया
ritikalin,रीतिकालीन
abahin,अबहिं
vriddhoken,वृद्धोकेँ
jaminsan,जमिनसँ
kyatholikako,क्याथोलिकको
modeemoniks,मोदीमोनिक्स
gurunanakji,गुरुनानकजी
akulayal,अकुलायल
puldwara,पुलद्वारा
vaastukaraka,वास्तुकारक
jethhak,जेठक
kiransab,किरणसभ
halaayugh,हलायुघ
valuken,वालुकेँ
emiratesme,एमिरेट्समे
ugradev,उग्रदेव
tankeek,टंकीक
lonae,लोने
bheravadatt,भेरवदत्त
gobil,गोबिल
boojhaith,बूझैथ
kaselak,कसेलक
paithar,पैथर
otuaa,ओतुआ
harikaraapatyag,हरिकरापत्यग
chyawanprash,च्यवनप्राश
oktobarme,अक्टुबरमे
sahyogah,सहयोगः
muskurairheki,मुस्कुराइरहेकी
dekhnihair,देखनिहाइर
vrahamdat,व्रहमदत
asanvaidhanik,असंवैधानिक
navbibahit,नवबिबाहित
dravyasya,द्रव्यस्य
mustafawad,मुस्तफावाद
jalkshetrak,जलक्षेत्रक
labdhik,लब्धिक
abheelekhme,अभिलेखमे
simmarak,सिम्मरक
sabhaakael,सभाकएल
hurpetalkaik,हुरपेटलकैक
shankarvachaspati,शंकरवाचस्पती
chitvanak,चितवनक
mushaayare,मुशायरे
abrahamik,अब्राहमिक
aakramaktaak,आक्रमकताक
madhukosh,मधुकोष
virheek,विरहीक
chunnuken,चुन्नूकेँ
brouserme,ब्राउजरमे
krishnarlalah,कृष्णरलालः
janmjatwakta,जन्मजातवक्ता
atakane,अटकने
kazaldvara,काजलद्वारा
navikaranak,नवीकरणक
chandradatt,चन्द्रदत्त
bhonjae,भोंजे
seekhlah,सीखलाह
rigvedmain,ऋग्वेदमे
apoornaksharee,अपूर्णाक्षरी
seerhisabhak,सीढ़िसभक
shabdadik,शब्दादिक
teebr,तीब्र
vyavasthaviruddh,व्यवस्थाविरुद्ध
kachnak,काचनक
neendrame,निन्द्रामे
chaltaah,चलताह
