natiji,ਨਤੀਜੀ
adira,ਅਦਿਰਾ
chhajal,ਛਾਜਲ
javier,ਜੈਵੀਅਰ
amphitheatre,ਐਂਫ਼ੀਥੀਏਟਰ
asand,ਅਸੰਦ
ikih,ਇਕੀਹ
hodar,ਹੋਦਰ
releasing,ਰੀਲੀਜ਼ਿੰਗ
ultratech,ਅਲਟਰਾਟੈੱਕ
shrivardhan,ਸ੍ਰੀਵਰਧਨ
librating,ਲਿਬਰੇਟਿੰਗ
opinion,ਓਪੀਨਿਅਨ
gogan,ਗੋਗਾਂ
bidarna,ਬਿਦਾਰਨਾ
puche,ਪੁੱਛੇ
inquilab,ਇਨਕਲਾਬ
anglang,ਆਂਗਲਾਂਗ
kataru,ਕਟਾਰੂ
cristiforson,ਕ੍ਰਿਸਟੀਫੋਰਸਨ
wembley,ਵੈਂਬਲੇ
hargish,ਹਰਗਿਸ਼
banawali,ਬਨਾਵਲੀ
kalakirti,ਕਲਾਕਿਰਤੀ
glaciologist,ਗਲੇਸ਼ੀਓਲੋਜਿਸਟ
miglan,ਮਿਗਲਾਨ
kirdarnigari,ਕਿਰਦਾਰਨਿਗਾਰੀ
saintarpuna,ਸੈਂਟਰਪੁਣਾ
upjog,ਉਪਜੋਗ
gajsinghpur,ਗਜਸਿੰਘਪੁਰ
mukhta,ਮੁਖਤਾ
galipoli,ਗਾਲੀਪੋਲੀ
sybtech,ਸਿਬਟੈਕ
kavili,ਕਾਵਿਲੀ
preference,ਪ੍ਰੀਫਰੈਂਸ
sbr,ਐਸਬੀਆਰ
dharani,ਧਰਾਨੀ
dravjit,ਦ੍ਰਵਜੀਤ
mukandpur,ਮੁਕੰਦਪੁਰ
diversity,ਡਾਇਵਰਸਟੀ
jimkhanan,ਜਿੰਮਖਾਨਾਂ
salahega,ਸਲਾਹੇਗਾ
sujjda,ਸੁੱਜਦਾ
taabedaar,ਤਾਅਬੇਦਾਰ
khulvaega,ਖੁੱਲ੍ਹਵਾਏਗਾ
sunangiaan,ਸੁਣਨਗੀਆਂ
nagarde,ਨਗਰਦੇ
ilachi,ਇਲਾਚੀ
dakbangla,ਡਾਕਬੰਗਲਾ
gonsal,ਗੌਂਸਲ
uggar,ਉੱਘੜ
kharika,ਖਾਰੀਕਾ
shoslisht,ਸ਼ੋਸਲਿਸ਼ਟ
crubstones,ਕਰਬਸਟੋਨਜ਼
ripandeep,ਰਿਪਨਦੀਪ
habalra,ਹਬਲਰਾ
zigger,ਜ਼ਿਗਰ
subhantiaan,ਸੁਭਾਂਤੀਆਂ
taljin,ਤਲਜੀਨ
pixilen,ਪਿਕਸੀਲੇਨ
elejandro,ਏਲੇਜਾਂਦਰੋ
bhatiras,ਭਤੀਰਸ
kiriaan,ਕਿਰੀਆਂ
hodlam,ਹੋਡਲਮ
dominico,ਡੋਮਿਨਿਕੋ
hyang,ਹਯਾਂਗ
viaahu,ਵਿਆਹੁ
mutabik,ਮੁਤਾਬਿਕ
nagarajan,ਨਗਰੰਜਨ
hemlet,ਹੇਮਲੇਟ
srihargobind,ਸ੍ਰੀਹਰਗੋਬਿੰਦ
gippsland,ਗਿੱਪਸਲੈਂਡ
premdas,ਪ੍ਰੇਮਦਾਸ
maneria,ਮਨੇਰੀਆ
saffari,ਸਫ਼ਰੀ
ahismati,ਅਹਿਸਮਤੀ
spathoid,ਸਪੈਥਾਇਡ
shantz,ਸ਼ਾਂਟਜ਼
buvaneka,ਬੁਵਾਨੇਕਾ
neurocycatory,ਨਿਊਰੋਸਾਇਕੇਟਰੀ
pumps,ਪੰਪਸ
angroia,ਅੰਗਰੋਈਆ
earpods,ਈਅਰਪੌਡਸ
barolona,ਬਾਰੋਲੋਨਾ
bhanowal,ਭਾਣੋਵਾਲ
antiphlamine,ਐਣਿਟਫ਼ਲੇਮੀਨ
ohayu,ਓਹਾਯੂ
shuniaan,ਸ਼ੂਨਿਆਂ
likhahi,ਲਿਖਾਹੀ
praik,ਪ੍ਰੈਕ
slicers,ਸਲਾਈਸਰਜ਼
aljo,ਅਲਜੋ
tunge,ਟੁੰਗੇ
gravetian,ਗਰੇਵਟੀਅਨ
chimur,ਚਿਮੂਰ
thankachan,ਥੰਕਾਚਨ
addhaa,ਅੱਧਾ
jaloun,ਜਲੌਨ
vijayvagri,ਵਿਜੈਵਗਰੀ
lamvandi,ਲਾਮਵੰਦੀ
compactum,ਕੰਪੈਕਟਮ
terrius,ਟੈਰੀਅਸ
khairnar,ਖੈਰਨਾਰ
sechar,ਸੇਚਾਰ
bernbrass,ਬਰਨਬ੍ਰਾਸ
bambei,ਬਾਂਬੇਈ
boven,ਬੋਵੇਨ
croad,ਕਰੋਡ
drindgivi,ਦਰਿੰਦਗੀਵੀ
gajalpreet,ਗਜਲਪ੍ਰਰੀਤ
fradicin,ਫ੍ਰਾਡਿਸਿਨ
bakwali,ਬਕਵਾਲੀ
electrongtivity,ਇਲੈਕਟ੍ਰੌਨਗਟਿਵਿਟੀ
mathoora,ਮਥੁਰਾ
vivartan,ਵਿਵਰਤਨ
rotfoto,ਰੋਟਫੋਟੋ
boogi,ਬੂਗੀ
budhiyanan,ਬੁਢਿਆਣਾਂ
babarta,ਬਾਬਰਤਾ
boriwal,ਬੋਰੀਵਾਲ
aabriaan,ਆਬਰੀਆਂ
sahibwaliaan,ਸਾਹਿਬਵਾਲਿਆਂ
ekloleg,ਏਕਲੋਲੇਗ
siisiily,ਸਿਸਲੀ
tuj,ਤੁਜ
helipcotter,ਹੈਲੀਪਕਾਟਰ
multiplex,ਮਲਟੀਪਲੈਕਸ
avivadh,ਅਵਿਵਧ
gargalo,ਗਾਰਗਾਲੋ
dhadeband,ਧੜੇਬੰਦ
passaport,ਪੈਸਾਪੋਰਟ
agedi,ਅਗੇਦੀ
khhas,ਖ਼ਾਸ
bhartisyastdanan,ਭਾਰਤੀਸਿਆਸਤਦਾਨਾਂ
tayega,ਤਾਏਗਾ
dracina,ਡਰਾਸੀਨਾ
mace,ਮਕੇ
patholial,ਪਾਥੋਲੀਅਲ
mukas,ਮੁਕਾਸ
suzuka,ਸੁਜੁਕਾ
kippur,ਕਿਪਪੁਰ
nirdharanvadi,ਨਿਰਧਾਰਣਵਾਦੀ
bechar,ਬੇਚਾਰ
takuan,ਟਾਕੂਆਂ
suivavan,ਸੂਈਵਾਵਾਂ
hairat,ਹੈਰਾਤ
colonoscopy,ਕੋਲੋਨੋਸਕੋਪੀ
dominique,ਡੋਮਿਨੀਕ
areesh,ਆਇਰਿਸ਼
utkaal,ਉਤਕਾਲ
balveshwar,ਬਲਵੇਸ਼ਵਰ
railtag,ਰੇਲਟੈਗ
rajuana,ਰਾਜੂਆਣਾ
plumbering,ਪਲੰਬਰਿੰਗ
khubhdi,ਖੁੱਭਦੀ
marquas,ਮਾਰਕੁਆਸ
jokhini,ਜੋਖਿਨੀ
autograph,ਆਟੋਗ੍ਰਾਫ਼
rikhiraj,ਰਿਖੀਰਾਜ
metert,ਮੀਟਰਟ
nikhilam,ਨਿਖਿਲਮ
badge,ਬੈਜ
shelender,ਸ਼ੈਲੇਂਦਰ
shelbark,ਸ਼ੈਲਬਾਰਕ
rakhhan,ਰੱਖਾਂ
rujhven,ਰੁਝਵੇਂ
furnish,ਫਰਨਿਸ਼
doggler,ਡੌਗਲਰ
utarvai,ਉਤਰਵਾਈ
vorah,ਵੋਰਾਹ
guanch,ਗੁਆਂਚ
banjaran,ਬੰਜਾਰਾਂ
bichohu,ਬਿਛੋਹੁ
pyloentology,ਪਾਈਲੋਇੰਟੋਲੋਜੀ
pavengi,ਪਵੇਂਗੀ
thonj,ਥੌਂਜ
pratiyogitavan,ਪ੍ਰਤਿਯੋਗਿਤਾਵਾਂ
shagufe,ਸ਼ਗੂਫ਼ੇ
ujarti,ਉਜਰਤੀ
talagram,ਤਾਲਾਗ੍ਰਾਮ
webwar,ਵੈੱਬਵਾਰ
khivaundi,ਖਿਵਾਉਂਦੀ
gulali,ਗੁਲਾਲੀ
viceover,ਵਾਇਸਓਵਰ
corifu,ਕੋਰੀਫੂ
shillingford,ਸਿਲਿੰਗਫੋਰਡ
buzargan,ਬੁਜ਼ਰਗਾਂ
rujagar,ਰੁਜਾਗਰ
krishanjit,ਕ੍ਰਿਸ਼ਨਜੀਤ
afsa,ਅਫਸਾ
sanketic,ਸੰਕੇਤਿਕ
khiaan,ਖੀਆਂ
rahinumai,ਰਾਹਿਨੁਮਾਈ
joonagadh,ਜੂਨਾਗੜ੍ਹ
ferrets,ਫਰਰੇਟਸ
blackwood,ਬਲੈਕਵੁਡ
lagaae,ਲਗਾਏ
entrepamp,ਐਂਟਰਪੈਂਪ
butian,ਬੂਟਿਆਂ
baggate,ਬੈਗੇਟ
meenu,ਮੀਨੂ
portage,ਪੋਰਟੇਜ
muruguppa,ਮੁਰੂਗੁੱਪਾ
puggani,ਪੁੱਗਣੀ
tbilisi,ਤਬਿਲਿਸੀ
mirka,ਮਿਰਕਾ
beetaiaa,ਬੀਤਾਇਆ
eurotas,ਯੂਰੋਤਾਸ
liawo,ਲਿਆਵੋ
dhanukhvin,ਧਨੁਖਵੀਂ
gurudwaras,ਗੁਰਦਵਾਰਿਆਂ
nesbo,ਨੈਸਬੋ
fensitigy,ਫੈਂਸਟਿਜੀ
suljhenge,ਸੁਲਝੇਂਗੇ
ngoli,ਨਗੋਲੀ
walpar,ਵਾਲਪਾਰ
microsomic,ਮਾਈਕ੍ਰੋਸੋਮਿਕ
daleez,ਦਲੀਜ਼
theatrenuma,ਥੀਏਟਰਨੁਮਾ
sangan,ਸੰਗਾਂ
dhaneri,ਧਨੇਰੀ
tilke,ਤਿਲਕੇ
dattatriaa,ਦੱਤਾਤ੍ਰਿਆ
adriaan,ਅਦਰਿਆਂ
utavalepan,ਉਤਾਵਲੇਪਨ
unada,ਉਨਦਾ
dalitan,ਦਲੀਤਾਂ
backflow,ਬੈਕਫਲੋ
systema,ਸਿਸਟਮਾ
corrivalis,ਕੋਰੀਵਾਲੀਸ
radamel,ਰਾਡਾਮੇਲ
laserfield,ਲੇਜ਼ਰਫੀਲਡ
libraria,ਲਾਇਬਰੇਰੀਆ
bardashatyog,ਬਰਦਾਸ਼ਤਯੋਗ
srinangar,ਸ੍ਰੀਨੰਗਰ
dahuraun,ਦਹੁਰਾਉਣ
sookhamata,ਸੂਖਮਤਾ
rikmeme,ਰਿਕਮੇਮੇ
panchkarman,ਪੰਚਕਰਮਾਂ
alkalaunda,ਅਲਕਲਾਉਂਦਾ
valamidir,ਵਲਾਮੀਦੀਰ
chimmadiaan,ਚਿੰਮੜੀਆਂ
icebox,ਆਈਸਬੌਕਸ
lippiantar,ਲਿੱਪੀਆਂਤਰ
parodic,ਪੈਰੋਡਿਕ
bakria,ਬਕਰੀਆ
bhanganiaan,ਭੰਗਾਣੀਆਂ
capsance,ਕੈਪਸੰਸ
gorikambdekhedgada,ਗੋਰੀਕੰਬਦੇਖੇਡਗਦਾ
haddbandiyaan,ਹੱਦਬੰਦੀਆਂ
khohakhohai,ਖੋਹਾਖੋਹਾਈ
bonobos,ਬੋਨੋਬੋਸ
langaz,ਲੰਗਜ਼
lothra,ਲੋਥਰਾ
hisaiaa,ਹਿਸਾਇਆ
aavegan,ਆਵੇਗਣ
blekroplasty,ਬਲੇਫਰੋਪਲਾਸਟੀ
mortel,ਮੌਰਟਲ
matheliaan,ਮਥੇਲੀਆਂ
mller,ਮੁਲਰ
anarthak,ਅਨਰਥਕ
abisteth,ਅਬੀਸਟੇਥ
rajgi,ਰਾਜਗੀ
katsura,ਕਤਸੁਰਾ
pedment,ਪੈਡਮੈਂਟ
shugoi,ਸ਼ੂਗੋਈ
satpude,ਸਤਪੁੜੇ
guterres,ਗੁਟੇਰੇਜ਼
suhro,ਸੁਹਰੋ
tpr,ਟੀਪੀਆਰ
bmp,ਬੀਐਮਪੀ
kilimnik,ਕਿਲਿਮਨਿਕ
bnz,ਬੰਜ਼
nityananda,ਨਿਤਯਾਨੰਦ
latrochemistry,ਲੈਟ੍ਰੋਕੈਮਿਸਟਰੀ
chayaforan,ਚਾਇਆਫੋਰਨ
nigaldi,ਨਿਗਲਦੀ
jaibhan,ਜੈਭਾਨ
kanwalpal,ਕੰਵਲਪਾਲ
antioxidenta,ਐਂਟੀਆਕਸਾਈਡੈਂਟਾਂ
adren,ਐਡਰਨ
stakhovsky,ਸਟਾਖੋਵਸਕੀ
boonin,ਬੂਨਿਨ
girton,ਗਿਰਟਨ
kocherlakota,ਕੋਚੇਰਲਾਕੋਟਾ
carley,ਕਾਰਲੀ
schulman,ਸ਼ੁਲਮਨ
dadujabhag,ਦਾਦੂਜਾਭਾਗ
trusts,ਟ੍ਰੱਸਟਸ
baidlan,ਬੈਡਲਾਂ
vidhail,ਵਿਧਾਇਲ
poratshil,ਪੋਰਤਸ਼ੀਲ
sutiyambe,ਸੁਤਿਯਾਮਬੇ
kavtavan,ਕਵਤਾਵਾਂ
pahanchande,ਪਹੰਚਾਂਦੇ
gavaoge,ਗਵਾਓਗੇ
beaverbrook,ਬੀਵਰਬਰੁਕ
tirthankara,ਤੀਰਥੰਕਰ
stubal,ਸਟੂਬਲ
himso,ਹਿਮਸੋ
exphiliating,ਐਕਸਫ਼ੀਲੀਏਟਿੰਗ
kurinthusik,ਕੁਰਿੰਥੁਸਿਕ
haroow,ਹੈਰੋ
borhe,ਬੋੜੇ
velocipady,ਵੈਲੋਸੀਪੈਡੀ
saidpur,ਸੈਦਪੁਰ
hargraves,ਹਾਰਗਰੇਵਜ਼
gruber,ਗਰੁਬਰ
parand,ਪਰੰਦ
mullah,ਮੁੱਲਾ
maarlo,ਮਾਰਲੋ
aurjanam,ਔਰਜਨਮ
kingu,ਕਿੰਗੂ
bughra,ਬੁਘਰਾ
lenger,ਲੈਂਜਰ
carrasco,ਕੈਰਾਸਕੋ
nidan,ਨਿਦਾਨ
fabbat,ਫੱਬਤ
macroloid,ਮੈਕਰੋਲਾਇਡ
overloaded,ਓਵਰਲੋਡੇਡ
firkadarana,ਫਿਰਕਾਦਾਰਾਨਾਂ
arganic,ਅਰਗੈਨਿਕ
nitrozones,ਨਾਈਟਰੋਜੋਨਸ
japenga,ਜਪੇਂਗਾ
hatdiaan,ਹਟਦੀਆਂ
desktop,ਡਿਸਕਟਾਪ
portaran,ਪੋਰਟਰਾਂ
fratework,ਫਰੇਟਵਰਕ
vengal,ਵੈਂਗਲ
tado,ਟਾਡੋ
actured,ਐਕਚਰਡ
devinderpal,ਦਵਿੰਦਰਪਾਲ
deedhi,ਦੀਧੀ
pratisthapan,ਪ੍ਰਤੀਸਥਾਪਨ
toltable,ਟੋਲਟੇਬਲ
convenier,ਕਨਵੀਨੀਅਰ
lakoiaa,ਲਕੋਇਆ
hydrocartison,ਹਾਈਡਰੋਕਾਰਟੀਸਨ
mikozel,ਮਿਕੋਜ਼ਲ
pascha,ਪਾਸਕਾ
dabas,ਡਬਾਸ
andrey,ਆਂਦਰੇ
kalubhatia,ਕਾਲੂਭਾਟੀਆ
bholevasiaa,ਭੋਲੇਵਾਸੀਆ
makhmali,ਮਖਮਲੀ
sweping,ਸਵੀਪਿੰਗ
khadyukt,ਖਾਦਯੁਕਤ
kinfock,ਕਿਨਫੋਕ
fasiaa,ਫਸਿਆ
rejarvar,ਰਿਜਰਵਰ
megov,ਮੇਗੋਵ
otrivin,ਓਟ੍ਰੀਵਿਨ
steeh,ਸਟੀਹ
vemukh,ਵੇਮੁਖ
biplain,ਬਿਪਲੇਨ
rora,ਰੋਰਾ
vinshton,ਵਿੰਸਟਨ
libbhan,ਲਿੱਭਣ
naturals,ਨੈਚਰਲਸ
tarbalbir,ਤਾਰਬਲਬੀਰ
ghidke,ਘਿੜਕੇ
bilaak,ਬਿਲਾਕ
alovo,ਐਲੋਵੋ
sharamnaak,ਸ਼ਰਮਨਾਕ
participant,ਪਾਰਟੀਸੀਪੇਂਟ
gomran,ਗੋਮਰਨ
oncologist,ਓਨਕੋਲਾਜਿਸਟ
alarcn,ਅਲਾਰਕਨ
pretorius,ਪ੍ਰੀਟੌਰੀਅਸ
instrument,ਇਨਸਟਰੂਮੈਂਟ
selkiaane,ਸੇਲਕੀਆਣੇ
dodiaan,ਦੋੜੀਆਂ
narer,ਨਰੇਰ
najwanan,ਨਜਵਾਨਾਂ
backlist,ਬੈਕਲਿਸਟ
panther,ਪੈਂਥਰ
spectrophometer,ਸਪੈਕਟ੍ਰੋਫੋਮੀਟਰ
surajfish,ਸੂਰਜਫਿਸ਼
floring,ਫ਼ਲੋਰਿੰਗ
ajihiaan,ਅਜਿਹੀਆਂ
amyra,ਅਮਾਇਰਾ
amper,ਐਂਪਰ
konchlovsky,ਕੋਨਚਲੋਵਸਕੀ
trasdar,ਤ੍ਰਾਸਦਕ
brigediara,ਬ੍ਰਿਗੇਡੀਅਰ
jimba,ਜਿੰਬਾ
bianpur,ਬਿਆਨਪੁਰ
eklingji,ਏਕਲਿੰਗਜੀ
hazel,ਹੈਜ਼ਲ
chandolia,ਚੰਡੋਲੀਆ
daniels,ਡੈਨੀਅਲਜ਼
broads,ਬ੍ਰਾਡਸ
lithia,ਲਿਥੀਆ
niradhit,ਨਿਰਾਧਿਤ
gadarpur,ਗਦਰਪੁਰ
sabonis,ਸਬੋਨੀਸ
jawalewala,ਜਵਾਲੇਵਾਲਾ
kahunga,ਕਹੁੰਗਾ
balurghat,ਬਾਲੁਰਘਾਟ
likujarz,ਲਿਕੁਜਰਜ਼
sambhodhit,ਸੰਭੋਧਿਤ
surfboard,ਸਰਫਬੋਰਡ
kolosov,ਕੋਲੋਸੋਵ
hudback,ਹਡਬੈਕ
vadhaigi,ਵਧਾਇਗੀ
candolim,ਕੰਡੋਲਿਮ
dakambar,ਦਕੰਬਰ
fence,ਫੈਂਸ
corbe,ਕੋਰਬੇ
tempson,ਟੈਂਪਸਨ
swasthak,ਸਵਸਥਕ
dholi,ਧੋਲੀ
banvasi,ਬਨਵਾਸੀ
francise,ਫ੍ਰਾਂਸਾਈਜ਼
snatching,ਸਨੇਚਿੰਗ
devatio,ਦੇਵਤਿਓ
gratia,ਗਰਾਂਟ
rules,ਰੂਲ
patchage,ਪੈਚੇਜ
meritorious,ਮੈਰੀਟੋਰੀਅਸ
tarutte,ਤਰੁੱਟੇ
tiangong,ਤਿਆਂਗੋਂਗ
harchranjit,ਹਰਚਰਨਜੀਤ
nandek,ਨਾਂਦੇਕ
sangrahini,ਸੰਗ੍ਰਹਿਣੀ
jasdeep,ਜਸਦੀਪ
jadveer,ਜਦਵੀਰ
gulla,ਗਲੀਲ
florespar,ਫਲੋਰਸਪਾਰ
vililigo,ਵਿਲੀਲਿਗੋ
timak,ਟਿਮਕ
fiooch,ਫਿਊਚ
venkataramanan,ਵੈਂਕਟਰਮਣਨ
mountran,ਮਾਉਂਟਰਾਂ
bulaiga,ਬੁਲਾਇਗਾ
godhuli,ਗੋਧੂਲੀ
andujar,ਐਂਡੁਜਰ
rubte,ਰੁਬਤੇ
liject,ਲਿਜੈਕਟ
dipole,ਡਾਇਪੋਲ
santgiri,ਸੰਤਗਿਰੀ
mmch,ਐੱਮਐੱਮਸੀਐੱਚ
khopri,ਖੋਪੜੀ
rembrandt,ਰੈਮਬ੍ਰਾਂਡਟ
meade,ਮੇਡੇ
nesrosis,ਨੈਸਰੋਸਿਸ
dhundiyal,ਢੁੰਡਿਆਲ
harjatinder,ਹਰਜਤਿੰਦਰ
machana,ਮਚਾਨਾ
buskwaits,ਬੁਸਕਵੇਟਸ
sujhanvan,ਸੁਝਾਂਵਾਂ
shaski,ਸ਼ਾਸਕੀ
paramacium,ਪੈਰਾਮਾਸ਼ੀਅਮ
rajandeep,ਰਾਜਨਦੀਪ
mukadmiaan,ਮੁਕਦਮਿਆਂ
tissic,ਟਿਸਿਕ
bharatdidujisabh,ਭਾਰਤਦੀਦੂਜੀਸਭ
sprulina,ਸਪਰੂਲੀਨਾ
architectity,ਆਰਕੀਟੈਕਟਿਟੀ
gahli,ਗਾਹਲੀ
rahmati,ਰਹਿਮਤੀ
kanth,ਕੰਥ
katoria,ਕਟੋਰੀਆ
bisodi,ਬਿਸੋਦੀ
jhakhmari,ਝੱਖਮਾਰੀ
sehbab,ਸਹਿਬਾਬ
mlaika,ਮਲਾਇਕਾ
motiasia,ਮੋਤੀਆਸੀਆ
audicer,ਆਡੀਸਰ
bahiaan,ਬਹੀਆਂ
addangi,ਅੱਡਾਂਗੀ
charahauna,ਚੜ੍ਹਾਉਣਾ
maitrei,ਮੈਤ੍ਰੇਈ
conticut,ਕੰਟੀਕਟ
girgaon,ਗਿਰਗਾਉਂ
davanal,ਦਾਵਾਨਲ
aurtpan,ਔਰਤਪਨ
anthemusa,ਐਂਥਮੂਸਾ
creators,ਕਰਿਏਟਰਸ
udise,ਯੂਡੀਆਈਐੱਸਈ
shreyasi,ਸ਼੍ਰੇਯਾਸੀ
chonavi,ਚੋਨਾਵੀ
kuripar,ਕੁਰੀਪਰ
livanshi,ਲਿਵਾਂਸ਼ੀ
bechega,ਬੇਚੇਗਾ
siddhaven,ਸਿੱਧਵੇਂ
niyami,ਨਿਯਾਮੀ
vipibititi,ਵਿਪੀਬੀਟੀਟੀ
montessori,ਮੌਂਟਸੋਰੀ
jagjivanram,ਜਗਜੀਵਨਰਾਮ
nabhian,ਨਾਭੀਆਂ
nihala,ਨਿਹਾਲਾ
rabrorian,ਰਾਬਰੋਰੀਆਂ
poshik,ਪੋਸ਼ਿਕ
dattat,ਦੱਤਾਤ
lipizener,ਲਿਪੀਜ਼ੇਨਰ
intner,ਇੰਟਨਰ
niyaktiaan,ਨਿਯਕਤੀਆਂ
hoody,ਹੂਡੀ
abdulagarh,ਅਬਦੁਲਾਗੜ੍ਹ
diduji,ਦੀਦੂਜੀ
haibhgat,ਹੈਭਗਤ
dhabbiaan,ਧੱਬਿਆਂ
geraldo,ਗੈਰਾਲਡੋ
nahyan,ਨਾਹਯਨ
bibrant,ਬਾਈਬ੍ਰੇਂਟ
standel,ਸਟੈਂਡਲ
tarantaaran,ਤਰਨਤਾਰਨ
brands,ਬ੍ਰਾਂਡਜ਼
kinglek,ਕਿੰਗਲੇਕ
sansthanak,ਸੰਸਥਾਨਕ
kunetra,ਕੁਨੇਤਰਾ
poncho,ਪੋਂਚੋ
lecocytesis,ਲੇਕੋਸਾਈਟਸਿਸ
morkromint,ਮੋਰਕ੍ਰੋਮਿੰਟ
pardeson,ਪਰਦੇਸੋਂ
malwinder,ਮਲਵਿੰਦਰ
gstin,ਜੀਐੱਸਟੀਆਈਐੱਨ
nikojiaa,ਨਿਕੋਜਿਆ
tristan,ਤ੍ਰਿਸਤਾਨ
mukrega,ਮੁਕਰੇਗਾ
unlade,ਅਨਲੇਡ
benaiah,ਬਨਾਯਾਹ
siddhuwala,ਸਿੱਧੂਵਾਲਾ
itiaad,ਇਤਿਆਦ
stocher,ਸਟੋਚਰ
ipnema,ਇਪਨੇਮਾ
mapeo,ਮਾਪਿਓ
microdistic,ਮਾਈਕਰੋਡਿਸਟਿਕ
colonizer,ਕਲੋਨਾਈਜ਼ਰ
huffpost,ਹਫਪੋਸਟ
sansaranupreksha,ਸੰਸਾਰਾਨੁਪ੍ਰੇਕਸ਼ਾ
randeb,ਰਣਦੇਬ
kaimara,ਕੈਮਰਾ
flexo,ਫਲੇਕਸੋ
zarutatan,ਜ਼ਰੂਤਤਾਂ
desmaj,ਦੇਸਮਾਜ
ghaniwal,ਘਣੀਵਾਲ
virgavinder,ਵੀਰਗਵਿੰਦਰ
saubre,ਸੌਬਰੇ
vitnalon,ਵਿਤਨਾਲੋਂ
menorah,ਮੇਨੋਰਾਹ
dringing,ਡ੍ਰਿੰਗਿੰਗ
aavil,ਆਵਿਲ
hafdi,ਹਫਦੀ
sheggy,ਸ਼ੇਗੀ
scarthy,ਸਕਾਰਥੀ
tapentadol,ਟੇਪੈਂਟਾਡੋਲ
mujahadeen,ਮੁਜਾਹਾਦੀਨ
shekhri,ਸ਼ੇਖਰੀ
alishbah,ਅਲੀਸ਼ਬਾਹ
dhankar,ਧਨਕਾਰ
dhuppdar,ਧੁੱਪਦਾਰ
jacqueline,ਜੈਕੁਲਿਨ
vavrola,ਵਾਵਰੋਲਾ
dhondage,ਧੌਂਦਾਗੇ
lalhar,ਲਲਹਾਰ
rohila,ਰੋਹਿਲਾ
bellilin,ਬੇਲੀਲਿਨ
kcna,ਕੇਸੀਐਨਏ
silwala,ਸਿਲਵਾਲਾ
gheraun,ਘੇਰਾਉਣ
vidhivatt,ਵਿਧੀਵੱਤ
pratikriyakar,ਪ੍ਰਤੀਕ੍ਰਿਆਕਾਰ
mclachlin,ਮੈਕਲਾਚਲਿਨ
irick,ਏਰਿਕ
mohties,ਮੋਹਟੀਜ਼
welbird,ਵੈਲਬਰਡ
sculpman,ਸਕਲਪਮੈਨ
sonalpreet,ਸੋਨਲਪ੍ਰਰੀਤ
makowal,ਮਾਕੋਵਾਲ
sanvidhanak,ਸੰਵਿਧਾਨਕ
malostranska,ਮਾਲੋਸਟ੍ਰਾਂਸਕਾ
loverabore,ਲਵਰੇਬੋਰ
azeemushan,ਅਜ਼ੀਮੂਸ਼ਾਨ
duhrayegi,ਦੁਹਰਾਏਗੀ
berigade,ਬੇਰੀਗੇਡ
attachment,ਅਟੈਂਚਮੈਂਟ
mehmoodwala,ਮਹਿਮੂਦਵਾਲਾ
invase,ਇਨਵੇਸ
boobling,ਬੂਬਲਿੰਗ
dhampad,ਧਮਪਦ
shagaz,ਸ਼ਗਜ਼
taropida,ਤਾਰੋਪੀਡਾ
taknikprast,ਤਕਨੀਕਪ੍ਰਸਤ
librade,ਲਿਬਰੇਡ
adoor,ਅਦੂਰ
classment,ਕਲਾਸਮੈਂਟ
janepa,ਜਣੇਪਾ
janetpura,ਜਨੇਤਪੁਰਾ
ghaplekaran,ਘਪਲੇਕਾਰਾਂ
uljhoge,ਉਲਝੋਗੇ
mitoraj,ਮਿਤੋਰਾਜ
purachi,ਪੁਰਾਚੀ
davaiaan,ਦਵਾਈਆਂ
londa,ਲੋਂਦਾ
dhankhad,ਧਨਖੜ
jhalhi,ਝੱਲ੍ਹੀ
jaduchakar,ਜਾਦੂਚੱਕਰ
chachaiaan,ਚਚਾਈਆਂ
mulain,ਮੁਲੈਨ
tipitapa,ਟੀਪੀਟਾਪਾ
mirini,ਮਿਰੀਨੀ
khavni,ਖਵਨੀ
lauhka,ਲੌਹਕਾ
yoorak,ਯੂਰਕ
rassol,ਰਸੂਲ
acbatics,ਐਕਬੈਟਿਕਸ
zoga,ਜ਼ੋਗਾ
subkits,ਸਬਕਿਟਸ
treated,ਟ੍ਰੀਟਿਡ
befzool,ਬੇਫ਼ਜ਼ੂਲ
pegasus,ਪੇਗਾਸਸ
nikulesku,ਨਿਕੂਲੇਸਕੂ
gujarish,ਗੁਜਾਰਿਸ਼
traum,ਟਰੌਮ
sanukhi,ਸਨੁੱਖੀ
venki,ਵੇਂਕੀ
asikhiak,ਅਸਿੱਖਿਅਕ
rubiaan,ਰੁਬੀਆਂ
soulters,ਸੋਲਟਰਜ਼
employbility,ਇੰਪਲਾਈਬਿਲਟੀ
marylebone,ਮੈਰੀਲਬੋਨ
bromady,ਬ੍ਰੋਮਾਡੀ
ansuia,ਅਨਸੂਈਆ
taanon,ਤਾਨੋਂ
sadhanwal,ਸਾਧਾਂਵਾਲ
eurashia,ਯੂਰੇਸ਼ੀਆ
simanz,ਸਿਮੰਜ਼
micknade,ਮਿਕਨੇਡ
prapanjan,ਪ੍ਰਾਪੰਜਨ
dastaveziz,ਦਸਤਾਵੇਜ਼ੀਜ਼
mcphail,ਮੈਕਫੈੱਲ
carilina,ਕੈਰੀਲੀਨਾ
