kuberastatra,कुबेरस्तत्र
kantalakanta,कान्तालकान्ता
mamarchayate,मामर्चयते
teerthasthalaay,तीर्थस्थलाय
jalapaanaavasare,जलपानावसरे
gilchristasy,गिल्क्रिस्टस्य
urukrupo,उरुकृपो
sarvaanatyevam,सर्वानत्येवं
tatratyaamshcha,तत्रत्यांश्च
irshyuhu,इर्ष्युः
udranka,उद्रङ्क
charmaanta,चर्मान्त
bhaasaparavartitvam,भासपरवर्तित्वं
nrupakaaryam,नृपकार्यं
praharshayamh,प्रहर्षयम्ः
dandyamaane,दण्ड्यमाने
manmathayaatraam,मन्मथयात्राम्
tvaamasaadhveemajaanan,त्वामसाध्वीमजानन्
dwaarakaadaasaputren,द्वारकादासपुत्रेण
vidhivatsiddhim,विधिवत्सिद्धिं
shumshumaar,शुंशुमार
chaarthakrucchreshu,चार्थकृच्छ्रेषु
bhoomipaalo,भूमिपालो
falamatyantam,फलमत्यन्तं
tatkaalaprasidhdau,तत्कालप्रसिध्दौ
sattvagunam,सत्त्वगुणं
dharmaartharakshinah,धर्मार्थरक्षिणः
vishayabhootasya,विषयभूतस्य
putraishanaa,पुत्रैषणा
drashtumicchantee,द्रष्टुमिच्छन्ती
ikaatra,इकात्र
viharanavihange,विहरणविहङ्गे
matulaputra,मातुलपुत्र
harayita,हारयिता
tatsambandhe,तत्सम्बन्धे
satpuranaya,सत्पुराणाय
manushva,मनुष्व
mrutyushabdavaachyam,मृत्युशब्दवाच्यम्
keshinisoodanah,केशिनिसूदनः
yadupatiratyalankrutaam,यदुपतिरत्यलङ्कृतां
saadhoonem,साधूनें
nishithininathakalankita,निशीथिनीनाथकलङ्किता
shreesooktasy,श्रीसूक्तस्य
trilakshaa,त्रिलक्षा
duhitrupitaa,दुहितृपिता
vankharabhandiratha,वङ्खरभण्डीरथ
mayaparaya,मायापराय
athoparishtaad,अथोपरिष्टाद्
tamastaaryate,तमस्तार्यते
naasikayopalakshiteti,नासिकयोपलक्षितेति
suravrundasukhapradaayai,सुरवृन्दसुखप्रदायै
aasantashaktisamyutaay,आसन्तशक्तिसंयुताय
samaashwaasaay,समाश्वासाय
pashyedityaadi,पश्येदित्यादि
bhakshyastvayaa,भक्ष्यस्त्वया
punaraatmasamsthaah,पुनरात्मसंस्थाः
dvyaachiteti,द्व्याचितेति
charmachakshushpathaat,चर्मचक्षुष्पथात्
tadeershyaatah,तदीर्ष्यातः
jatotyugrah,जटोत्युग्रः
kamagunengitam,कामगुणेङ्गितं
krutvopasanhriyate,कृत्वोपसंह्रियते
yathaarchih,यथार्चिः
shreepaarshvanaath,श्रीपार्श्वनाथ
syadagamyagamane,स्यादगम्यागमने
prasakshine,प्रसक्षिणे
tathaatikaayah,तथातिकायः
yadyatsukrutam,यद्यत्सुकृतं
mahaakucchra,महाकुच्छ्र
paadapaarshnau,पादपार्ष्णौ
dasyuganaastathaa,दस्युगणास्तथा
swaapena,स्वापेन
hiranyadantah,हिरण्यदन्तः
maatarmalinatah,मातर्मलिनतः
jvalatpaavakasankaasham,ज्वलत्पावकसङ्काशं
leelaasamanwitaih,लीलासमन्वितैः
tamanucchishtasampadaa,तमनुच्छिष्टसंपदा
pannagadhipashekhara,पन्नगाधिपशेखरा
bhavativishaya,भवतिविषय
lobhaabhilaasharoshaah,लोभाभिलाषरोषाः
chauchanha,चौचन्ह
sooryafanichakra,सूर्यफणिचक्र
navache,नवचे
kaarakanisspruhaa,कारकनिस्स्पृहा
prajnaashaalina,प्रज्ञाशालिन
bhumigarma,भूमिगर्मा
pratishedhoarthakah,प्रतिषेधोऽर्थकः
ujjayineechakravartinah,उज्जयिनीचक्रवर्तिनः
jeevanatari,जीवनतरि
kuvalayadalashyaamalam,कुवलयदलश्यामलं
evemam,एवेमं
naamaacheni,नामाचेनि
tenaajasaadishu,तेनाजसादिषु
yodhinaam,योधिनां
vaakpatiraaja,वाक्पतिराज
sankarasamsrushtibhyaam,सङ्करसंसृष्टिभ्यां
trayovimshe,त्रयोविंशे
vamsheeninaadaakuraah,वंशीनिनादाकुराः
mallavaadin,मल्लवादिन्
bhopalamandalasya,भोपालमण्डलस्य
needhehi,नीधेहि
damshitam,दंशितं
aaraayile,आरायिले
vaidikakarmanaam,वैदिककर्मणां
krushigorakshavaanijyam,कृषिगोरक्षवाणिज्यं
aashritomke,आश्रितोंके
sanghatanaavaichitryam,सङ्घटनावैचित्र्यं
vihaarin,विहारिन्
rbhaavena,र्भावेन
divyaviraatsvaroopam,दिव्यविराट्स्वरूपम्
hetubhirlakshayaam,हेतुभिर्लक्षयां
paadaanuchintanaparah,पादानुचिन्तनपरः
bhaktadukhakshayakaro,भक्तदुःखक्षयकरो
bimbapratibimba,बिम्बप्रतिबिम्ब
sarvasandnyaavivarjitaa,सर्वसंज्ञाविवर्जिता
vaishnavaanaam,वैष्णवानाम्
vinaayagar,विनायगर्
avagamanena,अवगमनेन
gaangeyamukuraprabhaayai,गाङ्गेयमुकुरप्रभायै
vipaakaattoorv,विपाकात्तूर्व
pratyaggatau,प्रत्यग्गतौ
aatmaivaanandasandoh,आत्मैवानन्दसन्दोह
nootanaasah,नूतनासः
rudromke,रुद्रोंके
sthitikaalastvadnyaat,स्थितिकालस्त्वज्ञात
prachanen,प्रचनेन
durantamohamanjareem,दुरन्तमोहमञ्जरीम्
yaudheyaastu,यौधेयास्तु
pashyaamyamitatejasam,पश्याम्यमिततेजसम्
yatpratyayo,यत्प्रत्ययो
gamath,गमथ
vibhaavaadayo,विभावादयो
maadhvamataarchakaih,माध्वमतार्चकैः
jalpanamapi,जल्पनमपि
vaktrem,वक्त्रें
pradaanenaatmanonagha,प्रदानेनात्मनोऽनघ
vikshepashaktih,विक्षेपशक्तिः
tatkushalam,तत्कुशलम्
harishchakrabhrutswayam,हरिश्चक्रभृत्स्वयम्
conifer,कोनिफर्
prucchaavaha,पृच्छावः
padmamitaa,पद्ममिता
kurupaandavasainyaanaam,कुरुपाण्डवसैन्यानां
tapojnaataa,तपोज्ञाता
mahendravaanee,महेन्द्रवाणी
evamaktvaa,एवमक्त्वा
satyaprayuktaprayogah,सत्यप्रयुक्तप्रयोगः
chhatrapal,छत्रपाल
deyadravyeshu,देयद्रव्येषु
susamaa,सुसमा
naveenadevataayaah,नवीनदेवतायाः
nanvaabantasya,नन्वाबन्तस्य
tilakapundramavadhootasya,तिलकपुण्ड्रमवधूतस्य
lingonushasana,लिङ्गोनुशासन
daamareetantrapoorakah,डामरीतन्त्रपूरकः
nishumbhaghnaay,निशुम्भघ्नाय
susammataa,सुसंमता
traigartakaa,त्रैगर्तका
leelaavidhayashcha,लीलाविधयश्च
japaakaarah,जपाकारः
manavastatsutaashcha,मनवस्तत्सुताश्च
haavereevishaye,हावेरीविषये
garbhapaatinyaah,गर्भपातिन्याः
vahantyamee,वहन्त्यमी
panditamandal,पण्डितमण्डल
parabrahmanee,परब्रह्मणी
lohitaambarasamveetam,लोहिताम्बरसंवीतं
naativyaaptih,नातिव्याप्तिः
upaayapoorvam,उपायपूर्वं
paramamukhaay,परममुखाय
ekadashaksharani,एकादशाक्षराणि
samudreem,समुद्रीं
aalinganavishaye,आलिङ्गनविषये
nasamsthaanagatah,नसंस्थानगतः
tavaantikamaagatamalimenam,तवान्तिकमागतमलिमेनं
sadaaspadaa,सदास्पदा
naadagangaapravaahaay,नादगङ्गाप्रवाहाय
paritushtaatmabhistaat,परितुष्टात्मभिस्तात
samudwrut,समुद्वृत्
shivalingamaaliling,शिवलिङ्गमालिलिङ्ग
kamalaakaraaniv,कमलाकरानिव
koormapu,कूर्मपु
banjaraa,बञ्जरा
gatipradaa,गतिप्रदा
udaaragarbhaay,उदारगर्भाय
etenaaham,एतेनाहं
vaanare,वानरे
prayashchaturdha,प्रायश्चतुर्धा
nirbhinna,निर्भिन्न
sarvasyaadhipatihi,सर्वस्याधिपतिः
chaatidesham,चातिदेशं
pratijanamyaham,प्रतिजानाम्यहं
sadbhirevamvidhaa,सद्भिरेवंविधा
tatoa,ततोऽ
mahaayadnyasvaroopini,महायज्ञस्वरूपिणी
archayashcharanti,अर्चयश्चरन्ति
visheshanaachch,विशेषणाच्च
anvitaayaah,अन्वितायाः
adharodbhotabandhookaam,अधरोद्भूतबन्धूकां
adhyetukaamah,अध्येतुकामः
chedanyathaa,चेदन्यथा
kvinpratyasye,क्विन्प्रत्यस्ये
raamanishto,रामनिष्ठो
bruvaanasyaasya,ब्रुवाणस्यास्य
priyadarsha,प्रियदर्श
anrunataa,अनृणता
dadyaatstotramimam,दद्यात्स्तोत्रमिमं
anyohi,अन्योहि
jyotim,ज्योतिम्
sarvaviditamasti,सर्वविदितमस्ति
ramatirtham,रामतीर्थं
janmabhumirasmakam,जन्मभूमिरस्माकं
margavalokini,मार्गावलोकिनी
vaagvruddham,वाग्वृद्धं
prabuddhamiti,प्रबुद्धमिति
manojavegavegaa,मनोजवेगवेगा
avidnyataa,अविज्ञता
pruthupankasankate,पृथुपङ्कसङ्कटे
taaraapati,तारापति
shtasvakashta,ष्टस्वकष्ट
mandalena,मण्डलेन
sarvaraajarogaan,सर्वराजरोगान्
shreyapradam,श्रेयप्रदं
tamavochatkil,तमवोचत्किल
avasthettham,अवस्थेत्थं
gargaadyantargataah,गर्गाद्यन्तर्गताः
poornanaabhaye,पूर्णनाभये
bhaveyurgaandharvaa,भवेयुर्गान्धर्वा
bhaavayavya,भावयव्य
divyatva,दिव्यत्व
vraajik,व्राजिक
sarvekshakau,सर्वेक्षकौ
vidyaadhraanaam,विद्याध्राणां
krodhaadibhyoapi,क्रोधादिभ्योऽपि
pruthakpadatvaroopam,पृथक्पदत्वरूपं
mayavivekataha,मायाविवेकतः
gatavighno,गतविघ्नो
suvidnyaana,सुविज्ञान
gopalatapinyupanishat,गोपालतापिन्युपनिषत्
shirassaalakakuntalam,शिरस्सालककुन्तलम्
kaamasanjeevanamahaushadhih,कामसञ्जीवनमहौषधिः
cchaaditah,च्छादितः
panchangapada,पञ्चाङ्गपद
shaantanavaadih,शान्तनवादिह
sambhasheta,सम्भाषेत
keralashraya,केरलाश्रया
garbhakaalasamaye,गर्भकालसमये
mukhabhasashraya,मुखाभासाश्रया
kumbho,कुम्भो
bhavaaranyadavaanalaaya,भवारण्यदवानलाय
durgaaranya,दुर्गारण्य
pranavaroopineem,प्रणवरूपिणीं
satyasadbhavet,सत्यसद्भवेत्
nishaadaraajasy,निषादराजस्य
drudhasvarena,दृढस्वरेण
yatantaam,यतन्ताम्
garaji,गरजि
mitadhvajaat,मितध्वजात्
vishnusharmanoktam,विष्णुशर्मणोक्तं
bhramaapaharanam,भ्रमापहरणम्
shadankasya,षडङ्कस्य
gaayatreematparaatmakah,गायत्रीमत्परात्मकः
samupaashritaan,समुपाश्रितान्
bhrooyugmam,भ्रूयुग्मं
kashaayajalaih,कषायजलैः
dwaadashyaah,द्वादश्याः
atyantajanapriyaa,अत्यन्तजनप्रिया
aplutaat,अप्लुतात्
sidherityewochyet,सिधेरित्येवोच्येत
paapavinaashakaarin,पापविनाशकारिन्
pronmoolit,प्रोन्मूलित
prapreetah,प्रप्रीतः
anishtaprahartre,अनिष्टप्रहर्त्रे
ashtayatayah,अष्टयतयः
shrutipramanyat,श्रुतिप्रामाण्यात्
madanasamaroopo,मदनसमरूपो
parimaanaay,परिमाणाय
venoonchhatam,वेणूञ्छतं
punarabhipatitam,पुनरभिपतितं
patetsaadhakashreshto,पठेत्साधकश्रेष्ठो
jalasthedhomukhe,जलस्थेऽधोमुखे
yaanairyaanti,यानैर्यान्ति
krushnajape,कृष्णजपे
anusooyaayaah,अनुसूयायाः
parebhyovagamayitum,परेभ्योऽवगमयितुं
bhutanandakari,भूतानन्दकरी
atistrini,अतिस्त्रिणि
ashokakumarasya,अशोककुमारस्य
atharvaangirasam,अथर्वाङ्गिरसं
neshtaarah,नेष्टारः
chaitaamstu,चैतांस्तु
pravaktruni,प्रवक्तॄनि
sukhaaharanayoho,सुखाहरणयोः
parabeejaanyavaapsuh,परबीजान्यवाप्सुः
kaaryabhotaa,कार्यभूता
shabdairna,शब्दैर्न
parimalavadaasvaadaya,परिमलवदास्वादय
samuditamanasaam,समुदितमनसां
sahasotpatya,सहसोत्पत्य
pradipairavabhasita,प्रदीपैरवभासिता
kaamakrodhaabhyaamiti,कामक्रोधाभ्यामिति
samnivartayitum,संनिवर्तयितुं
nirmalakashavatsada,निर्मलाकाशवत्सदा
zihadi,जिहादी
sudivaaviti,सुदिवाविति
shreeashvaghosha,श्रीअश्वघोष
stasmaadbhaktim,स्तस्माद्भक्तिं
mrugaganaansinhah,मृगगणान्सिंहः
hradayyaa,ह्रदय्या
maunihrutpadmamandire,मौनिहृत्पद्ममन्दिरे
samanyatulana,सामान्यतुलना
chitreekarane,चित्रीकरणे
kanishtaanaam,कनिष्ठानां
duramapanadvara,दूरमापनद्वारा
sarvaastravinayopetam,सर्वास्त्रविनयोपेतं
guroreshaa,गुरोरेषा
siddhaagandharvaah,सिद्धागन्धर्वाः
alishchaapadharo,अलिश्चापधरो
eeshvaraputrashcha,ईश्वरपुत्रश्च
sattvasanghaatabuddhi,सत्त्वसङ्घातबुद्धि
avadaatam,अवदातं
atitrupti,अतितृप्ति
punarapyoochaturubhau,पुनरप्यूचतुरुभौ
kalpanupada,कल्पानुपद
sandhyaam,सन्ध्याम्
mauryaraajena,मौर्यराजेन
shvaasapooranam,श्वासपूरणं
pratipaadakaih,प्रतिपादकैः
hingulaadharavaasinee,हिङ्गुलाधरवासिनी
vidooshayantee,विदूषयन्ती
nichrucchandase,निचृच्छन्दसे
danarthi,दानार्थी
babuvreehau,बबुव्रीहौ
sarvavid,सर्वविद्
vaanmanoteetavigrahaay,वाङ्मनोतीतविग्रहाय
mahapurushasamhitayai,महापुरुषसंहितायै
bhayaadyadudadhim,भयाद्यदुदधिं
maamsabhakshaka,मांसभक्षक
saadhuvruttasamanvitaaha,साधुवृत्तसमन्विताः
vahannidraamudraam,वहन्निद्रामुद्रां
vaktrapadmam,वक्त्रपद्मं
chitanjalihi,चिताञ्जलिः
premalatikaam,प्रेमलतिकाम्
dhanajyeshtaahsmrutaa,धनज्येष्ठाःस्मृता
krushnachandrah,कृष्णचन्द्रः
bhaarataprajaasamoohen,भारतप्रजासमूहेन
apakraamatah,अपक्रामतः
oormirvaraatakah,ऊर्मिर्वराटकः
dharmamih,धर्ममिह
sarwanaamasthaanamityat,सर्वनामस्थानमित्यत
muktaaneevaankuraani,मुक्तानीवाङ्कुराणि
jajau,जजौ
jitvaryai,जित्वर्यै
kaashmeerakaraveerabhrute,काश्मीरकरवीरभृते
somaraajin,सोमराजिन्
yugashcha,युगश्च
anemi,अनेमि
buzaaya,बुझाय
raakshasenaapi,राक्षसेनापि
samharasyakhilametaditi,संहरस्यखिलमेतदिति
siddhyatat,सिद्ध्यतात्
vikaloastayaatah,विकलोऽस्तयातः
nirdistaa,निर्दिस्ता
grahapanchake,ग्रहपञ्चके
janyarthasya,जन्यर्थस्य
tadanuroopavichitrabhogah,तदनुरूपविचित्रभोगः
ucchashikshaayaa,उच्चशिक्षाया
chicchakti,चिच्छक्ति
avanipradhaano,अवनिप्रधानो
vadnam,वद्नं
tathaivodgaarashodhanah,तथैवोद्गारशोधनः
gehodavasitam,गेहोदवसितं
daytashcha,दय्तश्च
nrupakisor,नृपकिसोर
tulasikaamodamadhvaasavena,तुलसिकामोदमध्वासवेन
lakshmeerupaiti,लक्ष्मीरुपैति
kriyaavachanam,क्रियावचनं
devataamoortayah,देवतामूर्तयः
anantakoti,अनन्तकोटि
nishtopasargapoorvam,निष्ठोपसर्गपूर्वम्
taraswinaa,तरस्विना
kewalamalankaaraanaamew,केवलमलङ्काराणामेव
agnijwala,अग्निज्वाला
pachatyanuraagavahnau,पचत्यनुरागवह्नौ
kaavyashaastranaamnaiv,काव्यशास्त्रनाम्नैव
tsayedamityartheayam,त्सयेदमित्यर्थेऽयं
sapitaro,सपितरो
jaghnoo,जघ्नू
pretaraajavasham,प्रेतराजवशं
dhanahaarin,धनहारिन्
raajyeabhishekshyati,राज्येऽभिषेक्ष्यति
swanje,स्वञ्जे
jitashchaarulochane,जितश्चारुलोचने
tvabhi,त्वभि
krutaarthoasi,कृतार्थोऽसि
maanasobhoot,मानसोऽभूत्
prabhavitum,प्रभवितुम्
punarlakshmeenutim,पुनर्लक्ष्मीनुतिं
aagarbhasambhavam,आगर्भसम्भवं
tashkaravidyaa,तश्करविद्या
sdaashivaha,स्दाशिवः
phalantyrutushu,फलन्त्यृतुषु
modati,मोदति
panchendriyaanaam,पञ्चेन्द्रियाणाम्
abhyaasayogem,अभ्यासयोगें
varnaamdanudaattaadi,वर्णांदनुदात्तादि
vedebhyoakhilam,वेदेभ्योऽखिलं
punyapaapasameeritam,पुण्यपापसमीरितम्
chumbanavalitaadhare,चुम्बनवलिताधरे
muramathanasyeva,मुरमथनस्येव
kushagrabuddhimati,कुशाग्रबुद्धिमती
saarvadhaatukatvaaditi,सार्वधातुकत्वादिति
etaadrushim,एतादृशिं
samoolamunmoolayitum,समूलमुन्मूलयितुं
aatmacchandateertha,आत्मच्छन्दतीर्थ
shriruchiraashtakam,श्रीरुचिराष्टकम्
aasaptama,आसप्तम
aupasargikah,औपसर्गिकः
dwireetreen,द्विरीत्रीण
paashukaadiprayog,पाशुकादिप्रयोग
mudraavidhaanajnaa,मुद्राविधानज्ञा
prayalasheelanamo,प्रयलशीलनमो
pushtaarthasweekaarah,पुष्टार्थस्वीकारः
kaaryakarebhyah,कार्यकरेभ्यः
bharatoagastyah,भरतोऽगस्त्यः
varnaavarnitarupaay,वर्णावर्णितरुपाय
sarpamool,सर्पमूल
shabdastomamahaanidhih,शब्दस्तोममहानिधिः
sarvaayudhodyatakaraa,सर्वायुधोद्यतकरा
sooryasameepagamanen,सूर्यसमीपगमनेन
chandrabhaanuyute,चन्द्रभानुयुते
navayauvananartakasya,नवयौवननर्तकस्य
uparyuparibuddheenaam,उपर्युपरिबुद्धीनां
suvarnakapilaa,सुवर्णकपिला
hastivaanaraah,हस्तिवानराः
tadbudhyaa,तद्बुध्या
asthirasauhrudah,अस्थिरसौहृदः
sattwashuddhyaadayah,सत्त्वशुद्ध्यादयः
devayajyaashabda,देवयज्याशब्द
sajai,सजै
kukkutastree,कुक्कुटस्त्री
pushpamevaarpayettatah,पुष्पमेवार्पयेत्ततः
sairandhram,सैरन्ध्रं
maurkhyaachhokena,मौर्ख्याच्छोकेन
bhasmachandanasamyuktaayai,भस्मचन्दनसंयुक्तायै
sarvabhutashaya,सर्वभूतशया
hamsaprayuktena,हंसप्रयुक्तेन
omityakhyam,ओमित्याख्यां
vaidikakarmaanushthaane,वैदिककर्मानुष्ठाने
rohashamrma,रोहशम्र्म
shoodraprakhyaah,शूद्रप्रख्याः
bhavarditan,भवार्दितान्
tanmadhyatah,तन्मध्यतः
janapagruhyataamupaveetakam,जनपगृह्यतामुपवीतकम्
tadrangamandale,तद्रङ्गमण्डले
kantamasya,कण्ठमस्य
aabhyaamahnaadesho,आभ्यामह्नादेशो
chakrastha,चक्रस्थ
draunirvaikartanah,द्रौणिर्वैकर्तनः
harikeshaayanamah,हरिकेशायनमः
nijagunanvita,निजगुणान्विता
matupsiddhah,मतुप्सिद्धः
saadhuvrutta,साधुवृत्त
priyaamanunayan,प्रियामनुनयन्
shuddheradhikam,शुद्धेरधिकं
lokastathaapyakaaryam,लोकस्तथाप्यकार्यं
kalayitumashaktah,कलयितुमशक्तः
biruze,बिरुझे
saptamaatrunishewitah,सप्तमातृनिषेवितः
turyachaitanyaay,तुर्यचैतन्याय
twaamawasyawah,त्वामवस्यवः
upadheeyate,उपधीयते
kantasamsthite,कण्ठसंस्थिते
ragaghanaya,रागघनाय
utpalamaalikaayai,उत्पलमालिकायै
viloptaaramadaayakam,विलोप्तारमदायकम्
shrenibhirjayati,श्रेणिभिर्जयति
anyonyaamshagayoh,अन्योन्यांशगयोः
guhaapadmaasanasthitah,गुहापद्मासनस्थितः
paarikheeyah,पारिखीयः
telugubhashaya,तेलुगुभाषया
aanglajanitena,आङ्ग्लजनितेन
shrutismrutirataayai,श्रुतिस्मृतिरतायै
trividhasattvayaa,त्रिविधसत्त्वया
tigmamoordhan,तिग्ममूर्धन्
vidvabhihi,विद्वभिः
vrutaasaha,वृतासः
tatraapradarshya,तत्राप्रदर्श्य
moolamaasaady,मूलमासाद्य
gramasyaikasya,ग्रामस्यैकस्य
tamupaamshumabudhyat,तमुपांशुमबुध्यत
khaatayet,खातयेत्
naashije,नाशिजे
saptasagarakarta,सप्तसागरकर्ता
ratnaprakaramadhye,रत्नप्रकारमध्ये
navaroopaayai,नवरूपायै
vishaamasthah,विषामस्थः
adheekshakah,अधीक्षकः
sameepataravarti,समीपतरवर्ति
jaatukarnaay,जातुकर्णाय
shaareerastvaasanaadyo,शारीरस्त्वासनाद्यो
virajoambarau,विरजोऽम्बरौ
dharmasamyuktaah,धर्मसंयुक्ताः
chatushpaadbhyo,चतुष्पाद्भ्यो
dadhaatyasau,दधात्यसौ
bahvaashcharyamidam,बह्वाश्चर्यमिदं
sharadabhrashubhradeham,शरदभ्रशुभ्रदेहं
gaushtee,गौष्ठी
devaajaram,देवाजरम्
dwipaaditi,द्विपादिति
bhaashyakaaramev,भाष्यकारमेव
virajeesyaat,विरजीस्यात्
panthiyah,पन्थियः
laghvaashin,लघ्वाशिन्
bhagavansarpaa,भगवन्सर्पा
purushaadwadhawikaareti,पुरुषाद्वधविकारेति
kathamekavachanam,कथमेकवचनम्
bahukoshayuktam,बहुकोशयुक्तं
medhajo,मेधजो
nrupateendra,नृपतीन्द्र
kartasthabhaavakaa,कर्तस्थभावका
avadheyaah,अवधेयाः
kartumevaatra,कर्तुमेवात्र
vaagvaidagdhyena,वाग्वैदग्ध्येन
gataayaam,गतायाम्
visfutita,विस्फुटित
divasaanyetaani,दिवसान्येतानि
samruddhanaranaagaashvam,समृद्धनरनागाश्वं
prabandhaanatikrasya,प्रबन्धानतिक्रस्य
prasidhdatayaa,प्रसिध्दतया
dharmaprachaarakeshu,धर्मप्रचारकेषु
tasyaant,तस्यान्त
chaitanmayaa,चैतन्मया
tenaivamukta,तेनैवमुक्त
hyagnidagdham,ह्यग्निदग्धं
rejustatra,रेजुस्तत्र
kadaachidadhomukhaih,कदाचिदधोमुखैः
bandhanavyasanaamayaah,बन्धनव्यसनामयाः
samasabhuyishta,समासभूयिष्ठ
bhavetkinchitkevalam,भवेत्किञ्चित्केवलं
paandyatah,पाण्ड्यतः
ekamevaadhishtaane,एकमेवाधिष्ठाने
aachaaravidhiyogashch,आचारविधियोगश्च
shuddhimakarand,शुद्धिमकरन्द
chandragutteedurgam,चन्द्रगुत्तीदुर्गं
sugreevenaabhipaalitau,सुग्रीवेणाभिपालितौ
syaadgaargi,स्याद्गार्गि
swapakshasthaan,स्वपक्षस्थान्
baahyachintaa,बाह्यचिन्ता
vanaari,वनारि
bhavedashvinee,भवेदश्विनी
sapareewaaro,सपरीवारो
kalikakhya,कालिकाख्या
sukhabodhan,सुखबोधन
chaurairhrutadhano,चौरैर्हृतधनो
yaantyaah,यान्त्याः
siddhaawityarthah,सिद्धावित्यर्थः
vyavadhaanamaashroyate,व्यवधानमाश्रोयते
tavatkama,तावत्कामा
bhashasamaveshasya,भाषासमावेशस्य
nistarali,निस्तरली
abhishenan,अभिषेणन
aaruh,आरुः
shyenaashvashyena,श्येनाश्वश्येन
govardhanaachaaryasya,गोवर्धनाचार्यस्य
kimasyaavratam,किमस्याव्रतं
aditirdeva,अदितिर्देव
shattrimshatam,षट्त्रिंशतं
vaanityahamapi,वानित्यहमपि
arthajnaanashoonyena,अर्थज्ञानशून्येन
hanniti,हन्निति
vishvaseehi,विश्वसीः
pravrutinivruttee,प्रवृतिनिवृत्ती
aakroshasam,आक्रोशसम्
yattadroopam,यत्तद्रूपं
harika,हरिका
architum,अर्चितुम्
jaraamaranavyaadhibhyo,जरामरणव्याधिभ्यो
kurupungavaihi,कुरुपुङ्गवैः
somayogin,सोमयोगिन्
yuddhavaachi,युद्धवाचि
ksheerataskaraay,क्षीरतस्कराय
gaureepatimambujaaksham,गौरीपतिमम्बुजाक्षम्
tvadadhar,त्वदधर
lilaasu,लिलासु
lokasamhaarakaarini,लोकसम्हारकारिणी
vidyaarthikaale,विद्यार्थिकाले
yamunopawaneashok,यमुनोपवनेऽशोक
sauvaryaha,सौवर्यः
dattaasti,दत्तास्ति
kshitibharturupaayanam,क्षितिभर्तुरुपायनं
devamabhyarchya,देवमभ्यर्च्य
karori,करोरी
sevaasevyaayai,सेवासेव्यायै
vinaarthini,विनार्थिनि
samupakalpya,समुपकल्प्य
jagadidantvatto,जगदिदन्त्वत्तो
ishudhirdwayoh,इषुधिर्द्वयोः
sangeetaagamavedinyai,सङ्गीतागमवेदिन्यै
etameke,एतमेके
attah,अत्तः
ashmanorantaragnim,अश्मनोरन्तरग्निं
bhauksharasthaayai,भौक्षरस्थायै
viramardalaka,विरमर्दलक
anyonyavilokane,अन्योन्यविलोकने
chaabhyanandanvrushabhaah,चाभ्यनन्दन्वृषभाः
raudaayai,रौदायै
maatruvadhoosametam,मातृवधूसमेतं
bushamahodayau,बुशमहोदयौ
naitatpradhaanatah,नैतत्प्रधानतः
aakaashagamanapriyaay,आकाशगमनप्रियाय
prastutanaatak,प्रस्तुतनाटक
niryaasayuktam,निर्यासयुक्तं
dehabhaava,देहभाव
sphuranasambhedah,स्फुरणसम्भेदः
narikelasamakara,नारिकेलसमाकारा
sandhyaadwayeapi,सन्ध्याद्वयेऽपि
paanigrahanasamskaarah,पाणिग्रहणसंस्कारः
pavanamaakrushya,पवनमाकृष्य
aavartamah,आवर्तमः
laabhinyai,लाभिन्यै
durgashcha,दुर्गश्च
svatoabhavat,स्वतोऽभवत्
khardooshanayorbhrutyaah,खर्दूषणयोर्भृत्याः
gopamaataa,गोपमाता
pushparata,पुष्परता
rmarthakamanam,र्मार्थकामानां
bhayaadyojanamatyagaat,भयाद्योजनमत्यगात्
taapamapaakaroti,तापमपाकरोति
tarhi,तर्हि
chitsvabhaava,चित्स्वभाव
prayacchaamastatah,प्रयच्छामस्ततः
pratyaadaya,प्रत्यादय
nishkasananantaram,निष्कासनानन्तरं
varangapatre,वरङ्गपत्रे
vaakkaamashakti,वाक्कामशक्ति
manvaadau,मन्वादौ
sukumaaryaam,सुकुमार्यां
brahmaandasundaree,ब्रह्माण्डसुन्दरी
piyalani,पियालानि
vinyastashuklaaguru,विन्यस्तशुक्लागुरु
prahrushtaih,प्रहृष्टैः
aabhyarchy,आभ्यर्च्य
aheenagostu,अहीनगोस्तु
aaseenashchachaar,आसीनश्चचार
kacchidadnyaanasammohah,कच्चिदज्ञानसंमोहः
abhootatadbhaavavishayebhyo,अभूततद्भावविषयेभ्यो
samruddhimeva,समृद्धिमेव
yaavadbaadhamiti,यावद्बाधमिति
teevrataa,तीव्रता
kolhyaalaa,कोल्ह्याला
kaarshnirbhawatyew,कार्ष्णिर्भवत्येव
nnajeshashch,न्नजेशश्च
vinte,विन्ते
nirhras,निर्ह्रस्
shivashankaraay,शिवशङ्कराय
adharmebhya,अधर्मेभ्य
yadvattathaivaayam,यद्वत्तथैवायं
renukaamidamabraveet,रेणुकामिदमब्रवीत्
kulakunde,कुलकुण्डे
krutalaasyasamarthakaayai,कृतलास्यसमर्थकायै
sasuraasuramaanavaah,ससुरासुरमानवाः
paalito,पालितो
hiranmayatvam,हिरण्मयत्वं
asminshate,अस्मिन्शते
bruhallakshahoma,बृहल्लक्षहोम
syaacchetyanvayaha,स्याच्चेत्यन्वयः
yashorashi,यशोराशि
palaashavrukshai,पलाशवृक्षै
roochiram,रूचिरम्
