aajolik,আজলিক
obinaxe,অবিনাশে
basei,বাছেই
jimtur,জিমটোৰ
swaminathon,স্বামীনাথন
porixewar,পৰিসেৱাৰ
xitantur,শিতানটোৰ
bedokholkarixokol,বেদখলকাৰীসকল
binasortte,বিনাচৰ্ত্তে
nodixomuhe,নদীসমূহে
eimsote,এইমছতে
opotrinor,অপতৃণৰ
proxisyor,প্রশিষ্যৰ
mirjaloi,মিৰ্জালৈ
vanilla,ভেনিলা
logne,লগ্নে
bhoirobnogor,ভৈৰৱনগৰ
ongkurjyoti,অংকুৰজ্যোতি
joloxinjon,জলসিঞ্জন
golile,গলিলে
kathmandurpora,কাঠমাণ্ডুৰপৰা
jogodombika,জগদম্বিকা
mojiyate,মজিয়াতে
khuliboloi,খুলিবলৈ
gulonchosmita,গুলঞ্চস্মিতা
dhristotak,ধৃষ্টতাক
protighonta,প্ৰতিঘণ্টা
borxotu,বর্ষটো
rudroxinghor,ৰুদ্ৰসিংহৰ
joloniskaxon,জলনিষ্কাশন
pisoli,পিছলি
nitaipukhurir,নিতাইপুখুৰীৰ
palokok,পালকক
xorgom,সৰগম
imargency,ইমাৰ্জেঞ্চি
dhoburi,ধবুৰী
bahonburor,বাহনবোৰৰ
pandeya,পাণ্ডেয়া
kahiliparaloi,কাহিলিপাৰালৈ
naguwabo,নাগুৱাব
xongxarkhonor,সংসাৰখনৰ
arize,এৰাইজ
murtiku,মূৰ্তিকো
gaikwade,গাইকৱাডে
xeibilakei,সেইবিলাকেই
begorpora,বেগৰপৰা
xunal,সোণাল
nakobhir,নাকভিৰ
sormoxar,চৰ্মসাৰ
proxongxau,প্ৰশংসাও
poromitai,পৰমিতাই
kormokhetrokhonot,কর্মক্ষেত্রখনত
hekadak,হেকাদাক
danobrupi,দানবৰূপী
aawen,আৱেন
adyosradhou,আদ্যশ্ৰাদ্ধও
kingbodontire,কিংবদন্তিৰে
jiwanbudhe,জীৱনবোধে
baghei,বাঘেই
holmarking,হলমাৰ্কিং
sepnat,চেপনাত
tairotu,তাইৰতো
borxikit,বৰ্ষিকীত
goyaraijor,গঞাৰাইজৰ
huseil,হুছেইল
mohadewon,মহাদেৱন
xubholgonot,শুভলগনত
tinialiloi,তিনিআলিলৈ
debenor,দেৱেনৰ
borxopurti,বর্ষপূর্তি
keibalokhyo,কেইবালক্ষ
dhoronei,ধৰণেই
nagrijuliloi,নাগ্রীজুলিলৈ
sonsolotar,চঞ্চলতাৰ
dusinta,দুচিন্তা
karjyokortai,কাৰ্য্যকৰ্তাই
xoronarthixokolor,শৰণাৰ্থীসকলৰ
profailor,প্ৰফাইলৰ
sangoloike,চাঙলৈকে
margheritatu,মাৰ্ঘেৰিটাটো
protirudhoke,প্রতিৰোধকে
gugli,গুগলী
sagolik,ছাগলীক
rupdakanto,ৰূপদাকান্ত
garixomuhok,গাড়ীসমূহক
islamot,ইছলামত
groundot,গ্রাউন্ডত
uttoronot,উত্তৰণত
saidot,চাইদত
xompadokjonor,সম্পাদকজনৰ
porjotontholiburoloi,পর্যটনথলীবোৰলৈ
kajire,কাজিৰে
pasdinor,পাঁচদিনৰ
ussakangkhyar,উচ্চাকাংক্ষাৰ
bedmintonpremi,বেডমিণ্টনপ্ৰেমী
xomostipuror,সমষ্টিপুৰৰ
gorakhohoniyat,গৰাখহনীয়াত
punohprotisthar,পুনঃপ্রতিষ্ঠাৰ
teut,তেওঁত
namturei,নামটোৰেই
podoprarthi,পদপ্রার্থী
tupulaloi,টোপোলালৈ
sroddhai,শ্রদ্ধাই
puruxjonei,পুৰুষজনেই
leila,লেইলা
lokhyohinotar,লক্ষ্যহীনতাৰ
mrityutkoi,মৃত্যুতকৈ
kostokhon,কষ্টখন
herou,হেৰৌ
swahbaz,শ্বাহবাজ
rugeet,ৰোগীত
saintmeries,ছেইণ্টমেৰিজ
tonin,টনিন
moped,মপেদ
fruitor,ফ্ৰুইটৰ
xotwak,সত্বাক
bhoktoram,ভক্তৰাম
bhargowi,ভাৰ্গৱী
sthanere,স্থানেৰে
trenkulaijarot,ট্ৰেংকুলাইজাৰত
xontulonot,সন্তুলনত
xahanasthito,সাহানাস্থিত
mokhmoli,মখমলী
kathfular,কাঠফুলাৰ
exoptahotei,এসপ্তাহতেই
votekendrotei,ভোটকেন্দ্ৰতেই
aahisehe,আহিছেহে
fuloi,ফুলৈ
dikhouwedi,দিখৌৱেদি
pohuk,পহুক
complexote,কমপ্লেক্সতে
moronantik,মৰণান্তিক
baxobhowontuk,বাসভৱনটোক
koithalokuchi,কৈঠালকুচি
lesixokole,লেচীসকলে
moharastroh,মহাৰাষ্ট্ৰঃ
ojudhyat,অযোধ্যাত
dehatuke,দেহাটোকে
utxowu,উৎসৱো
pranjitor,প্রাণজিতৰ
sthanantoritokoron,স্থানান্তৰিতকৰণ
koustobhojyoti,কৌস্তভজ্যোতি
montutu,মনটোতো
batorikakotor,বাতৰিকাকতৰ
pelaboi,পেলাবই
khilojir,খিলজিৰ
xunondor,সুনন্দৰ
bataboronor,বাতাবৰণৰ
sakpuwe,চাকপুৱে
aarikuchi,আৰিকুছি
soboka,চবকা
myadh,ম্যাধ
keibalokhyadhik,কেইবালক্ষাধিক
monipurei,মণিপুৰেই
protibedonu,প্রতিবেদনো
labhhe,লাভহে
rotiboloi,ৰটিবলৈ
gusthirdwara,গোষ্ঠীৰদ্বাৰা
nobojaba,নবজাবা
xantonuwe,শান্তনুৱে
olikhito,অলিখিত
trainkhon,ট্ৰেনখন
kormoxongskriti,কর্মসংস্কৃতি
aadorxobadi,আদর্শবাদী
boktobyote,বক্তব্যতে
borkiri,বৰকিৰি
soribar,চৰিবাৰ
ugroponthitu,উগ্রপন্থীটো
gyanrupi,জ্ঞানৰূপী
prosarpotro,প্রচাৰপত্র
choitan,চৈতান
hanappa,হানাপ্পা
xouhardyopurno,সৌহাৰ্দ্যপূৰ্ণ
mohakabyik,মহাকাব্যিক
bilaxitare,বিলাসীতাৰে
aasbabo,আঁচবাব
ponchomukhi,পঞ্চমুখী
bonanikoron,বনানীকৰণ
poristhititut,পৰিস্থিতিটোত
prodorxoni,প্রদর্শনী
aasthanot,আস্থানত
jamtolat,জামতলাত
bhaloloi,ভাললৈ
toramai,তৰামাই
khitkhitai,খিটখিটাই
prothomborxor,প্ৰথমবৰ্ষৰ
soidur,চইদুৰ
xomporkohe,সম্পর্কহে
protibiplowi,প্রতিবিপ্লৱী
utxahoke,উৎসাহকে
kokaideuhot,ককাইদেউহঁত
heppiness,হেপ্পিনেছ
morhum,মৰহুম
mudar,মুদাৰ
khaisilu,খাইছিলোঁ
rosok,ৰচক
kuxumor,কুসুমৰ
patrotu,পাত্রটো
xondehoke,সন্দেহকে
bharusai,ভাৰুচাই
durmukhor,দুর্মুখৰ
feroj,ফেৰজ
ostrorupe,অস্ত্ৰৰূপে
pangik,পাংগিক
juwara,যোৱাৰা
inningsok,ইনিংছক
khulibor,খুলিবৰ
upacharjyojone,উপাচাৰ্য্যজনে
benskhonote,বেঞ্চখনতে
bonsai,বনচাই
accelerator,এক্সিলাৰেটৰ
xusarupe,সূচাৰূপে
mridushmonto,মৃদুষ্মন্ত
aamarei,আমাৰেই
hitlerok,হিটলাৰক
upogrohotur,উপগ্ৰহটোৰ
logget,লগেট
purbancholorpora,পূৰ্বাঞ্চলৰপৰা
thogon,ঠগন
gunmoti,গুণমতি
poribarxoho,পৰিবাৰসহ
olbindor,অলবিন্দৰ
kopil,কপিল
tenebhabei,তেনেভাৱেই
xojuwajonoke,সজোৱাজনকে
dadaloi,দাদালৈ
bislexokei,বিশ্লেষকেই
xudkhure,সুদখোৰে
pradhanyoi,প্রাধান্যই
gronhokhonei,গ্রন্হখনেই
muktamoni,মুক্তামনি
ojohor,অজহৰ
particular,পাৰ্টিকুলাৰ
lekhibor,লেখিবৰ
upodrobburor,উপদ্রৱবোৰৰ
jugandhari,যোগানধাৰী
joxuhor,যশোহৰ
ulemaloi,উলেমালৈ
puwatuwe,পোৱাটোৱে
aagordinor,আগৰদিনৰ
thream,থ্ৰীম
dipute,ডিপোতে
proponchoi,প্রপঞ্চই
honto,হন্ত
kandokoloi,কাণ্ডকলৈ
olbelai,অলবেলাই
hekaipara,হেকাইপাৰা
murhabadi,মোৰহাবাদী
krixokeu,কৃষকেও
boyoxote,বয়সতে
xakhyatkartut,সাক্ষাৎকাৰটোত
oitijyopurno,ঐতিহ্যপূর্ণ
xodyujator,সদ্যোজাতৰ
tarokpur,তাৰকপুৰ
xodorthokbhabe,সদর্থকভাৱে
puhrai,পোহৰাই
kolaigaont,কলাইগাঁওত
borgor,বৰ্গৰ
bakdotta,বাকদত্তা
hahituke,হাঁহিটোকে
enexomuh,এনেসমূহ
odhibexonstholiloi,অধিবেশনস্থলীলৈ
kabyoxoilire,কাব্যশৈলীৰে
xapoloi,সাপলৈ
nijuktiprapto,নিযুক্তিপ্ৰাপ্ত
rupsinge,ৰূপসিঙে
omul,অমূল
moidamot,মৈদামত
prito,প্ৰীত
ombu,অম্বু
ilaram,ইলাৰাম
lokhmimondirot,লক্ষ্মীমন্দিৰত
platformotur,প্লেটফৰ্মটোৰ
protaronare,প্ৰতাৰণাৰে
wanglatok,ৱাংলাটক
naparu,নাপাৰো
poristhitoru,পৰিস্থিতৰো
loguwak,লগোৱাক
celebreson,ছেলিব্ৰেছন
gerisonor,গেৰিছনৰ
dhohmohai,ধহমহাই
radhikajoni,ৰাধিকাজনী
horintu,হৰিণটো
henguli,হেঙুলি
jothaxombhob,যথাসম্ভৱ
jeewanxongir,জীৱনসংগীৰ
zuratu,যোৰাটো
pathdane,পাঠদানে
orjonere,অৰ্জনেৰে
jonulltagorakir,জননেতাগৰাকীৰ
koween,কৱীন
bonpalokor,বনপালকৰ
jwoluwatu,জ্বলোৱাতো
xomadhar,সমাধাৰ
kendroxaxito,কেন্দ্রশাসিত
durarugyo,দুৰাৰোগ্য
kendukolai,কেন্দুকলাই
doibokrome,দৈৱক্ৰমে
dexkhonotu,দেশখনতো
dindiyek,দিনদিয়েক
judimar,জুডিমাৰ
ahmedabade,আহমেদাবাদে
kukhyigot,কুক্ষীগত
websait,ৱেবচাইত
aarmir,আৰ্মিৰ
rinky,ৰিংকি
surkeitaye,চোৰকেইটায়ে
tondon,টণ্ডন
netritwe,নেতৃত্বে
incio,ইঞ্চিঅ
boxisthasrom,বশিষ্ঠাশ্ৰম
baapdhon,বাপধন
mohakabyoxomuhot,মহাকাব্যসমূহত
dujonoi,দুজনৈ
bodonxokolor,বদনসকলৰ
pariboloi,পাৰিবলৈ
tuxeswori,তোষেশ্বৰী
scootiye,স্কুটীয়ে
kixuriye,কিশোৰীয়ে
jenuin,জেনুইন
drishyopot,দৃশ্যপট
musourir,মুছৌৰীৰ
spelender,স্পেলেণ্ডাৰ
roston,ৰষ্টন
xagorkuchi,সাগৰকুছি
vibrant,ভাইব্রেণ্ট
xiddhantoloi,সিদ্ধান্তলৈ
poddhotitu,পদ্ধতিটো
pebel,পেবেল
jonibole,জনিবলে
niukam,নিওকাম
miholir,মিহলিৰ
poisakhini,পইছাখিনি
jalukor,জালুকৰ
joponar,জপনাৰ
cardkhone,কাৰ্ডখনে
jiwikau,জীৱিকাও
nirikhyonor,নিৰীক্ষণৰ
truckxoho,ট্রাকসহ
courtparar,কোৰ্টপাৰাৰ
birokti,বিৰক্তি
ekatmotabudhor,একাত্মতাবোধৰ
flippere,ফ্লিপাৰে
aahisa,আহিছা
protyuttoru,প্ৰত্যুত্তৰো
jugindoror,যোগিন্দৰৰ
nirbapokor,নিৰ্বাপকৰ
orjunor,অর্জুনৰ
pothobilakot,পথবিলাকত
xilikha,শিলিখা
musolmanxokolotkoi,মুছলমানসকলতকৈ
tonglat,টংলাত
hostinapur,হস্তিনাপুৰ
franchor,ফ্ৰাঞ্চৰ
dhormoi,ধৰ্মই
commandergorakik,কামাণ্ডাৰগৰাকীক
mothongurit,মঠনগুৰিত
protibedonkhonu,প্রতিবেদনখনো
sirpujyo,চিৰপূজ্য
resturentok,ৰেষ্টোৰেণ্টক
xahityoxurzo,সাহিত্যসূৰ্য
thamim,থামিম
khamon,খামন
dondadixor,দণ্ডাদীশৰ
muxahidule,মোসাহিদুলে
swarthoporotar,স্বাৰ্থপৰতাৰ
buribail,বুৰিবাইল
sokighatot,চকীঘাটত
axirbade,আশীৰ্বাদে
plastikxomuh,প্লাষ্টিকসমূহ
xudhasun,সোধাচোন
gathise,গাঁঠিছে
suparir,চুপাৰীৰ
enginxoho,ইঞ্জিনসহ
xikhyakormixokolor,শিক্ষাকৰ্মীসকলৰ
duyubidh,দুয়োবিধ
bergiz,বাৰ্গিজ
defination,ডেফিনেশ্যন
protischobikhon,প্ৰতিচ্ছবিখন
podmobilot,পদ্মবিলত
khohil,খহিল
marutikhon,মাৰুতিখন
pithakhuwat,পিঠাখোৱাত
indrojalik,ইন্দ্রজালিক
gnlai,জিএনএলএই
ayurbedot,আয়ুৰ্বেদত
proityaworton,প্রত্যাৱৰ্তন
roketor,ৰকেটৰ
biringa,বিৰিঙা
upowisto,উপৱিষ্ট
loiyei,লৈয়েই
romyopurit,ৰম্যপুৰীত
kholpot,খলপত
xondho,সন্ধ
aadorxorehe,আদৰ্শৰেহে
kormosthanor,কর্মস্থানৰ
hajarek,হাজাৰেক
nirapottabyowosthar,নিৰাপত্তাব্যৱস্থাৰ
tripakhyik,ত্ৰিপাক্ষীক
townoloi,টাউনলৈ
xorogote,সৰগতে
snanagarot,স্নানাগাৰত
xurjyo,সূর্য্য
projwolonore,প্ৰজ্বলনৰে
mohabidruh,মহাবিদ্ৰোহ
xikhyokokhe,শিক্ষককহে
lojjak,লজ্জাক
aasroyor,আশ্ৰয়ৰ
kothere,কঠেৰে
bonyojontuxomuhok,বন্যজন্তুসমূহক
sapagainoloi,চাপাগাইনলৈ
ezakoman,এজাকমান
nauburok,নাওবোৰক
mahmude,মাহমুদে
doromhaprapto,দৰমহাপ্ৰাপ্ত
dhuwakhini,ধোৱাখিনি
halim,হালিম
palbostir,পালবস্তিৰ
aadhipotyobadixokole,আধিপত্যবাদীসকলে
nrixongxotak,নৃশংসতাক
bakyangxoi,বাক্যাংশই
likhitbhabeu,লিখিতভাৱেও
haspatale,হাস্পাতালে
dexei,দেশেই
rongkimi,ৰংকিমি
patliputro,পাটলিপুত্র
protikpote,প্রতীকপটে
gonoporixodor,গণপৰিষদৰ
narixokti,নাৰীশক্তি
ohahe,অহাহে
portaltur,পৰ্টেলটোৰ
thoboloiu,থবলৈও
bojroninadot,বজ্রনিনাদত
jabhedor,জাভেদৰ
elgare,এলগাৰে
prostawore,প্ৰস্তাৱৰে
pujipotiloi,পুঁজিপতিলৈ
kengke,কেংকে
xorboxexot,সৰ্বশেষত
mrityok,মৃত্যক
roktokuxika,ৰক্তকোশিকা
porikhyarthihe,পৰীক্ষাৰ্থীহে
dhorkoi,ধৰকৈ
aagotoloi,আগতলৈ
campusot,কেম্পাচত
norani,নৰানি
tyagok,ত্যাগক
maspara,মাছপাৰা
jibosrestho,জীৱশ্ৰেষ্ঠ
borjhura,বৰঝোৰা
upojile,উপজিলে
kochur,কচুৰ
moilir,মৈলীৰ
murtuke,মূৰটোকে
geruwapar,গেৰুৱাপাৰ
saikelkhonehe,চাইকেলখনেহে
swopnoi,স্বপ্নই
aaihot,আইহঁত
agrimentor,এগ্ৰিমেণ্টৰ
gitarkhon,গীতাৰখন
dekasamok,ডেকাচামক
samoling,ছামলিং
roumaristhito,ৰৌমাৰীস্থিত
xomadhistholot,সমাধিস্থলত
bhumisthokholon,ভূমিস্থখলন
mesu,মেচো
mormantikbhabe,মৰ্মান্তিকভাৱে
regingot,ৰেগিঙত
aakhara,আখাৰা
xobhapotwito,সভাপত্বিত
khuwakoi,খোৱাকৈ
serapbhatir,ছেৰাপভাতীৰ
debuttor,দেবোত্তৰ
datamation,ডাটামেশ্যন
etake,এটাকে
paniwala,পানীৱালা
tibobotixokol,তিববতীসকল
ogninorbapok,অগ্নিনৰ্বাপক
begpek,বেগপেক
traphikor,ট্ৰাফিকৰ
protibedonok,প্ৰতিবেদনক
dinamajur,দিনমজুৰ
dristiu,দৃষ্টিও
ghonte,ঘণ্টে
taisong,টাইচং
debirupe,দেবীৰূপে
horxod,হর্ষদ
bhejalikoronor,ভেজালীকৰণৰ
onontokuti,অনন্তকোটি
bhutarei,ভোটাৰেই
guharipotro,গোহাৰিপত্ৰ
muhot,মোহত
montrore,মন্ত্রৰে
kuhir,কুঁহিৰ
sunar,চোনাৰ
katmani,কাটমানী
fixingot,ফিক্সিঙত
makhitu,মাখিটো
bhetai,ভেটাই
onirdistokaloloi,অনির্দিষ্টকাললৈ
madhobdewor,মাধৱদেৱৰ
xikhyanusthankhonoku,শিক্ষানুষ্ঠানখনকো
sapormukholoi,চাপৰমুখলৈ
gyanenok,জ্ঞানেনক
kulimbe,কুলিম্বে
bhoida,ভৈদা
aarijit,আৰিজিত
kormoxompadon,কৰ্মসম্পাদন
talibanxokole,তালিবানসকলে
gumuthagaonr,গোমোঠাগাঁৱৰ
nikare,নিকাৰে
sahidajukto,চাহিদাযুক্ত
bhoriburok,ভৰিবোৰক
maaku,মাকো
iyeror,ইয়েৰৰ
taliganjat,তালিগঞ্জত
tenexokole,তেনেসকলে
bhoktik,ভক্তিক
judhisthire,যুধিষ্ঠিৰে
axarehe,আশাৰেহে
bigyanxonmot,বিজ্ঞানসন্মত
pongkita,পংকিতা
uliyabor,উলিয়াবৰ
ronkhetroloi,ৰণক্ষেত্ৰলৈ
bodhile,বধিলে
xonthabure,সন্থাবোৰে
bislexokor,বিশ্লেষকৰ
modhuk,মধুক
nepalu,নেপালোঁ
xilgutit,শিলগুটিত
aawontit,আৱন্তিত
bijutir,বিজুটিৰ
decactor,ডিকেক্টৰ
moharastrok,মহাৰাষ্ট্ৰক
puruxxokoloru,পুৰুষসকলৰো
harbard,হাৰ্বাৰ্ড
nirbisar,নির্বিচাৰ
keiti,কেইটি
xaptahik,সাপ্তাহিক
uponodixomuhor,উপনদীসমূহৰ
lobikendrik,লবীকেন্দ্ৰীক
stonbrinto,স্তনবৃন্ত
flamingor,ফ্লেমিঙৰ
islamixokolor,ইছলামীসকলৰ
poisahe,পইচাহে
chimene,চিমেনে
bonyohostiru,বন্যহস্তীৰো
bhaisyore,ভাষ্যৰে
likheu,লিখেও
omoroloi,অমৰলৈ
soritrotuke,চৰিত্রটোকে
iboson,ইবছন
bihbolota,বিহ্বলতা
xorboxikhya,সর্বশিক্ষা
merchas,মেৰ্চাচ
madhumita,মধুমিতা
agentxokolok,এজেণ্টসকলক
nongnare,নংনাৰে
mohilarpora,মহিলাৰপৰা
salbari,শালবাৰী
bondhuborgok,বন্ধুবৰ্গক
mohabolik,মহাবলীক
porikhyokxokole,পৰীক্ষকসকলে
gronthoxomuhe,গ্ৰন্থসমূহে
souhodu,চৌহদো
expressiontu,এক্সপ্ৰেছনটো
madhurik,মাধুৰীক
lothabori,লঠাবৰি
obhibhawokotwo,অভিভাৱকত্ব
jatrakalot,যাত্রাকালত
sofikulor,ছফিকুলৰ
girir,গিৰীৰ
xombharok,সম্ভাৰক
dhormogurugoraki,ধর্মগুৰুগৰাকী
uttejitobhabe,উত্তেজিতভাৱে
ncais,এনচিএইচ
xunaribali,সোণাৰিবালি
bikolpohin,বিকল্পহীন
chirapor,চিৰাপৰ
belegbur,বেলেগবোৰ
moidamkhyetro,মৈদামক্ষেত্র
jomiruddin,জমিৰুদ্দিন
holonagaonr,হলনাগাঁৱৰ
omololoi,অমললৈ
batilkoronok,বাতিলকৰণক
opodebotai,অপদেৱতাই
namphaki,নামফাকি
khonman,খনমান
oswostikorbhabe,অস্বস্তিকৰভাৱে
tongkar,টংকাৰ
barikhonor,বাৰীখনৰ
aakon,আকন
madridot,মাদ্রিদত
jubokjonot,যুৱকজনত
ghagora,ঘাগৰা
bondhotwor,বন্ধত্বৰ
potongobidhor,পতংগবিধৰ
dorxokere,দর্শকেৰে
nomborbihin,নম্বৰবিহীন
ghotonaloi,ঘটনালৈ
saisuhe,চাইছোঁহে
obhibhawokoke,অভিভাৱককে
biruddhasoronere,বিৰুদ্ধাচৰণেৰে
korora,কৰৰা
manobotare,মানৱতাৰে
encaphalatis,এনকেফেলাটিছ
golpokarxokolor,গল্পকাৰসকলৰ
rikir,ৰিকিৰ
nolir,নলীৰ
bohulukok,বহুলোকক
bheruwar,ভেৰুৱাৰ
bilahik,বিলাহীক
duitak,দুইটাক
khorisa,খৰিচা
beats,বীটছ
doltute,দলটোতে
jaminbihin,জামিনবিহীন
nalondaloi,নালন্দালৈ
radhi,ৰাধী
shrutikore,শ্রুতিকৰে
bulhe,বুলহে
tolwaror,টলৱাৰৰ
nobur,নবোৰ
guneihe,গুণেইহে
lakhyimpur,লক্ষিমপুৰ
guptodhonor,গুপ্তধনৰ
obhibhabika,অভিভাৱিকা
siud,চিউদ
bhatrixodrix,ভাতৃসদৃশ
xihothe,সিহঁতহে
kamdhenu,কামধেনু
khaundo,খাওন্দ
orbasin,অর্বাচীন
styleu,ষ্টাইলো
borghup,বৰঘোপ
onumanot,অনুমানত
xirxotei,শীৰ্ষতেই
xokolenu,সকলেনো
dujonar,দুজনাৰ
munoru,মুনৰো
khanjala,খাঞ্জালা
bimanxomuhok,বিমানসমূহক
xahorjyo,সাহৰ্য্য
onyodhoronehe,অন্যধৰণেহে
kolaxonmotbhabe,কলাসন্মতভাৱে
budhxoktir,বোধশক্তিৰ
jurismita,জুৰিস্মিতা
xotei,সতেই
uttoriyo,উত্তৰীয়
karzokarita,কাৰ্যকাৰিতা
sinburot,চিনবোৰত
oporiharzou,অপৰিহার্যও
bohaxokolor,বহাসকলৰ
xanidhyoloi,সানিধ্যলৈ
dimpolor,দিম্পলৰ
mukhyomontrijonoloi,মুখ্যমন্ত্রীজনলৈ
mosfikul,মস্ফিকুল
odhunik,অধুনিক
akiut,একিউট
xikhyadanote,শিক্ষাদানতে
moltute,মলটোতে
modhyobittoxokol,মধ্যবিত্তসকল
applicable,এপ্লিকেবল
alfazaror,আলফাজাৰৰ
hatikakotir,হাতীকাকতিৰ
bidyarombhor,বিদ্যাৰম্ভৰ
benarjik,বেনাৰ্জীক
narjyota,নাৰ্য্যতা
cartonu,কাৰ্টনো
bihutolir,বিহুতলিৰ
dukhoku,দুখকো
xonggramkhonot,সংগ্ৰামখনত
axapuhi,আশাপুহি
dangortuyei,ডাঙৰটোৱেই
xobhapotixokolu,সভাপতিসকলো
udarbad,উদাৰবাদ
xobhagot,সভাগত
mirjeng,মিৰজেং
byowosthaponaru,ব্যৱস্থাপনাৰো
guswamiyeu,গোস্বামীয়েও
bibekanondoi,বিবেকানন্দই
dosera,দছেৰা
suwaliburoku,ছোৱালীবোৰকো
selek,চেলেক
prodhanbhabe,প্রধানভাৱে
linked,লিংকড
rondhonor,ৰন্ধনৰ
axirbadotei,আশীর্বাদতেই
rajkarjyor,ৰাজকার্যৰ
obodomonkami,অৱদমনকামী
xonsalokprodhane,সঞ্চালকপ্ৰধানে
khetrorpora,ক্ষেত্ৰৰপৰা
nahibo,নাহিব
trinamule,তৃণমূলে
agripam,আগ্ৰিপাম
ceritable,চেৰিটেবল
prarthitwot,প্ৰাৰ্থিত্বত
bangladexote,বাংলাদেশতে
aamanul,আমানুল
rinjak,ৰিঞ্জাক
prodexok,প্ৰদেশক
kriketaroloi,ক্ৰিকেটাৰলৈ
biragor,বিৰাগৰ
pharmachistoxokolor,ফাৰ্মাচিষ্টসকলৰ
okademito,অকাদেমিত
boraloiu,বৰালৈও
lailongpara,লাইলংপাৰা
grohodux,গ্ৰহদোষ
chamberlainor,চেম্বাৰলেইনৰ
protibadotkoi,প্ৰতিবাদতকৈ
jagiboloi,জাগিবলৈ
xojjonanang,সজ্জনানাং
taskfursor,টাস্কফোৰ্চৰ
kharjara,খাৰজাৰা
champhai,চাম্ফাই
ghonomitarot,ঘনমিটাৰত
prantorpora,প্রান্তৰপৰা
protibhadhore,প্রতিভাধৰে
eptut,এপটোত
rabori,ৰাবৰি
photukhonu,ফটোখনো
chotre,ছত্ৰে
durbitto,দুৰ্বিত্ত
pobar,পবাৰ
etula,এতোলা
feriu,ফেৰীও
rahulei,ৰাহুলেই
ondhokarhe,অন্ধকাৰহে
sakiror,চাকিৰৰ
osworajyor,অশ্বৰাজ্যৰ
druti,দ্ৰুতি
kengerur,কেংগেৰুৰ
owoladewi,অৱলাদেৱী
guhaitekela,গোহঁাইটেকেলা
kojironga,কজিৰঙা
ejoneeke,এজনীকে
loudspeekarot,লাউডস্পীকাৰত
xoinikoku,সৈনিককো
biswojudhoi,বিশ্বযুদ্ধই
dimoriya,ডিমৰীয়া
rajpothere,ৰাজপথেৰে
khristain,খ্ৰীষ্টাইন
lilenor,লিলেনৰ
swornokapor,স্বৰ্ণকাপৰ
ojorai,অজৰাই
madrasakhonor,মাদ্ৰাছাখনৰ
karzotu,কার্যতো
manuhesun,মানুহেচোন
gonguwar,গংগোৱাৰ
obineta,অবিনেতা
aagsuwar,আগছোৱাৰ
owotoronok,অৱতৰণক
beautiful,বিউটিফুল
seminarit,ছেমিনাৰীত
burhagoya,বুঢ়াগঞা
badlapara,বাদলাপাৰা
moranor,মৰাণৰ
lokhyorehe,লক্ষ্যৰেহে
exottor,এসত্তৰ
bhumipuja,ভূমিপূজা
opohoronor,অপহৰণৰ
bidexiye,বিদেশীয়ে
seraxalir,চেৰাশালিৰ
muladharit,মূলাধাৰীত
ekexuhai,একেসোহাই
pinar,পিনাৰ
kompita,কম্পিতা
prokupe,প্রকোপে
dhabir,ধাবিৰ
cricketei,ক্ৰিকেটেই
dorxonmote,দর্শনমতে
aadharei,আধাৰেই
batulami,বাতুলামি
noluakoi,নলোৱাকৈ
tukabohir,টোকাবহীৰ
moijonok,মইজনক
solsitror,চলচিত্ৰৰ
brounsteinok,ব্রাউনষ্টেইনক
jalbur,জালবোৰ
elementery,এলিমেণ্টেৰী
digitalized,ডিজিটেলাইজড
xonghotonok,সংঘটনক
xangbadikgorakiloi,সাংবাদিকগৰাকীলৈ
xutrotut,সূত্রটোত
nirurdex,নিৰুৰ্দেশ
nondigramor,নন্দীগ্রামৰ
khalot,খালত
poriprekhyitote,পৰিপ্ৰেক্ষিততে
romanir,ৰমানিৰ
xokahe,সকাহে
jummar,জুম্মাৰ
bhitorkhonor,ভিতৰখনৰ
mindfulness,মাইণ্ডফুলনেছ
taarir,তাৰিৰ
shyon,শ্যন
sopaxaltur,ছপাশালটোৰ
fulora,ফুলৰা
nertritwadhin,নেৰ্তৃত্বাধীন
monihotor,মণিহঁতৰ
xongsthaponarthe,সংস্থাপনার্থে
balakutot,বালাকোটত
totporoborti,তৎপৰৱৰ্তী
jomdut,জমদূত
aradhonar,আৰাধনাৰ
uttortut,উত্তৰটোত
athawonno,আঠাৱন্ন
xotyendrokumar,সত্যেন্দ্ৰকুমাৰ
tenkitur,টেংকিটোৰ
xiten,সীতেন
pisuwa,পিছোৱা
aadorxobur,আদৰ্শবোৰ
bharbel,ভাৰবেল
laukeita,লাওকেইটা
marimuthur,মাৰিমুথুৰ
effect,ইফেক্ট
khulpothar,খোলপথাৰ
borkhatat,বৰখাতাত
narzota,নাৰ্যতা
doxokok,দশকক
jujonaru,যোজনাৰো
bimanbondore,বিমানবন্দৰে
bhinnodhorone,ভিন্নধৰণে
bihpukhurir,বিহপুখুৰীৰ
sokumeli,চকুমেলি
centinel,চেণ্টিনেল
ebhagotkoiu,এভাগতকৈও
dutawax,দূতাৱাস
prokaxika,প্ৰকাশিকা
addict,এডিক্ট
onyoxokole,অন্যসকলে
neklesdalor,নেকলেচডালৰ
banglate,বাংলাতে
hardike,হাৰ্দিকে
