fusharun,फुशारुन
sonarakadehi,सोनाराकडेही
milanyapurvi,मिळण्यापूर्वी
sankalpat,संकल्पात
nologymadhun,नॉलॉजीमधून
bharatpurjaval,भरतपूरजवळ
soonmadhye,सूनमध्ये
chochinmule,चोचींमुळे
schoobymadhye,स्कूबीमध्ये
pravshanmadhun,प्रवशांमधून
sadhansuvidhanchya,साधनसुविधांच्या
namonam,नमोनम
mamtabainchi,ममताबाईंची
chhapkhanyachi,छापखान्याची
kridaspardhebaddal,क्रिडास्पर्धेबद्दल
dhadanyache,धाडण्याचे
rangabbhumivaril,रंगभूमीवरील
adajania,अदाजानिया
nepen,नेपेन
tyacheli,त्याचेळी
vitaminschya,व्हिटामीन्सच्या
transplant,ट्रान्सप्लॅंट
ibrahimpur,इब्राहीमपूर
tyadarmyanche,त्यादरम्यानचे
vibhramavar,विभ्रमावर
langeveldt,लँगेवेल्ड्ट
opinkade,ओपींकडे
narcissistic,नार्सिसिस्टिक
muddenagarikankadun,मुद्देनागरिकांकडून
babnath,बाबनाथ
aadhkamadhye,आढकामध्ये
nyadhishankade,न्याधीशांकडे
tiknarech,टिकणारेच
railteltarfe,रेलटेलतर्फे
tyavayat,त्यावयात
nanavaleli,नाणावलेली
kekecha,केकेचा
ahavalat,अहवालात
kishala,किशाला
dhumarehi,धुमारेही
genjiche,गेंजीचे
nivideshivay,निविदेशीवाय
dahashatvadsarkhe,दहशतवादसारखे
sgnp,एसजीएनपी
yukrenpasoon,युक्रेनपासून
toraskarancha,तोरस्करांचा
upanibandhakpadi,उपनिबंधकपदी
ultyanche,उलट्यांचे
chitrakalanchi,चित्रकलांची
pravaktyakadun,प्रवक्त्याकडून
jatrepurvi,जत्रेपूर्वी
shetenche,शेटेंचे
ekmekansathi,एकमेकांसाठी
vinantimulech,विनंतीमुळेच
tantradnyanayukt,तंत्रज्ञानायुक्त
hoses,होसेस
niyojankade,नियोजनकडे
kotyadhishanchi,कोट्याधीशांची
nisargdharmanusar,निसर्गधर्मानुसार
chimatyachi,चिमट्याची
kheladunsarkhi,खेळाडूंसारखी
lagve,लागवे
nagaradhyaksh,नागराध्यक्ष
chabharkhind,चाभारखिंड
toothpickne,टूथपिकने
panyamulehi,पाण्यामुळेही
katalakala,कातळकला
kalavalela,कळवलेला
mahabhojanachya,महाभोजनाच्या
nimmitach,निम्मितच
samalochanachya,समालोचनाच्या
mothepanihi,मोठेपणीही
tattyanchya,तट्ट्यांच्या
manoshaktine,मनोशक्तीने
meherunnisa,मेहेरुन्निसा
abhyasakannihi,अभ्यासकांनीही
chimurdilach,चिमुरडीलाच
rangantala,रंगांतला
aambalemadhye,आंबळेमध्ये
kilyakhalil,किल्याखालील
rivilan,रिविलन
khalipramane,खालीप्रमाणे
suvarnabaji,सुवर्णबाजी
pustakasamvet,पुस्तकासमवेत
dukananvirodh,दुकानांविरोध
musalerachya,मुसलेराच्या
sharing,शेअरींग
swarchitranchya,स्वरचित्रांच्या
kashtasadhya,कष्टसाध्य
khubine,खुबीने
mughalwali,मुगलवाली
sadavtat,सडवतात
lahoparyant,लाहोपर्यंत
mercuse,मर्क्यूस
senabhavan,सेनाभवन
shasankade,शासनकडे
baleela,बलीला
muslimambaddalache,मुस्लिमांबद्दलचे
artkil,आर्टकिल
polisambabatchi,पोलिसांबाबतची
kinarat,किनारात
tanksalitun,टांकसाळीतून
badalanyashi,बदलण्याशी
dehane,देहाने
payaryanmadhun,पायऱ्यांमधून
tartcha,टार्टचा
dhoranavarun,धोरणावरून
talukyansathichya,तालुक्यांसाठीच्या
dangewadit,डांगेवाडीत
nakhrebaj,नखरेबाज
mallanna,मल्लांना
maitrichyahi,मैत्रीच्याही
tokiyone,टोकियोने
haddach,हद्दच
dekkar,डेकर
vidyashakhanche,विद्याशाखांचे
tyapuratach,त्यापुरताच
bahadurwadi,बहादूरवाडी
daginyatun,दागिन्यातून
surakshasevak,सुरक्षासेवक
shirastranachi,शिरस्त्राणाची
tasaganik,तासागणिक
rozabagh,रोझाबाग
pakshafodi,पक्षफोडी
navreshahi,नवरेशाही
jalvahinimadhil,जलवाहिनीमधील
nakshalvadyanpasun,नक्षलवाद्यांपासून
urjantri,ऊर्जांत्री
ghotalate,घोटाळते
ratnalankar,रत्नालंकार
mardeshwar,मरडेश्वर
potoshi,पोटोशी
deshdutcha,देशदूतचा
provajek,प्रोव्हाजेक
aridama,अरिदमा
batatadekhil,बटाटादेखील
aadhalalan,आढळलं
molner,मोल्नर
chichurada,चिचुरडा
shitalwadi,शितलवाडी
rajgurusathi,राजगुरुसाठी
meskiko,मेस्किको
tashant,ताशांत
vimanatahi,विमानातही
shokantikamule,शोकांतिकामुळे
netrapatal,नेत्रपटल
bhashapatu,भाषापटू
madeel,मदील
meritorius,मेरिटोरियस
quintalvaril,क्विंटलवरील
vakilaviruddha,वकिलाविरुद्ध
nondibabat,नोंदीबाबत
balnatyamadhalya,बालनाट्यामधल्या
migraine,मायग्रेन
mahulgavatil,माहुलगावातील
mahanirdeshalayachya,महानिर्देशालयाच्या
khadyasanskrutimadhil,खाद्यसंस्कृतीमधील
onthavar,ओंठावर
saijanya,सैजन्य
sahbauddhik,सहबौद्धिक
meethalelaa,मिळालेला
negga,नेगा
vaghobashi,वाघोबाशी
mithaywala,मिठायवाला
shikshakalach,शिक्षकालाच
shikhach,शीखच
lagtel,लागतेल
khatalpatta,खताळपट्टा
karjatpasoon,कर्जतपासून
automadhil,ऑटोमधील
sharnarth,शरणार्थ
lekhanila,लेखणीला
kalyanicha,कल्याणीचा
mahadevar,महादेवर
jangalanmulech,जंगलांमुळेच
trifed,ट्रायफेड
shaharansathichi,शहरांसाठीची
supermomne,सुपरमॉमने
vedpranit,वेदप्रणित
panchtarakent,पंचताराकेंत
simov,सिमोव
purushpradhanteche,पुरुषप्रधानतेचे
nagarikachihi,नागरिकाचीही
gomtya,गोमट्या
kaheer,काहीर
shafiqullah,शफिकुल्ला
fondyat,फोंड्यात
freezmadhala,फ्रीझमधला
arjunsinh,अर्जुनसिंह
kingsise,किंगसाईज
karananvarach,कारणांवरच
bhubhautikiy,भूभौतिकीय
bangladeshmadhalya,बांग्लादेशमधल्या
mumbaikongresache,मुंबईकाँग्रेसचे
varshakade,वर्षाकडे
shrishanbhurajyabhishek,श्रीशंभुराज्याभिषेक
paryavekshikavarach,पर्यवेक्षिकावरच
aambavalela,आंबवलेला
comparison,कंपॅरिजन
vanambabat,वनांबाबत
tumcha,तुम्चा
madatnidhitil,मदतनिधीतील
breedingsathi,ब्रीडिंगसाठी
rogroi,रोगरोई
pralobhanasathi,प्रलोभनासाठी
tianamen,तियानामेन
emsilche,एमसिलचे
nagbhid,नागभीड
sharthinmadhye,शर्थींमध्ये
pranahita,प्राणहिता
gulshankumarchi,गुलशनकुमारची
fobiagrast,फोबियाग्रस्त
madhyamsamuhanni,माध्यमसमुहांनी
airbagchya,एअरबॅगच्या
salamiviranshivay,सलामीवीरांशिवाय
prasadhangruhala,प्रसाधनगृहाला
vatchalikade,वाटचालीकडे
mathuresi,मथुरेसी
chadhaychach,चढायचाच
panchbhutanche,पंचभूतांचे
nagadwadi,नगदवाडी
rohingyannahi,रोहिंग्यांनाही
panchanand,पंचानंद
adhantarat,अधांतरात
nationalmadhye,नॅशनलमध्ये
hadaysamrat,हदयसम्राट
bundhyasarkhi,बुंध्यासारखी
rohidasjichya,रोहिदासजीच्या
glycogenchya,ग्लायकोजेनच्या
punyaeet,पुण्याईत
gulachihi,गुळाचीही
ghatnankar,घटनांकर
glorified,ग्लोरिफाइड
politicalch,पॉलिटिकलच
garjancha,गरजांचा
chakarmanyanvaril,चाकरमान्यांवरील
jaychandmule,जयचंदमुळे
pittashaman,पित्तशमन
gildchya,गिल्डच्या
nihirane,निहिराने
shashvatatechya,शाश्वततेच्या
gardiparyant,गर्दीपर्यंत
mangaldev,मंगलदेव
dharnanvaril,धरणांवरील
mallyakadil,माल्ल्याकडील
bagayatdarannihi,बागायतदारांनीही
dattavad,दत्तावड
blackberries,ब्लॅकबेरीज
kakoti,ककोटी
ladkewale,लडकेवाले
camerachya,कॅमेराच्या
aadhikrut,आधिकृत
chamkogirivar,चमकोगिरिवर
espressvar,एस्प्रेसवर
ekankikela,एकांकिकेला
bichhanamadhye,बिछानामध्ये
adgest,अॅडजेस्ट
hurhurati,हुरहुरती
vajatan,वाजतां
uttarmadhun,उत्तरमधुन
shravanvidhi,श्रवणविधी
vyajadarambaddal,व्याजदरांबद्दल
darshakansathi,दर्शकांसाठी
aaysisbaddal,आयसिसबद्दल
khedajaval,खेडाजवळ
cylinderpramanech,सिलिंडरप्रमाणेच
uthavatana,उठवताना
virachit,विरचित
aavalyapekshahi,आवल्यापेक्षाही
panabaka,पनाबाका
chaurangavari,चौरंगावरी
kalangade,कालंगडे
anuchchhedsuddha,अनुच्छेदसुद्धा
kashimadhale,काशीमधले
rojgarasobatach,रोजगारासोबतच
dhiraj,धिरज
sadabhauncham,सदाभाऊंचं
balrampurmadhil,बलरामपुरमधील
puralpoli,पुरळपोळी
natkanvarach,नाटकांवरच
murdhanyasthani,मूर्धन्यस्थानी
nausenakadun,नौसेनाकडून
govindkakanche,गोविंदकाकांचे
sankhalitun,सांखळीतून
agricultural,अॅग्रीकल्चरल
harbhajanahi,हरभजनही
upasagaravarun,उपसागरावरून
udayane,उदयने
dasrahalli,दसराहल्ली
mudansarkhi,मुळांसारखी
rajkanya,राजकन्या
gargotisarkhe,गारगोटीसारखे
ayajchi,अयाजची
carpathian,कार्पाथियन
neuremberg,न्युरेम्बर्ग
nadipunrujjivan,नदीपुनरुज्जीवन
tanduljyachi,तांदूळज्याची
bhondvevaditil,भोंडवेवाडीतील
rappersver,रॅपर्सवर
bhattyavarhi,भत्त्यावरही
dastanvar,दस्तांवर
samajabhimukh,समाजाभिमुख
vahandharkannach,वाहनधारकांनाच
nabarobar,नाबरोबर
punarmudrit,पुनर्मुद्रीत
saptashrungidevi,सप्तश्रृंगीदेवी
karkirdicha,कारकिर्दिचा
anannagrahan,अनन्नग्रहण
fadlyamule,फाडल्यामुळे
tijara,तिजारा
michelson,मिकेलसन
hijacker,हायजॅकर
mandaldhikari,मंडळधिकारी
lloyd,लॉय्ड
kailasache,कैलासचे
sentings,सेंटिंग्ज
toranmalache,तोरणमाळचे
futanparyantcha,फुटांपर्यंतचा
horizonte,होरिझोंटे
bechan,बेचन
kurr,कुर्र
aaptajanat,आप्तजनात
golakshetrachya,गोलक्षेत्राच्या
dhvajnirmitichi,ध्वजनिर्मितीची
hatyabandichi,हत्याबंदीची
vishnusathi,विष्णुसाठी
garvartanook,गरवर्तणूक
peshantsmadhye,पेशंट्समध्ये
sanganarana,सांगणाराना
katholic,कॅथोलिक
mangeshkaranvaril,मंगेशकरांवरील
rajubhaine,राजूभाईने
barmahi,बारमाही
asahishnutevarun,असहिष्णुतेवरुन
paishambabat,पैशांबाबत
deadpan,डेडपॅन
navaryaviruddha,नवऱ्याविरूद्ध
rajepakshe,राजेपक्षे
nirdeshankabarobarach,निर्देशांकाबरोबरच
jalvrushti,जलवृष्टी
killyashejarich,किल्ल्याशेजारीच
niyamanvali,नियमांवली
aliche,अलीचे
abhyagat,अभ्यागत
poshakhavishayi,पोशाखाविषयी
ankitatva,अंकितत्व
vamanbuvanchya,वामनबुवांच्या
parpanchatoon,परपंचातून
gramsamrudhdicha,ग्रामसमृध्दीचा
vipatti,विपत्ति
concent,कॉन्सेंट
ataljinchyach,अटलजींच्याच
kandapohecha,कांदापोहेचा
vighansabhesobatach,विघानसभेसोबतच
bhukele,भुकेले
akulakadun,अकुलाकडून
pelanyaitake,पेलण्याइतके
monestrymadhye,मॉनेस्ट्रीमध्ये
tamilanadukadun,तमिळनाडूकडून
screenbhar,स्क्रीनभर
takavayacha,टाकावयाचा
takalenchya,टकलेंच्या
jwalamukhinmadhye,ज्वालामुखींमध्ये
bhairu,भैरु
kotharas,कोठारास
kashthen,काष्ठें
pathologicadoon,पॅथॉलॉजीकडून
utsukancha,उत्सुकांचा
tansache,तानसाचे
vishramgadla,विश्रामगडला
janatenela,जनतेनेला
jaminivarle,जमिनीवरले
kortapurati,कोर्टापुरती
moolasvarupat,मूळस्वरूपात
paulahi,पाऊलही
holscha,होल्सचा
sururcha,सुरुरचा
prabhavapasun,प्रभावापासुन
vichitranch,विचित्रंच
mayureshache,मयुरेशचे
rajanvarchya,राजांवरच्या
morda,मोर्डा
parprantiyanche,परप्रांतियांचे
molchi,मोलची
uddharak,उद्धारक
udghatkanchya,उदघाटकांच्या
aparnache,अपर्णाचे
pandrah,पंद्रह
aayogakadoon,आयोगाकडून
pracharpatre,प्रचारपत्रे
aaradhit,आराधित
yogdanatoon,योगदानातून
nityanutanata,नित्यनूतनता
pallavikade,पल्लवीकडे
apamanacha,अपमानाचा
mustafizurla,मुस्तफिजुरला
vastavyakarita,वास्तव्यकरिता
tamnnache,तमन्नाचे
nyayvyasthene,न्यायव्यस्थेने
pratipurticha,प्रतीपूर्तीचा
basalahes,बसलाहेस
vayafaypramane,वायफायप्रमाणे
majboo,मजबू
duchakint,दुचाकींत
zulyasobatach,झुल्यासोबतच
lakakanara,लकाकणारा
gujriwal,गुजरीवाल
ankuranahi,अंकुरणही
flexbaddal,फ्लेक्सबद्दल
rasayanasarkha,रसायनासारखा
aashtitil,आष्टीतील
bedekaranche,बेडेकरांचे
aantarpikadvare,आंतरपिकाद्वारे
dharmabhimanyansaha,धर्माभिमान्यांसह
zhengla,झेंगला
khanijamule,खनिजामुळे
kusubale,कुसुबळे
balunchya,बालूंच्या
janmasthalhi,जन्मस्थळही
mangalmadhun,मंगलमधून
bhashanasathihi,भाषणासाठीही
vazira,वझिरा
shevatatoon,शेवटातून
jivanamaranashi,जीवनमरणाशी
johaib,जोहैब
parikshatahi,परीक्षातही
tanpura,तानपूरा
gaoo,गाऊ
gadyajavalun,गाद्याजवळून
aadharlan,आधारलं
dhoomketuvishayi,धूमकेतूविषयी
valananmadhye,वळणांमध्ये
dadasahebankadun,दादासाहेबांकडून
jidnyasakshetra,जिज्ञासाक्षेत्र
ghenyasa,घेण्यासा
btca,बीटीसीए
mantralayane,मंत्रालयाने
organizations,ऑर्गनायजेशन्स
atidhakamule,अतिधाकामुळे
madhyamvargiyankade,मध्यमवर्गीयांकडे
majhasathi,माझासाठी
dillikadacha,दिल्लीकडचा
ekmekambarobarcha,एकमेकांबरोबरचा
aayadinni,आयडींनी
petrolkharch,पेट्रोलखर्च
nalima,नलिमा
cherapunjila,चेरापुंजीला
mentholcha,मेन्थॉलचा
shivatejachi,शिवतेजाची
bhagvatiche,भगवतीचे
digya,डिग्या
shivpuranasahit,शिवपुराणासहित
chalshil,चालशील
sahanshilatechi,सहनशीलतेची
bokadach,बोकडच
yaditalach,यादीतलाच
thakvamule,थकवामुळे
karbat,कार्बत
ghadatech,घडतेच
transister,ट्रॅन्झिस्टर
galedharkanmadhil,गाळेधारकांमधील
atyukrusht,अत्युक्रुष्ट
aurganjebala,औरगंजेबाला
antarrup,अंतर्रूप
lutalyasah,लुटल्यासह
karsathiche,कारसाठीचे
jethmalani,जेठमलाणी
conferencemadhalya,कॉन्फरन्समधल्या
sachyacha,सच्याचा
dainandinapane,दैनंदिनपणे
vimyane,विम्याने
pathavnaryanmadhye,पाठवणाऱ्यांमध्ये
sacharas,सचारास
ummidonke,उम्मीदोंके
satyapramane,सत्याप्रमाणे
fazli,फाजली
csmvs,सीएसएमव्हीएस
turnerchi,टर्नरची
saryamadhye,साऱ्यामध्ये
kalamadhyesuddha,काळामध्येसुद्धा
mohitechya,मोहितेच्या
prekshakavargachahi,प्रेक्षकवर्गाचाही
nemanukitahi,नेमणुकीतही
pandiya,पंडिया
malkhedchya,मालखेडच्या
saranjamenna,सरंजामेंना
dantewadachya,दंतेवाडाच्या
gogalgaon,गोगलगाव
badaut,बडौत
richabainni,रिचाबाईंनी
dweshadi,द्वेषादी
uchcharananpaiki,उच्चारणांपैकी
uposhanach,उपोषणच
secule,सेक्युल
shrigondekaranchi,श्रीगोंदेकरांची
sansadhananchya,संसाधनांच्या
bibatyakadoon,बिबट्याकडून
pathyapustakahi,पाठ्यपुस्तकही
hemandpanthi,हेमांडपंथी
upanibandhakanchi,उपनिबंधकांची
thanasathi,थानासाठी
beedparyant,बीडपर्यंत
tattvaswarup,तत्त्वस्वरूप
ugmashi,उगमाशी
ghenyadarmyan,घेण्यादरम्यान
shatrurashtrach,शत्रूराष्ट्रच
shrirag,श्रीराग
paradeshatal,परदेशातल
dehurodmadhil,देहूरोडमधील
gambhirpaiki,गंभीरपैकी
dukandarne,दुकानदारने
bahininpasun,बहिणींपासून
sachivakadoon,सचिवाकडून
kalalanna,कलालांना
shevantila,शेवंतीला
chimukalyachi,चिमुकल्याची
khoresathi,खोरेसाठी
vergara,वेरगारा
gunakarahi,गुणाकारही
kanatichya,कनातीच्या
diet,डाएट
vyaktiviruddha,व्यक्तीविरुद्ध
missionaryche,मिशनरीचे
vyuharachanesathihi,व्युहरचनेसाठीही
velanmadhil,वेळांमधील
anshparyant,अंशपर्यंत
prakshepanasathichya,प्रक्षेपणासाठीच्या
khachali,खचली
shaharadhyakshapadavar,शहराध्यक्षपदावर
akaryukt,अकारयुक्त
udyogasobatach,उद्योगासोबतच
jalsandharnechya,जलसंधारणेच्या
aakadyanpasun,आकड्यांपासून
corridorvaryl,कॉरिडॉरवरील
shaharanmadhech,शहरांमधेच
sodanyakarita,सोडण्याकरीता
masikasarkhe,मासिकासारखे
jahiratbajivaril,जाहिरातबाजीवरील
chaturbaho,चतुर्बाहो
nirdhokpanane,निर्धोकपणाने
puraskarchi,पुरस्कारची
lyngdoh,लिंगडोह
karanjyajaval,कारंज्याजवळ
digvijayanni,दिग्विजयांनी
pierhead,पियरहेड
kodyasathi,कोड्यासाठी
screenwale,स्क्रीनवाले
yenaryash,येणाऱ्याश
mukhabiri,मुखाबिरी
pendantacha,पेंडंटचा
productionchyavatine,प्रॉडक्शनच्यावतीने
lakbit,लकबीत
sukshetra,सुक्षेत्र
ardhpotich,अर्धपोटीच
jundhalyavar,जुंधळ्यावर
asikere,असीकेरे
velapatrakapurvich,वेळापत्रकापूर्वीच
khasdarkichya,खासदारकीच्या
ahorlu,अहोर्लु
sadasyansamvetchya,सदस्यांसमवेतच्या
lekhanvyavahar,लेखनव्यवहार
kashtakarivarg,कष्टकरीवर्ग
rabvinyasathich,राबविण्यासाठीच
bhamtyakadun,भामट्याकडून
trategy,ट्रॅटेजी
saimadhye,साईमध्ये
lokankiket,लोकांकिकेत
sanshayitanjavalil,संशयितांजवळील
promised,प्रॉमिस्ड
pradnye,प्रज्ञे
dadarkopara,दादरकोपरा
khadakavane,खडकवणे
rodschya,रॉड्सच्या
dalonko,दलोंको
santalok,संतलोक
dnyanprasarachya,ज्ञानप्रसाराच्या
spaces,स्पेसेस्
chitraprabhune,चित्रप्रभूने
amitala,अमिताला
tejachech,तेजाचेच
puntambekar,पुणतांबेकर
anilanchya,अनिलांच्या
bhatkarcha,भाटकरचा
swatahmage,स्वतःमागे
kokankatta,कोकणकट्टा
shauchyala,शौच्याला
bhrashtacharache,भ्रष्टाचाराचे
kombanyasathi,कोंबण्यासाठी
lagnyasarakh,लागण्यासारख
janyayenyache,जाण्यायेण्याचे
vatancha,वाटांचा
hetumulech,हेतूमुळेच
aksharrupat,अक्षररूपात
arnakulama,एर्नाकुलम
chaturdashiyukt,चतुर्दशीयुक्त
bhaiyon,भाईयों
chahatyannihi,चाहत्यांनीही
varshanla,वर्षांला
shijavtat,शिजवतात
pochanarya,पोचणाऱ्या
shaktirupacha,शक्तीरूपाचा
shetkaryankarta,शेतकऱ्यांकरता
bahubalikade,बाहुबलीकडे
adhikaripadihi,अधिकारीपदीही
membarshipachya,मेंबरशीपच्या
pushpaharachi,पुष्पहाराची
npcil,एनपीसीआयएल
samkami,समकामी
udochya,उदोच्या
kalkutaki,कलकुटकी
aardtemule,आर्दतेमुळे
mumanini,मुमानिनी
sankheni,संखेनी
takkeadhik,टक्केअधिक
chhatishivay,छातीशिवाय
dagadfekyanni,दगडफेक्यांनी
shapatvidhila,शपतविधीला
atruptatechi,अतृप्ततेची
gatthyancha,गठ्ठ्यांचा
reghanni,रेघांनी
kharchasathi,खर्चासाठी
ayodhyayatrevar,अयोध्यायात्रेवर
markley,मार्कले
kurram,कुर्रम
nehrumbaddal,नेहरुंबद्दल
godamasathi,गोदामासाठी
cariappa,कारिप्पा
vikoli,विकोळी
khachalas,खचलास
boilersathi,बॉयलरसाठी
galbatache,गलबताचे
maleshiyabarobarcha,मलेशियाबरोबरचा
halgavchya,हळगावच्या
buddhipramanyavar,बुद्धिप्रामाण्यावर
vilyamvar,विल्यमवर
overplo,ओव्हरप्लो
potbharnyasathi,पोटभरण्यासाठी
ddr,डीडीआर
fodanaryas,फोडणाऱ्यास
dhoomketuki,धूमकेतुकी
viscus,व्हिस्कस
birir,बिरीर
udgarhi,उदगारही
haftekhoranchya,हफ्तेखोरांच्या
pasrlya,पसरल्या
rajajinagar,राजाजीनगर
botarwadi,बोतरवाडी
jativyavasthene,जातीव्यवस्थेने
lokkalyana,लोककल्याणा
gavaskarankadun,गावसकरांकडून
dwaravaril,द्वारावरील
alavia,अलाविया
involvement,इन्व्हॉल्व्हमेंट
sattanatyanantar,सत्तानाट्यानंतर
upnagaradhyakshanni,उपनगराध्यक्षांनी
banketil,बँकेतील
rekhachitran,रेखाचित्रण
rabbana,रब्बाना
kutumbiyanshi,कुटुंबियांशी
stamfordmadheel,स्टॅमफर्डमधील
vibhagnyanmadhalam,विभागण्यांमधलं
kalekadun,काळेकडून
motenchi,मोटेंची
kolimachya,कोलिमाच्या
imagikakadun,इमॅजिकाकडून
sequencemadhun,सिक्वेन्समधून
karyakramantargatadh,कार्यक्रमांतर्गतध
garimaji,गरिमाजी
notisdware,नोटीसद्वारे
golandajimulam,गोलंदाजीमुळं
bhandavalapaiki,भांडवलापैकी
sankalpansobatach,संकल्पांसोबतच
avalambishi,अवलंबिशी
zokito,झोकितो
dazanachyavar,डझनाच्यावर
channammala,चन्नम्माला
padarancha,पदरांचा
pentappa,पेंटप्पा
siddharthanech,सिद्धार्थनेच
abhyasachin,अभ्यासाचीं
chikuhu,चिकूहू
marakhali,माराखाली
sodanyavishayichi,सोडण्याविषयीची
udyojkanchyavatine,उद्योजकांच्यावतीने
sgrg,एसजीआरजी
milanyaadhi,मिळण्याआधी
gayanvidhyechi,गायनविद्येची
survation,सर्व्हेशन
sudrikchya,सुद्रिकच्या
mhashivarhi,म्हशीवरही
dhrumanachya,धृमणाच्या
jaharilya,जहरील्या
kanpurkarancha,कानपूरकरांचा
samudayamule,समुदायामुळे
gleeden,ग्लीडन
treatmenmadhye,ट्रीटमेंमध्ये
sspm,एसएसपीएम
rasavahinyanchi,रसवाहिन्यांची
vishnushastryanshi,विष्णुशास्त्र्यांशी
kulkarnichi,कुलकर्णीची
klaspeksha,क्लासपेक्षा
upyogavar,उपयोगावर
lenhewadi,लेन्हेवाडी
siddhatene,सिध्दतेने
pendra,पेंड्रा
girijadevi,गिरिजादेवी
mobailsarkhya,मोबाइलसारख्या
shikavyat,शिकाव्यात
sathmari,साठमारी
oradtosuddha,ओरडतोसुद्धा
bavade,बावडे
volali,वोळली
bindre,बिंद्रे
shayarancha,शायरांचा
pavanchakkisathi,पवनचक्कीसाठी
namdevbhatta,नामदेवभट्ट
nayakicha,नायकीचा
vinson,व्हिनसन
sadisk,सॅडिस्क
uttarkhandatil,उत्तरखंडातील
mamdapurchya,ममदापूरच्या
aathalyekar,आठल्येकर
hadapatat,हडपतात
kolanine,कोळणीने
sanchalkansobat,संचालकांसोबत
magnesiyama,मॅग्नेशियम
akrapaiki,अकरापैकी
mitku,मिटकु
urjamantryancha,ऊर्जामंत्र्यांचा
cinemapreminni,सिनेमाप्रेमींनी
aadimayeche,आदिमायेचे
paravadanya,परवडण्या
poshakhapramane,पोषाखाप्रमाणे
bhaktaganach,भक्तगणच
bhachivar,भाचीवर
galatyat,गळत्यात
bilalchi,बिलालची
arbudacha,अर्बुदाचा
khadipulavarun,खाडीपुलावरुन
rabvilyachi,राबविल्याची
bagayatitun,बागायतीतून
bandatahi,बंडातही
himresha,हिमरेषा
aathvayacha,आठवायचा
dhavtyat,धावत्यात
kadhanitor,काढणीतोर
jevalyanantarchi,जेवल्यानंतरची
kavinder,कवींदर
kamabhai,कमाभाई
sthanakabaheri,स्थानकाबाहेरी
depressive,डिप्रेसिव्ह
recell,रिसेल
raidasanna,रैदासांना
ugrapana,उग्रपणा
bhajpavirodhatil,भाजपविरोधातील
niryatitunahi,निर्यातीतूनही
shetkamgar,शेतकामगार
taknaryanno,टाकणाऱ्यांनो
tromso,ट्रोम्सो
aadityani,आदित्यनी
tikapatra,टीकापात्र
tachikardia,ताचीकार्डिया
beetekla,बीटेकला
cleaners,क्लीनर्स
bandkhorichahi,बंडखोरीचाही
thikanavyatirikt,ठिकाणाव्यतिरिक्त
kulabyat,कुलाब्यात
balbhatta,बालभट्ट
traindsetter,ट्रेन्डसेटर
sadhyachech,सध्याचेच
framech,फ्रेमच
shikavina,शिकविणा
charmodyog,चर्मोद्योग
konaprat,कोणाप्रत
aayamanane,आयमनने
observatorymadhun,ऑब्झर्व्हेटरीमधून
paravashatecha,परवशतेचा
ageela,अगीला
tradersney,ट्रेडर्सने
navinababunchi,नवीनबाबूंची
mausamicha,मौसमीचा
mahadeshwaranchi,महाडेश्वरांची
tiradiche,तिरडीचे
manyavaranchehi,मान्यवरांचेही
taknyabarobar,टाकण्याबरोबर
balikanpasun,बालिकांपासून
hatmagavaril,हातमागावरील
sallyavarhi,सल्ल्यावरही
gearbanchkadoon,गियरबंचकडून
vishvarahasya,विश्वरहस्य
resingpramanech,रेसिंगप्रमाणेच
sinchanapramanech,सिंचनाप्रमाणेच
sopar,सोपार
dharpure,धारपुरे
dalimbavaril,डाळींबावरील
jakhamihi,जखमीही
babahay,बाबहाय
vaghinicha,वाघिणीचा
thalghatachya,थळघाटाच्या
shivesanenehi,शिवेसनेनेही
nirdishtachi,निर्दिष्टाची
staranmadhun,स्तरांमधून
rahasyanpeksha,रहस्यांपेक्षा
pavai,पवई
turnig,टर्निग
chardhamchi,चारधामची
chinkan,चिंकन
khelprakaratil,खेळप्रकारातील
pathvilelin,पाठविलेलीं
sathyenche,साठ्येंचे
haqid,हकीद
sunami,सुनामी
pathancha,पथांचा
sthitiabhavi,स्थितीअभावी
mitevani,मिटेवणी
suvidhetil,सुविधेतील
viyatnam,वियतनाम
cancervaryl,कॅन्सरवरील
tichavar,तिचावर
bhashanvishayi,भाषांविषयी
kshamanar,क्षमणार
sumas,सुमास
vivadamule,विवादामुळे
saimandirala,साईमंदिराला
lokkaryasathi,लोककार्यासाठी
thiyaribaddal,थियरीबद्दल
balanshi,बाळांशी
tyansandarbhat,त्यांसंदर्भात
aantkarachya,आंतकराच्या
arajakvadi,अराजकवादी
vyaspithasathi,व्यासपीठासाठी
kapadehi,कापडेही
vednetach,वेदनेतच
sarvasvapanala,सर्वस्वपणाला
shastrakriyacha,शस्त्रक्रियाचा
skarpiochya,स्कार्पिओच्या
sendil,सेंदिल
vahanansarkhi,वाहनांसारखी
mangalmohima,मंगळमोहिमा
viji,विजी
jativyavasthechya,जातिव्यवस्थेच्या
phuur,फूर
sabam,सबम
ithparyantchi,इथपर्यंतची
matmojanich,मतमोजणीच
dafanvidhisathi,दफनविधीसाठी
patadhoranamule,पतधोरणामुळे
ghatakdravyanmule,घटकद्रव्यांमुळे
karyashalesamor,कार्यशाळेसमोर
cementic,सिमेंटिक
shabdandvarech,शब्दांद्वारेच
pratibandhit,प्रतिबंधीत
